club_adress,club_id,club_name,club_ref,date,ref_event,artiste
Chamerstrasse 173 - 6301 Zug,57706, Galvanik Zug,/club.aspx?id=57706,"Fri, 20 May 2016",/event.aspx?839758,Traplo Pica$$o
Chamerstrasse 173 - 6301 Zug,57706, Galvanik Zug,/club.aspx?id=57706,"Fri, 8 Apr 2016",/event.aspx?821728,FS Bart
Chamerstrasse 173 - 6301 Zug,57706, Galvanik Zug,/club.aspx?id=57706,"Sat, 19 Jan 2013",/event.aspx?423441,Afrilounge
Chamerstrasse 173 - 6301 Zug,57706, Galvanik Zug,/club.aspx?id=57706,"Sat, 19 Jan 2013",/event.aspx?423441,Nader
Chamerstrasse 173 - 6301 Zug,57706, Galvanik Zug,/club.aspx?id=57706,"Sat, 19 Jan 2013",/event.aspx?423441,Jani
Chamerstrasse 173 - 6301 Zug,57706, Galvanik Zug,/club.aspx?id=57706,"Fri, 8 Jun 2012",/event.aspx?408924,Amine Edge
Chamerstrasse 173 - 6301 Zug,57706, Galvanik Zug,/club.aspx?id=57706,"Fri, 8 Jun 2012",/event.aspx?408924,Round Table Knights
Chamerstrasse 173 - 6301 Zug,57706, Galvanik Zug,/club.aspx?id=57706,"Sat, 3 Mar 2012",/event.aspx?343819,H.O.S.H.
Chamerstrasse 173 - 6301 Zug,57706, Galvanik Zug,/club.aspx?id=57706,"Sat, 3 Mar 2012",/event.aspx?343819,Reto Ardour
Chamerstrasse 173 - 6301 Zug,57706, Galvanik Zug,/club.aspx?id=57706,"Sat, 3 Mar 2012",/event.aspx?343819,Sous Sol
Chamerstrasse 173 - 6301 Zug,57706, Galvanik Zug,/club.aspx?id=57706,"Sat, 25 Feb 2012",/event.aspx?328148,Booka Shade
Chamerstrasse 173 - 6301 Zug,57706, Galvanik Zug,/club.aspx?id=57706,"Sat, 25 Feb 2012",/event.aspx?328148,Khainz
Chamerstrasse 173 - 6301 Zug,57706, Galvanik Zug,/club.aspx?id=57706,"Sat, 25 Feb 2012",/event.aspx?328148,Sous Sol
Chamerstrasse 173 - 6301 Zug,57706, Galvanik Zug,/club.aspx?id=57706,"Sat, 25 Feb 2012",/event.aspx?328148,Martin Baur
