club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Archstr. 8, 8401 Winterthur",30478, Garden Club,/club.aspx?id=30478,"Sat, 5 Mar 2011",/event.aspx?225259,Thomas Schumacher
"Archstr. 8, 8401 Winterthur",30478, Garden Club,/club.aspx?id=30478,"Sat, 5 Feb 2011",/event.aspx?221621,Boris Brejcha
"Archstr. 8, 8401 Winterthur",30478, Garden Club,/club.aspx?id=30478,"Sat, 5 Feb 2011",/event.aspx?221621,Ezikiel
"Archstr. 8, 8401 Winterthur",30478, Garden Club,/club.aspx?id=30478,"Sat, 5 Feb 2011",/event.aspx?221621,Klanggärtner
"Archstr. 8, 8401 Winterthur",30478, Garden Club,/club.aspx?id=30478,"Sat, 5 Feb 2011",/event.aspx?221621,AK-N
"Archstr. 8, 8401 Winterthur",30478, Garden Club,/club.aspx?id=30478,"Sat, 5 Feb 2011",/event.aspx?221621,Vanita
"Archstr. 8, 8401 Winterthur",30478, Garden Club,/club.aspx?id=30478,"Sat, 5 Feb 2011",/event.aspx?221621,Pasquale
"Archstr. 8, 8401 Winterthur",30478, Garden Club,/club.aspx?id=30478,"Sat, 30 Oct 2010",/event.aspx?201847,Edu Imbernon
"Archstr. 8, 8401 Winterthur",30478, Garden Club,/club.aspx?id=30478,"Sat, 30 Oct 2010",/event.aspx?201847,Horatio
"Archstr. 8, 8401 Winterthur",30478, Garden Club,/club.aspx?id=30478,"Sat, 30 Oct 2010",/event.aspx?201847,AK-N
"Archstr. 8, 8401 Winterthur",30478, Garden Club,/club.aspx?id=30478,"Sat, 29 May 2010",/event.aspx?168028,Gaiser
"Archstr. 8, 8401 Winterthur",30478, Garden Club,/club.aspx?id=30478,"Sat, 29 May 2010",/event.aspx?168028,AK-N
"Archstr. 8, 8401 Winterthur",30478, Garden Club,/club.aspx?id=30478,"Sat, 29 May 2010",/event.aspx?168028,Padrino
"Archstr. 8, 8401 Winterthur",30478, Garden Club,/club.aspx?id=30478,"Sat, 27 Feb 2010",/event.aspx?427105,Javi Peña
"Archstr. 8, 8401 Winterthur",30478, Garden Club,/club.aspx?id=30478,"Sat, 27 Feb 2010",/event.aspx?427105,Adriatique
"Archstr. 8, 8401 Winterthur",30478, Garden Club,/club.aspx?id=30478,"Sat, 27 Feb 2010",/event.aspx?427105,DJ Madskillz
