club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"St. Jakobs-Strasse 400, 4052 Basel",120533, Gartenbad & Sportbad St. Jakob,/club.aspx?id=120533,"Sun, 31 Jul 2016",/event.aspx?850310,Sven Väth
"St. Jakobs-Strasse 400, 4052 Basel",120533, Gartenbad & Sportbad St. Jakob,/club.aspx?id=120533,"Sun, 31 Jul 2016",/event.aspx?850310,Anja Schneider
"St. Jakobs-Strasse 400, 4052 Basel",120533, Gartenbad & Sportbad St. Jakob,/club.aspx?id=120533,"Sun, 31 Jul 2016",/event.aspx?850310,Dixon
"St. Jakobs-Strasse 400, 4052 Basel",120533, Gartenbad & Sportbad St. Jakob,/club.aspx?id=120533,"Sun, 31 Jul 2016",/event.aspx?850310,Monika Kruse
"St. Jakobs-Strasse 400, 4052 Basel",120533, Gartenbad & Sportbad St. Jakob,/club.aspx?id=120533,"Sun, 31 Jul 2016",/event.aspx?850310,Oliver Koletzki
"St. Jakobs-Strasse 400, 4052 Basel",120533, Gartenbad & Sportbad St. Jakob,/club.aspx?id=120533,"Sun, 31 Jul 2016",/event.aspx?850310,Sascha Braemer
"St. Jakobs-Strasse 400, 4052 Basel",120533, Gartenbad & Sportbad St. Jakob,/club.aspx?id=120533,"Sun, 31 Jul 2016",/event.aspx?850310,Dirty Doering
"St. Jakobs-Strasse 400, 4052 Basel",120533, Gartenbad & Sportbad St. Jakob,/club.aspx?id=120533,"Sun, 31 Jul 2016",/event.aspx?850310,Round Table Knights
"St. Jakobs-Strasse 400, 4052 Basel",120533, Gartenbad & Sportbad St. Jakob,/club.aspx?id=120533,"Sun, 31 Jul 2016",/event.aspx?850310,SuperFlu
"St. Jakobs-Strasse 400, 4052 Basel",120533, Gartenbad & Sportbad St. Jakob,/club.aspx?id=120533,"Sun, 31 Jul 2016",/event.aspx?850310,Wankelmut
"St. Jakobs-Strasse 400, 4052 Basel",120533, Gartenbad & Sportbad St. Jakob,/club.aspx?id=120533,"Sun, 31 Jul 2016",/event.aspx?850310,Dominik Eulberg
"St. Jakobs-Strasse 400, 4052 Basel",120533, Gartenbad & Sportbad St. Jakob,/club.aspx?id=120533,"Sun, 31 Jul 2016",/event.aspx?850310,Extrawelt
"St. Jakobs-Strasse 400, 4052 Basel",120533, Gartenbad & Sportbad St. Jakob,/club.aspx?id=120533,"Sun, 31 Jul 2016",/event.aspx?850310,Felix Kröcher
