club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Sandrainstrasse 25; 3007, Bern",17056, Gaskessel Bern,/club.aspx?id=17056,"Thu, 30 Oct 2008",/event.aspx?91930,Pascal FEOS
"Sandrainstrasse 25; 3007, Bern",17056, Gaskessel Bern,/club.aspx?id=17056,"Thu, 30 Oct 2008",/event.aspx?91930,Lukas Kleesattel
"Sandrainstrasse 25; 3007, Bern",17056, Gaskessel Bern,/club.aspx?id=17056,"Fri, 29 May 2009",/event.aspx?91923,Lützenkirchen
"Sandrainstrasse 25; 3007, Bern",17056, Gaskessel Bern,/club.aspx?id=17056,"Fri, 23 Jan 2009",/event.aspx?91932,Frank Lorber
"Sandrainstrasse 25; 3007, Bern",17056, Gaskessel Bern,/club.aspx?id=17056,"Sat, 6 Nov 2010",/event.aspx?204704,Heinrichs & Hirtenfellner
"Sandrainstrasse 25; 3007, Bern",17056, Gaskessel Bern,/club.aspx?id=17056,"Sat, 6 Nov 2010",/event.aspx?204704,Daniel Steinberg
"Sandrainstrasse 25; 3007, Bern",17056, Gaskessel Bern,/club.aspx?id=17056,"Sat, 6 Nov 2010",/event.aspx?204704,Kellerkind
"Sandrainstrasse 25; 3007, Bern",17056, Gaskessel Bern,/club.aspx?id=17056,"Sat, 6 Nov 2010",/event.aspx?204704,Boris Why
"Sandrainstrasse 25; 3007, Bern",17056, Gaskessel Bern,/club.aspx?id=17056,"Sat, 6 Nov 2010",/event.aspx?204704,Skaos
"Sandrainstrasse 25; 3007, Bern",17056, Gaskessel Bern,/club.aspx?id=17056,"Sat, 19 Nov 2011",/event.aspx?303479,Kollektiv Turmstrasse
"Sandrainstrasse 25; 3007, Bern",17056, Gaskessel Bern,/club.aspx?id=17056,"Sat, 8 Oct 2011",/event.aspx?286732,Format B
"Sandrainstrasse 25; 3007, Bern",17056, Gaskessel Bern,/club.aspx?id=17056,"Sat, 24 Sep 2011",/event.aspx?266254,Tom Clark
"Sandrainstrasse 25; 3007, Bern",17056, Gaskessel Bern,/club.aspx?id=17056,"Sat, 24 Sep 2011",/event.aspx?266254,Mihai Popoviciu
"Sandrainstrasse 25; 3007, Bern",17056, Gaskessel Bern,/club.aspx?id=17056,"Sat, 24 Sep 2011",/event.aspx?266254,Heinrichs & Hirtenfellner
"Sandrainstrasse 25; 3007, Bern",17056, Gaskessel Bern,/club.aspx?id=17056,"Sat, 3 Sep 2011",/event.aspx?280091,Nick Nasty
"Sandrainstrasse 25; 3007, Bern",17056, Gaskessel Bern,/club.aspx?id=17056,"Sat, 3 Sep 2011",/event.aspx?280091,Noé
"Sandrainstrasse 25; 3007, Bern",17056, Gaskessel Bern,/club.aspx?id=17056,"Sat, 11 Jun 2011",/event.aspx?260669,Kaiserdisco
"Sandrainstrasse 25; 3007, Bern",17056, Gaskessel Bern,/club.aspx?id=17056,"Sat, 11 Jun 2011",/event.aspx?260669,Janiv Damti
"Sandrainstrasse 25; 3007, Bern",17056, Gaskessel Bern,/club.aspx?id=17056,"Sat, 11 Jun 2011",/event.aspx?260669,Niko Schwind
"Sandrainstrasse 25; 3007, Bern",17056, Gaskessel Bern,/club.aspx?id=17056,"Sat, 11 Jun 2011",/event.aspx?260669,Kellerkind
"Sandrainstrasse 25; 3007, Bern",17056, Gaskessel Bern,/club.aspx?id=17056,"Sat, 11 Jun 2011",/event.aspx?260669,James Mc Hale
"Sandrainstrasse 25; 3007, Bern",17056, Gaskessel Bern,/club.aspx?id=17056,"Sat, 21 May 2011",/event.aspx?264784,Samuel L Session
"Sandrainstrasse 25; 3007, Bern",17056, Gaskessel Bern,/club.aspx?id=17056,"Sat, 21 May 2011",/event.aspx?264784,Miss Djax
"Sandrainstrasse 25; 3007, Bern",17056, Gaskessel Bern,/club.aspx?id=17056,"Sat, 21 May 2011",/event.aspx?264784,Skaos
"Sandrainstrasse 25; 3007, Bern",17056, Gaskessel Bern,/club.aspx?id=17056,"Sat, 30 Apr 2011",/event.aspx?252972,Dan Ghenacia
"Sandrainstrasse 25; 3007, Bern",17056, Gaskessel Bern,/club.aspx?id=17056,"Sat, 30 Apr 2011",/event.aspx?252972,Daria
"Sandrainstrasse 25; 3007, Bern",17056, Gaskessel Bern,/club.aspx?id=17056,"Sat, 30 Apr 2011",/event.aspx?252972,Andrea Oliva
"Sandrainstrasse 25; 3007, Bern",17056, Gaskessel Bern,/club.aspx?id=17056,"Sat, 30 Apr 2011",/event.aspx?252972,Kellerkind
"Sandrainstrasse 25; 3007, Bern",17056, Gaskessel Bern,/club.aspx?id=17056,"Sat, 30 Apr 2011",/event.aspx?252972,Boris Why
