club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Untere Schöntalstrasse 19; 2023, Winterthur",15523, Gaswerk,/club.aspx?id=15523,"Fri, 11 Nov 2011",/event.aspx?306312,ad.lib
"Untere Schöntalstrasse 19; 2023, Winterthur",15523, Gaswerk,/club.aspx?id=15523,"Fri, 11 Nov 2011",/event.aspx?306312,Silvision
"Untere Schöntalstrasse 19; 2023, Winterthur",15523, Gaswerk,/club.aspx?id=15523,"Sat, 29 Jan 2011",/event.aspx?211664,Cari Lekebusch
"Untere Schöntalstrasse 19; 2023, Winterthur",15523, Gaswerk,/club.aspx?id=15523,"Sat, 3 Oct 2009",/event.aspx?110248,Mathew Jonson
"Untere Schöntalstrasse 19; 2023, Winterthur",15523, Gaswerk,/club.aspx?id=15523,"Sat, 3 Oct 2009",/event.aspx?110248,Troy Pierce
"Untere Schöntalstrasse 19; 2023, Winterthur",15523, Gaswerk,/club.aspx?id=15523,"Sat, 3 Oct 2009",/event.aspx?110248,Marc Houle
"Untere Schöntalstrasse 19; 2023, Winterthur",15523, Gaswerk,/club.aspx?id=15523,"Thu, 9 Apr 2009",/event.aspx?82787,Efdemin
"Untere Schöntalstrasse 19; 2023, Winterthur",15523, Gaswerk,/club.aspx?id=15523,"Thu, 9 Apr 2009",/event.aspx?82787,Tobi Neumann
"Untere Schöntalstrasse 19; 2023, Winterthur",15523, Gaswerk,/club.aspx?id=15523,"Sat, 14 Feb 2009",/event.aspx?82352,EDMX
"Untere Schöntalstrasse 19; 2023, Winterthur",15523, Gaswerk,/club.aspx?id=15523,"Sat, 14 Feb 2009",/event.aspx?82352,DMX Krew
"Untere Schöntalstrasse 19; 2023, Winterthur",15523, Gaswerk,/club.aspx?id=15523,"Sat, 14 Feb 2009",/event.aspx?82352,Wicked Wilma
"Untere Schöntalstrasse 19; 2023, Winterthur",15523, Gaswerk,/club.aspx?id=15523,"Sat, 14 Feb 2009",/event.aspx?82352,Radro
