club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Rue de l’Etang 21; 1630, Bulle",8907, Globull,/club.aspx?id=8907,"Sat, 3 Dec 2016",/event.aspx?904440,Hector Couto
"Rue de l’Etang 21; 1630, Bulle",8907, Globull,/club.aspx?id=8907,"Sat, 3 Dec 2016",/event.aspx?904440,La Forêt
"Rue de l’Etang 21; 1630, Bulle",8907, Globull,/club.aspx?id=8907,"Sat, 10 Sep 2016",/event.aspx?876775,Adana Twins
"Rue de l’Etang 21; 1630, Bulle",8907, Globull,/club.aspx?id=8907,"Sat, 27 Feb 2016",/event.aspx?800014,Marc Houle
"Rue de l’Etang 21; 1630, Bulle",8907, Globull,/club.aspx?id=8907,"Sat, 7 Nov 2015",/event.aspx?749638,Fritz Kalkbrenner
"Rue de l’Etang 21; 1630, Bulle",8907, Globull,/club.aspx?id=8907,"Sat, 26 Sep 2015",/event.aspx?754179,Andrea Roma
"Rue de l’Etang 21; 1630, Bulle",8907, Globull,/club.aspx?id=8907,"Thu, 24 Sep 2015",/event.aspx?757817,Jokari
"Rue de l’Etang 21; 1630, Bulle",8907, Globull,/club.aspx?id=8907,"Thu, 24 Sep 2015",/event.aspx?757817,Chapkmace
"Rue de l’Etang 21; 1630, Bulle",8907, Globull,/club.aspx?id=8907,"Thu, 24 Sep 2015",/event.aspx?757817,Kartel Klub
"Rue de l’Etang 21; 1630, Bulle",8907, Globull,/club.aspx?id=8907,"Wed, 13 May 2015",/event.aspx?691669,Matador
"Rue de l’Etang 21; 1630, Bulle",8907, Globull,/club.aspx?id=8907,"Wed, 13 May 2015",/event.aspx?691669,Andrea Oliva
"Rue de l’Etang 21; 1630, Bulle",8907, Globull,/club.aspx?id=8907,"Wed, 13 May 2015",/event.aspx?691669,Dj Never Die
"Rue de l’Etang 21; 1630, Bulle",8907, Globull,/club.aspx?id=8907,"Sat, 18 Apr 2015",/event.aspx?698294,Traumer
"Rue de l’Etang 21; 1630, Bulle",8907, Globull,/club.aspx?id=8907,"Sat, 18 Apr 2015",/event.aspx?698294,Several Definitions
"Rue de l’Etang 21; 1630, Bulle",8907, Globull,/club.aspx?id=8907,"Sat, 28 Mar 2015",/event.aspx?691664,Louie Cut
"Rue de l’Etang 21; 1630, Bulle",8907, Globull,/club.aspx?id=8907,"Sat, 28 Mar 2015",/event.aspx?691664,Dj Never Die
"Rue de l’Etang 21; 1630, Bulle",8907, Globull,/club.aspx?id=8907,"Sat, 18 Oct 2014",/event.aspx?647003,DJ W!ld
"Rue de l’Etang 21; 1630, Bulle",8907, Globull,/club.aspx?id=8907,"Sat, 18 Oct 2014",/event.aspx?647003,Jokari
"Rue de l’Etang 21; 1630, Bulle",8907, Globull,/club.aspx?id=8907,"Sat, 18 Oct 2014",/event.aspx?647003,Kartel Klub
"Rue de l’Etang 21; 1630, Bulle",8907, Globull,/club.aspx?id=8907,"Sat, 18 Oct 2014",/event.aspx?647003,Lemonick
"Rue de l’Etang 21; 1630, Bulle",8907, Globull,/club.aspx?id=8907,"Sat, 13 Sep 2014",/event.aspx?625360,Meggy
"Rue de l’Etang 21; 1630, Bulle",8907, Globull,/club.aspx?id=8907,"Thu, 20 Feb 2014",/event.aspx?570527,Zombie Disco Squad
"Rue de l’Etang 21; 1630, Bulle",8907, Globull,/club.aspx?id=8907,"Thu, 20 Feb 2014",/event.aspx?570527,Chapkmace
"Rue de l’Etang 21; 1630, Bulle",8907, Globull,/club.aspx?id=8907,"Thu, 20 Feb 2014",/event.aspx?570527,Jokari
"Rue de l’Etang 21; 1630, Bulle",8907, Globull,/club.aspx?id=8907,"Thu, 20 Feb 2014",/event.aspx?570528,Zombie Disco Squad
"Rue de l’Etang 21; 1630, Bulle",8907, Globull,/club.aspx?id=8907,"Thu, 20 Feb 2014",/event.aspx?570528,Chapkmace
"Rue de l’Etang 21; 1630, Bulle",8907, Globull,/club.aspx?id=8907,"Thu, 20 Feb 2014",/event.aspx?570528,Jokari
"Rue de l’Etang 21; 1630, Bulle",8907, Globull,/club.aspx?id=8907,"Sat, 18 Jan 2014",/event.aspx?556261,Claptone
"Rue de l’Etang 21; 1630, Bulle",8907, Globull,/club.aspx?id=8907,"Sat, 18 Jan 2014",/event.aspx?556261,Round Table Knights
"Rue de l’Etang 21; 1630, Bulle",8907, Globull,/club.aspx?id=8907,"Sat, 18 Jan 2014",/event.aspx?556261,Lemonick
"Rue de l’Etang 21; 1630, Bulle",8907, Globull,/club.aspx?id=8907,"Mon, 23 Dec 2013",/event.aspx?548073,Joris Delacroix
"Rue de l’Etang 21; 1630, Bulle",8907, Globull,/club.aspx?id=8907,"Mon, 23 Dec 2013",/event.aspx?548073,Krizzli
"Rue de l’Etang 21; 1630, Bulle",8907, Globull,/club.aspx?id=8907,"Mon, 23 Dec 2013",/event.aspx?548073,La Bohème
"Rue de l’Etang 21; 1630, Bulle",8907, Globull,/club.aspx?id=8907,"Fri, 20 Dec 2013",/event.aspx?547570,Jonas Mantey
"Rue de l’Etang 21; 1630, Bulle",8907, Globull,/club.aspx?id=8907,"Fri, 20 Dec 2013",/event.aspx?547570,Lucas Monème
"Rue de l’Etang 21; 1630, Bulle",8907, Globull,/club.aspx?id=8907,"Sat, 26 Oct 2013",/event.aspx?528078,Adam Port
"Rue de l’Etang 21; 1630, Bulle",8907, Globull,/club.aspx?id=8907,"Sat, 26 Oct 2013",/event.aspx?528078,Chapkmace
"Rue de l’Etang 21; 1630, Bulle",8907, Globull,/club.aspx?id=8907,"Sat, 26 Oct 2013",/event.aspx?528078,Bitsculpter
"Rue de l’Etang 21; 1630, Bulle",8907, Globull,/club.aspx?id=8907,"Fri, 25 Oct 2013",/event.aspx?532231,Viken Arman
"Rue de l’Etang 21; 1630, Bulle",8907, Globull,/club.aspx?id=8907,"Sat, 24 Aug 2013",/event.aspx?509004,Jokari
"Rue de l’Etang 21; 1630, Bulle",8907, Globull,/club.aspx?id=8907,"Sat, 1 Jun 2013",/event.aspx?466798,The Cruzaders
"Rue de l’Etang 21; 1630, Bulle",8907, Globull,/club.aspx?id=8907,"Sat, 18 May 2013",/event.aspx?478089,HNQO
"Rue de l’Etang 21; 1630, Bulle",8907, Globull,/club.aspx?id=8907,"Sat, 18 May 2013",/event.aspx?478089,Jokari
"Rue de l’Etang 21; 1630, Bulle",8907, Globull,/club.aspx?id=8907,"Sat, 18 May 2013",/event.aspx?478089,Krizzli
"Rue de l’Etang 21; 1630, Bulle",8907, Globull,/club.aspx?id=8907,"Sat, 18 May 2013",/event.aspx?478089,Lemonick
