club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Rue des Terreaux 7, 2000 Neuchâtel",63337, Gold Club,/club.aspx?id=63337,"Thu, 31 Mar 2016",/event.aspx?808619,DJ Spinna
"Rue des Terreaux 7, 2000 Neuchâtel",63337, Gold Club,/club.aspx?id=63337,"Thu, 31 Mar 2016",/event.aspx?808619,Mark Henning
"Rue des Terreaux 7, 2000 Neuchâtel",63337, Gold Club,/club.aspx?id=63337,"Thu, 31 Mar 2016",/event.aspx?808619,Lee Jones
"Rue des Terreaux 7, 2000 Neuchâtel",63337, Gold Club,/club.aspx?id=63337,"Thu, 31 Mar 2016",/event.aspx?808619,K15
"Rue des Terreaux 7, 2000 Neuchâtel",63337, Gold Club,/club.aspx?id=63337,"Sat, 14 Nov 2015",/event.aspx?775974,Manali Shah
"Rue des Terreaux 7, 2000 Neuchâtel",63337, Gold Club,/club.aspx?id=63337,"Fri, 30 Oct 2015",/event.aspx?766648,Henry Wu
"Rue des Terreaux 7, 2000 Neuchâtel",63337, Gold Club,/club.aspx?id=63337,"Sat, 11 Apr 2015",/event.aspx?703210,Dego
"Rue des Terreaux 7, 2000 Neuchâtel",63337, Gold Club,/club.aspx?id=63337,"Sat, 11 Apr 2015",/event.aspx?703210,Kez Ym
"Rue des Terreaux 7, 2000 Neuchâtel",63337, Gold Club,/club.aspx?id=63337,"Thu, 2 Apr 2015",/event.aspx?703212,Sonja Moonear
"Rue des Terreaux 7, 2000 Neuchâtel",63337, Gold Club,/club.aspx?id=63337,"Thu, 26 Mar 2015",/event.aspx?692131,DJ Kon
"Rue des Terreaux 7, 2000 Neuchâtel",63337, Gold Club,/club.aspx?id=63337,"Thu, 26 Mar 2015",/event.aspx?692131,Reznik
"Rue des Terreaux 7, 2000 Neuchâtel",63337, Gold Club,/club.aspx?id=63337,"Thu, 26 Mar 2015",/event.aspx?692131,Tony Lionni
"Rue des Terreaux 7, 2000 Neuchâtel",63337, Gold Club,/club.aspx?id=63337,"Sat, 23 Jun 2012",/event.aspx?368785,The Cruzaders
