club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Unterer Graben 17, 9000 St. Gallen, CH",67697, Grabenhalle,/club.aspx?id=67697,"Fri, 30 Sep 2016",/event.aspx?866570,Iokoi
"Unterer Graben 17, 9000 St. Gallen, CH",67697, Grabenhalle,/club.aspx?id=67697,"Fri, 30 Sep 2016",/event.aspx?866570,Nite Jewel
"Unterer Graben 17, 9000 St. Gallen, CH",67697, Grabenhalle,/club.aspx?id=67697,"Fri, 30 Sep 2016",/event.aspx?866570,Blanck Mass
"Unterer Graben 17, 9000 St. Gallen, CH",67697, Grabenhalle,/club.aspx?id=67697,"Fri, 30 Sep 2016",/event.aspx?866570,Pye Corner Audio
"Unterer Graben 17, 9000 St. Gallen, CH",67697, Grabenhalle,/club.aspx?id=67697,"Fri, 8 Jan 2016",/event.aspx?783310,Coss
"Unterer Graben 17, 9000 St. Gallen, CH",67697, Grabenhalle,/club.aspx?id=67697,"Fri, 8 Jan 2016",/event.aspx?783310,Oliver Raumklang
"Unterer Graben 17, 9000 St. Gallen, CH",67697, Grabenhalle,/club.aspx?id=67697,"Sat, 10 May 2014",/event.aspx?589457,Dirty Doering
"Unterer Graben 17, 9000 St. Gallen, CH",67697, Grabenhalle,/club.aspx?id=67697,"Sat, 10 May 2014",/event.aspx?589457,Villa Bosso
"Unterer Graben 17, 9000 St. Gallen, CH",67697, Grabenhalle,/club.aspx?id=67697,"Sat, 8 Mar 2014",/event.aspx?551023,Rampa
"Unterer Graben 17, 9000 St. Gallen, CH",67697, Grabenhalle,/club.aspx?id=67697,"Sat, 8 Mar 2014",/event.aspx?551023,&ME;
"Unterer Graben 17, 9000 St. Gallen, CH",67697, Grabenhalle,/club.aspx?id=67697,"Sat, 8 Mar 2014",/event.aspx?551023,David Mayer
"Unterer Graben 17, 9000 St. Gallen, CH",67697, Grabenhalle,/club.aspx?id=67697,"Thu, 31 Oct 2013",/event.aspx?531139,Move D
"Unterer Graben 17, 9000 St. Gallen, CH",67697, Grabenhalle,/club.aspx?id=67697,"Thu, 31 Oct 2013",/event.aspx?531139,Monome
"Unterer Graben 17, 9000 St. Gallen, CH",67697, Grabenhalle,/club.aspx?id=67697,"Thu, 31 Oct 2013",/event.aspx?531139,Luki
"Unterer Graben 17, 9000 St. Gallen, CH",67697, Grabenhalle,/club.aspx?id=67697,"Sat, 19 Oct 2013",/event.aspx?517417,Finnebassen
"Unterer Graben 17, 9000 St. Gallen, CH",67697, Grabenhalle,/club.aspx?id=67697,"Wed, 8 May 2013",/event.aspx?468660,Finnebassen
"Unterer Graben 17, 9000 St. Gallen, CH",67697, Grabenhalle,/club.aspx?id=67697,"Wed, 8 May 2013",/event.aspx?468660,Manuel Moreno
"Unterer Graben 17, 9000 St. Gallen, CH",67697, Grabenhalle,/club.aspx?id=67697,"Fri, 21 Sep 2012",/event.aspx?398257,COMA
"Unterer Graben 17, 9000 St. Gallen, CH",67697, Grabenhalle,/club.aspx?id=67697,"Fri, 21 Sep 2012",/event.aspx?398257,Mitsutek
