club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Route de la Monderèche; 3960, Sierre",26491, Hacienda,/club.aspx?id=26491,"Sat, 19 Mar 2016",/event.aspx?801694,St.Paul
"Route de la Monderèche; 3960, Sierre",26491, Hacienda,/club.aspx?id=26491,"Sat, 19 Mar 2016",/event.aspx?801694,Gemini from Pyra all Stars
"Route de la Monderèche; 3960, Sierre",26491, Hacienda,/club.aspx?id=26491,"Sat, 26 Dec 2015",/event.aspx?786185,Lemonick
"Route de la Monderèche; 3960, Sierre",26491, Hacienda,/club.aspx?id=26491,"Sat, 26 Dec 2015",/event.aspx?786185,El Alusinante
"Route de la Monderèche; 3960, Sierre",26491, Hacienda,/club.aspx?id=26491,"Sat, 9 May 2015",/event.aspx?670219,nemoy
"Route de la Monderèche; 3960, Sierre",26491, Hacienda,/club.aspx?id=26491,"Sat, 4 Apr 2015",/event.aspx?670218,Kid Fonque
"Route de la Monderèche; 3960, Sierre",26491, Hacienda,/club.aspx?id=26491,"Sat, 7 Feb 2015",/event.aspx?670216,Lynda Phoenix
"Route de la Monderèche; 3960, Sierre",26491, Hacienda,/club.aspx?id=26491,"Sat, 13 Dec 2014",/event.aspx?641740,D-Malice
"Route de la Monderèche; 3960, Sierre",26491, Hacienda,/club.aspx?id=26491,"Sat, 1 Nov 2014",/event.aspx?641738,Beatamines
"Route de la Monderèche; 3960, Sierre",26491, Hacienda,/club.aspx?id=26491,"Sat, 10 May 2014",/event.aspx?575441,Yvan Genkins
"Route de la Monderèche; 3960, Sierre",26491, Hacienda,/club.aspx?id=26491,"Sat, 10 May 2014",/event.aspx?575441,Clio
"Route de la Monderèche; 3960, Sierre",26491, Hacienda,/club.aspx?id=26491,"Sat, 10 May 2014",/event.aspx?575441,nemoy
"Route de la Monderèche; 3960, Sierre",26491, Hacienda,/club.aspx?id=26491,"Sat, 5 Apr 2014",/event.aspx?575438,Synapson
"Route de la Monderèche; 3960, Sierre",26491, Hacienda,/club.aspx?id=26491,"Sat, 8 Mar 2014",/event.aspx?575435,Lemonick
"Route de la Monderèche; 3960, Sierre",26491, Hacienda,/club.aspx?id=26491,"Sat, 8 Mar 2014",/event.aspx?575435,Manu Chaman
"Route de la Monderèche; 3960, Sierre",26491, Hacienda,/club.aspx?id=26491,"Sat, 18 Jan 2014",/event.aspx?554111,Kid Fonque
"Route de la Monderèche; 3960, Sierre",26491, Hacienda,/club.aspx?id=26491,"Sat, 18 Jan 2014",/event.aspx?554111,Anthony Megaro
"Route de la Monderèche; 3960, Sierre",26491, Hacienda,/club.aspx?id=26491,"Sat, 13 Apr 2013",/event.aspx?408662,Vince Vella
"Route de la Monderèche; 3960, Sierre",26491, Hacienda,/club.aspx?id=26491,"Sat, 13 Apr 2013",/event.aspx?408662,Bruk Boogie Kru
"Route de la Monderèche; 3960, Sierre",26491, Hacienda,/club.aspx?id=26491,"Sat, 2 Feb 2013",/event.aspx?408656,Salvatore Freda
"Route de la Monderèche; 3960, Sierre",26491, Hacienda,/club.aspx?id=26491,"Sat, 2 Feb 2013",/event.aspx?408656,SquarElectric
"Route de la Monderèche; 3960, Sierre",26491, Hacienda,/club.aspx?id=26491,"Sat, 12 Jan 2013",/event.aspx?408650,Lefto
"Route de la Monderèche; 3960, Sierre",26491, Hacienda,/club.aspx?id=26491,"Sat, 8 Dec 2012",/event.aspx?399896,DJ Cam
"Route de la Monderèche; 3960, Sierre",26491, Hacienda,/club.aspx?id=26491,"Sat, 10 Nov 2012",/event.aspx?399895,Mark de Clive-Lowe
"Route de la Monderèche; 3960, Sierre",26491, Hacienda,/club.aspx?id=26491,"Sat, 6 Oct 2012",/event.aspx?397041,Lurob
"Route de la Monderèche; 3960, Sierre",26491, Hacienda,/club.aspx?id=26491,"Sat, 6 Oct 2012",/event.aspx?397041,Matt Prehn
"Route de la Monderèche; 3960, Sierre",26491, Hacienda,/club.aspx?id=26491,"Sat, 6 Oct 2012",/event.aspx?397041,Anthony Megaro
"Route de la Monderèche; 3960, Sierre",26491, Hacienda,/club.aspx?id=26491,"Sat, 12 May 2012",/event.aspx?334118,DJ Food
"Route de la Monderèche; 3960, Sierre",26491, Hacienda,/club.aspx?id=26491,"Sat, 12 May 2012",/event.aspx?334118,Salvatore Freda
"Route de la Monderèche; 3960, Sierre",26491, Hacienda,/club.aspx?id=26491,"Sat, 10 Mar 2012",/event.aspx?290170,Nik Weston
"Route de la Monderèche; 3960, Sierre",26491, Hacienda,/club.aspx?id=26491,"Sat, 10 Mar 2012",/event.aspx?290170,Monoplage
"Route de la Monderèche; 3960, Sierre",26491, Hacienda,/club.aspx?id=26491,"Sat, 11 Feb 2012",/event.aspx?324096,Culoe De Song
"Route de la Monderèche; 3960, Sierre",26491, Hacienda,/club.aspx?id=26491,"Thu, 2 Feb 2012",/event.aspx?407412,Salvatore Freda
"Route de la Monderèche; 3960, Sierre",26491, Hacienda,/club.aspx?id=26491,"Sat, 14 Jan 2012",/event.aspx?324095,Zed Bias
"Route de la Monderèche; 3960, Sierre",26491, Hacienda,/club.aspx?id=26491,"Thu, 12 Jan 2012",/event.aspx?407411,Lefto
"Route de la Monderèche; 3960, Sierre",26491, Hacienda,/club.aspx?id=26491,"Sat, 10 Dec 2011",/event.aspx?283076,Ben Westbeech
"Route de la Monderèche; 3960, Sierre",26491, Hacienda,/club.aspx?id=26491,"Sat, 10 Dec 2011",/event.aspx?283076,Tal Stef
"Route de la Monderèche; 3960, Sierre",26491, Hacienda,/club.aspx?id=26491,"Sat, 12 Nov 2011",/event.aspx?283074,Ryan Sullivan
"Route de la Monderèche; 3960, Sierre",26491, Hacienda,/club.aspx?id=26491,"Sat, 14 May 2011",/event.aspx?234380,Matt Prehn
"Route de la Monderèche; 3960, Sierre",26491, Hacienda,/club.aspx?id=26491,"Sat, 14 May 2011",/event.aspx?234380,Attias
"Route de la Monderèche; 3960, Sierre",26491, Hacienda,/club.aspx?id=26491,"Sat, 2 Apr 2011",/event.aspx?232778,Jagged
"Route de la Monderèche; 3960, Sierre",26491, Hacienda,/club.aspx?id=26491,"Sat, 12 Mar 2011",/event.aspx?227987,Seiji
"Route de la Monderèche; 3960, Sierre",26491, Hacienda,/club.aspx?id=26491,"Sat, 12 Mar 2011",/event.aspx?227987,Jevne
"Route de la Monderèche; 3960, Sierre",26491, Hacienda,/club.aspx?id=26491,"Sat, 12 Feb 2011",/event.aspx?191739,Lefto
"Route de la Monderèche; 3960, Sierre",26491, Hacienda,/club.aspx?id=26491,"Sat, 12 Feb 2011",/event.aspx?191739,Food For Ya Soul
"Route de la Monderèche; 3960, Sierre",26491, Hacienda,/club.aspx?id=26491,"Sat, 12 Feb 2011",/event.aspx?191739,Yvan Genkins
"Route de la Monderèche; 3960, Sierre",26491, Hacienda,/club.aspx?id=26491,"Sat, 15 Jan 2011",/event.aspx?185590,Motor City Drum Ensemble
"Route de la Monderèche; 3960, Sierre",26491, Hacienda,/club.aspx?id=26491,"Sat, 15 Jan 2011",/event.aspx?185590,Monoplage
"Route de la Monderèche; 3960, Sierre",26491, Hacienda,/club.aspx?id=26491,"Sat, 11 Dec 2010",/event.aspx?185595,Rodney Hunter
"Route de la Monderèche; 3960, Sierre",26491, Hacienda,/club.aspx?id=26491,"Sat, 11 Dec 2010",/event.aspx?185595,Larytta
"Route de la Monderèche; 3960, Sierre",26491, Hacienda,/club.aspx?id=26491,"Sat, 13 Nov 2010",/event.aspx?185589,Jazzanova
"Route de la Monderèche; 3960, Sierre",26491, Hacienda,/club.aspx?id=26491,"Sat, 13 Nov 2010",/event.aspx?185589,nemoy
"Route de la Monderèche; 3960, Sierre",26491, Hacienda,/club.aspx?id=26491,"Sat, 9 Oct 2010",/event.aspx?185587,Born Bjorg
"Route de la Monderèche; 3960, Sierre",26491, Hacienda,/club.aspx?id=26491,"Sat, 14 Aug 2010",/event.aspx?185586,Rodney Hunter
"Route de la Monderèche; 3960, Sierre",26491, Hacienda,/club.aspx?id=26491,"Sat, 14 Aug 2010",/event.aspx?185586,Larytta
"Route de la Monderèche; 3960, Sierre",26491, Hacienda,/club.aspx?id=26491,"Sat, 13 Mar 2010",/event.aspx?146141,Gilles Peterson
"Route de la Monderèche; 3960, Sierre",26491, Hacienda,/club.aspx?id=26491,"Sat, 13 Mar 2010",/event.aspx?146141,Dj Never Die
