club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Wallisellenstrasse 45; 8050, Zürich",17266, Hallenstadion,/club.aspx?id=17266,"Fri, 4 Jul 2014",/event.aspx?579668,Paul Kalkbrenner
"Wallisellenstrasse 45; 8050, Zürich",17266, Hallenstadion,/club.aspx?id=17266,"Fri, 4 Jul 2014",/event.aspx?579668,Chris Liebing
"Wallisellenstrasse 45; 8050, Zürich",17266, Hallenstadion,/club.aspx?id=17266,"Fri, 4 Jul 2014",/event.aspx?579668,Nina Kraviz
"Wallisellenstrasse 45; 8050, Zürich",17266, Hallenstadion,/club.aspx?id=17266,"Fri, 4 Jul 2014",/event.aspx?579668,Claptone
"Wallisellenstrasse 45; 8050, Zürich",17266, Hallenstadion,/club.aspx?id=17266,"Fri, 4 Jul 2014",/event.aspx?579668,Felix Kröcher
"Wallisellenstrasse 45; 8050, Zürich",17266, Hallenstadion,/club.aspx?id=17266,"Fri, 4 Jul 2014",/event.aspx?579668,Luciano
"Wallisellenstrasse 45; 8050, Zürich",17266, Hallenstadion,/club.aspx?id=17266,"Fri, 4 Jul 2014",/event.aspx?579668,Mirko Loko
"Wallisellenstrasse 45; 8050, Zürich",17266, Hallenstadion,/club.aspx?id=17266,"Fri, 4 Jul 2014",/event.aspx?579668,Gianni Callipari
"Wallisellenstrasse 45; 8050, Zürich",17266, Hallenstadion,/club.aspx?id=17266,"Fri, 4 Jul 2014",/event.aspx?579668,Ezikiel
"Wallisellenstrasse 45; 8050, Zürich",17266, Hallenstadion,/club.aspx?id=17266,"Fri, 4 Jul 2014",/event.aspx?579668,Cesar Merveille
"Wallisellenstrasse 45; 8050, Zürich",17266, Hallenstadion,/club.aspx?id=17266,"Fri, 4 Jul 2014",/event.aspx?579668,Pazkal
"Wallisellenstrasse 45; 8050, Zürich",17266, Hallenstadion,/club.aspx?id=17266,"Fri, 4 Jul 2014",/event.aspx?579668,Dejan
"Wallisellenstrasse 45; 8050, Zürich",17266, Hallenstadion,/club.aspx?id=17266,"Fri, 4 Jul 2014",/event.aspx?579668,Reto Ardour
"Wallisellenstrasse 45; 8050, Zürich",17266, Hallenstadion,/club.aspx?id=17266,"Fri, 4 Jul 2014",/event.aspx?579668,Benja
"Wallisellenstrasse 45; 8050, Zürich",17266, Hallenstadion,/club.aspx?id=17266,"Fri, 4 Jul 2014",/event.aspx?579668,Wandervogel
"Wallisellenstrasse 45; 8050, Zürich",17266, Hallenstadion,/club.aspx?id=17266,"Sat, 28 Jun 2014",/event.aspx?603739,Mr.Lucky
"Wallisellenstrasse 45; 8050, Zürich",17266, Hallenstadion,/club.aspx?id=17266,"Sat, 10 Aug 2013",/event.aspx?501727,David Guetta
"Wallisellenstrasse 45; 8050, Zürich",17266, Hallenstadion,/club.aspx?id=17266,"Sat, 8 Aug 2009",/event.aspx?112166,Emix
"Wallisellenstrasse 45; 8050, Zürich",17266, Hallenstadion,/club.aspx?id=17266,"Sat, 23 May 2009",/event.aspx?93108,Dirty South
"Wallisellenstrasse 45; 8050, Zürich",17266, Hallenstadion,/club.aspx?id=17266,"Sat, 23 May 2009",/event.aspx?93108,Fedde Le Grand
"Wallisellenstrasse 45; 8050, Zürich",17266, Hallenstadion,/club.aspx?id=17266,"Sat, 23 May 2009",/event.aspx?93108,Sebastian Ingrosso
"Wallisellenstrasse 45; 8050, Zürich",17266, Hallenstadion,/club.aspx?id=17266,"Sat, 23 May 2009",/event.aspx?93108,Tocadisco
