club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Hafen Murten, Murten / FR /",20655, Harbour Of Morat,/club.aspx?id=20655,"Sat, 23 Jul 2016",/event.aspx?846630,Crowdpleaser
"Hafen Murten, Murten / FR /",20655, Harbour Of Morat,/club.aspx?id=20655,"Sat, 23 Jul 2016",/event.aspx?846630,St. Plomb
"Hafen Murten, Murten / FR /",20655, Harbour Of Morat,/club.aspx?id=20655,"Sat, 23 Jul 2016",/event.aspx?846630,Rodri
"Hafen Murten, Murten / FR /",20655, Harbour Of Morat,/club.aspx?id=20655,"Sat, 11 Jul 2015",/event.aspx?726455,Alex Dallas
"Hafen Murten, Murten / FR /",20655, Harbour Of Morat,/club.aspx?id=20655,"Sat, 11 Jul 2015",/event.aspx?726455,Washerman
"Hafen Murten, Murten / FR /",20655, Harbour Of Morat,/club.aspx?id=20655,"Sat, 11 Jul 2015",/event.aspx?726455,Matto
"Hafen Murten, Murten / FR /",20655, Harbour Of Morat,/club.aspx?id=20655,"Sat, 11 Jul 2015",/event.aspx?726455,Robel
"Hafen Murten, Murten / FR /",20655, Harbour Of Morat,/club.aspx?id=20655,"Sat, 11 Jul 2015",/event.aspx?733187,Alex Dallas
"Hafen Murten, Murten / FR /",20655, Harbour Of Morat,/club.aspx?id=20655,"Sat, 11 Jul 2015",/event.aspx?733187,Washerman
"Hafen Murten, Murten / FR /",20655, Harbour Of Morat,/club.aspx?id=20655,"Sat, 11 Jul 2015",/event.aspx?733187,Matto
"Hafen Murten, Murten / FR /",20655, Harbour Of Morat,/club.aspx?id=20655,"Sat, 11 Jul 2015",/event.aspx?733187,Robel
"Hafen Murten, Murten / FR /",20655, Harbour Of Morat,/club.aspx?id=20655,"Sat, 5 Jul 2014",/event.aspx?602830,Smallpeople
"Hafen Murten, Murten / FR /",20655, Harbour Of Morat,/club.aspx?id=20655,"Sat, 5 Jul 2014",/event.aspx?602830,Demetrio Giannice
"Hafen Murten, Murten / FR /",20655, Harbour Of Morat,/club.aspx?id=20655,"Sat, 5 Jul 2014",/event.aspx?602830,Boris Why
"Hafen Murten, Murten / FR /",20655, Harbour Of Morat,/club.aspx?id=20655,"Sat, 14 Sep 2013",/event.aspx?517528,Todd Bodine
"Hafen Murten, Murten / FR /",20655, Harbour Of Morat,/club.aspx?id=20655,"Sat, 14 Sep 2013",/event.aspx?517528,Andri
"Hafen Murten, Murten / FR /",20655, Harbour Of Morat,/club.aspx?id=20655,"Sat, 14 Sep 2013",/event.aspx?517528,Tremendo
"Hafen Murten, Murten / FR /",20655, Harbour Of Morat,/club.aspx?id=20655,"Sat, 6 Jul 2013",/event.aspx?487347,Deetron
"Hafen Murten, Murten / FR /",20655, Harbour Of Morat,/club.aspx?id=20655,"Sat, 6 Jul 2013",/event.aspx?487347,Huazee
"Hafen Murten, Murten / FR /",20655, Harbour Of Morat,/club.aspx?id=20655,"Sat, 7 Jul 2012",/event.aspx?370085,Kerri Chandler
"Hafen Murten, Murten / FR /",20655, Harbour Of Morat,/club.aspx?id=20655,"Sat, 7 Jul 2012",/event.aspx?370085,Dejan
"Hafen Murten, Murten / FR /",20655, Harbour Of Morat,/club.aspx?id=20655,"Sat, 7 Jul 2012",/event.aspx?370085,Rodri
"Hafen Murten, Murten / FR /",20655, Harbour Of Morat,/club.aspx?id=20655,"Sat, 4 Jun 2011",/event.aspx?254061,Dejan
"Hafen Murten, Murten / FR /",20655, Harbour Of Morat,/club.aspx?id=20655,"Sat, 4 Jun 2011",/event.aspx?254061,Profondo
"Hafen Murten, Murten / FR /",20655, Harbour Of Morat,/club.aspx?id=20655,"Sat, 4 Jun 2011",/event.aspx?254061,Robel
"Hafen Murten, Murten / FR /",20655, Harbour Of Morat,/club.aspx?id=20655,"Sat, 4 Jun 2011",/event.aspx?254061,Kellerkind
"Hafen Murten, Murten / FR /",20655, Harbour Of Morat,/club.aspx?id=20655,"Sat, 4 Jun 2011",/event.aspx?254061,Huazee
"Hafen Murten, Murten / FR /",20655, Harbour Of Morat,/club.aspx?id=20655,"Sat, 4 Jun 2011",/event.aspx?254061,Rodri
"Hafen Murten, Murten / FR /",20655, Harbour Of Morat,/club.aspx?id=20655,"Sat, 5 Jun 2010",/event.aspx?167062,Jacqui
"Hafen Murten, Murten / FR /",20655, Harbour Of Morat,/club.aspx?id=20655,"Sat, 5 Jun 2010",/event.aspx?167062,Kellerkind
"Hafen Murten, Murten / FR /",20655, Harbour Of Morat,/club.aspx?id=20655,"Sat, 5 Jun 2010",/event.aspx?167062,Boris Why
"Hafen Murten, Murten / FR /",20655, Harbour Of Morat,/club.aspx?id=20655,"Fri, 4 Sep 2009",/event.aspx?113110,Frango
"Hafen Murten, Murten / FR /",20655, Harbour Of Morat,/club.aspx?id=20655,"Fri, 4 Sep 2009",/event.aspx?113110,Kellerkind
"Hafen Murten, Murten / FR /",20655, Harbour Of Morat,/club.aspx?id=20655,"Fri, 4 Sep 2009",/event.aspx?113110,Boris Why
"Hafen Murten, Murten / FR /",20655, Harbour Of Morat,/club.aspx?id=20655,"Sat, 6 Jun 2009",/event.aspx?131416,Manon
"Hafen Murten, Murten / FR /",20655, Harbour Of Morat,/club.aspx?id=20655,"Sat, 6 Jun 2009",/event.aspx?131416,Kellerkind
"Hafen Murten, Murten / FR /",20655, Harbour Of Morat,/club.aspx?id=20655,"Sat, 6 Jun 2009",/event.aspx?131416,Boris Why
"Hafen Murten, Murten / FR /",20655, Harbour Of Morat,/club.aspx?id=20655,"Sat, 6 Jun 2009",/event.aspx?131416,buraq
