club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Freilager-Platz 9, 4142 Münchenstein/Basel, CH",96544, HeK,/club.aspx?id=96544,"Thu, 24 Mar 2016",/event.aspx?821273,Gomorra
"Freilager-Platz 9, 4142 Münchenstein/Basel, CH",96544, HeK,/club.aspx?id=96544,"Thu, 24 Mar 2016",/event.aspx?821273,Herrrouine
"Freilager-Platz 9, 4142 Münchenstein/Basel, CH",96544, HeK,/club.aspx?id=96544,"Thu, 24 Mar 2016",/event.aspx?821273,Press C
"Freilager-Platz 9, 4142 Münchenstein/Basel, CH",96544, HeK,/club.aspx?id=96544,"Sat, 12 Sep 2015",/event.aspx?752685,Pita
"Freilager-Platz 9, 4142 Münchenstein/Basel, CH",96544, HeK,/club.aspx?id=96544,"Sat, 20 Jun 2015",/event.aspx?716639,Amnesia Scanner
"Freilager-Platz 9, 4142 Münchenstein/Basel, CH",96544, HeK,/club.aspx?id=96544,"Sat, 20 Jun 2015",/event.aspx?716639,Kablam
"Freilager-Platz 9, 4142 Münchenstein/Basel, CH",96544, HeK,/club.aspx?id=96544,"Thu, 18 Jun 2015",/event.aspx?716636,Charles Cohen
"Freilager-Platz 9, 4142 Münchenstein/Basel, CH",96544, HeK,/club.aspx?id=96544,"Thu, 18 Jun 2015",/event.aspx?716636,Rabih Beaini
"Freilager-Platz 9, 4142 Münchenstein/Basel, CH",96544, HeK,/club.aspx?id=96544,"Sat, 30 May 2015",/event.aspx?716637,Florian Hecker
"Freilager-Platz 9, 4142 Münchenstein/Basel, CH",96544, HeK,/club.aspx?id=96544,"Sat, 30 May 2015",/event.aspx?716637,Bill Kouligas
"Freilager-Platz 9, 4142 Münchenstein/Basel, CH",96544, HeK,/club.aspx?id=96544,"Sat, 9 May 2015",/event.aspx?702986,Robert Piotrowicz
"Freilager-Platz 9, 4142 Münchenstein/Basel, CH",96544, HeK,/club.aspx?id=96544,"Sat, 9 May 2015",/event.aspx?702986,Cut Hands
