club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Neufrankengasse 22, 8004 Zürich",88254, Heile Welt,/club.aspx?id=88254,"Sat, 4 Jun 2016",/event.aspx?843063,Laolu
"Neufrankengasse 22, 8004 Zürich",88254, Heile Welt,/club.aspx?id=88254,"Sat, 20 Feb 2016",/event.aspx?806416,Janiz
"Neufrankengasse 22, 8004 Zürich",88254, Heile Welt,/club.aspx?id=88254,"Fri, 18 Sep 2015",/event.aspx?745112,Lee Jokes
"Neufrankengasse 22, 8004 Zürich",88254, Heile Welt,/club.aspx?id=88254,"Fri, 18 Sep 2015",/event.aspx?745112,Darrien
"Neufrankengasse 22, 8004 Zürich",88254, Heile Welt,/club.aspx?id=88254,"Fri, 18 Sep 2015",/event.aspx?745112,Diego Suarez
"Neufrankengasse 22, 8004 Zürich",88254, Heile Welt,/club.aspx?id=88254,"Fri, 18 Sep 2015",/event.aspx?754515,Marco De Rosa
"Neufrankengasse 22, 8004 Zürich",88254, Heile Welt,/club.aspx?id=88254,"Sat, 29 Aug 2015",/event.aspx?749020,Nakadia
"Neufrankengasse 22, 8004 Zürich",88254, Heile Welt,/club.aspx?id=88254,"Sat, 29 Aug 2015",/event.aspx?749020,Zwei mit Stil
"Neufrankengasse 22, 8004 Zürich",88254, Heile Welt,/club.aspx?id=88254,"Sat, 29 Aug 2015",/event.aspx?749020,Mirus
"Neufrankengasse 22, 8004 Zürich",88254, Heile Welt,/club.aspx?id=88254,"Fri, 22 May 2015",/event.aspx?714217,Mucho Stylez
"Neufrankengasse 22, 8004 Zürich",88254, Heile Welt,/club.aspx?id=88254,"Sat, 8 Nov 2014",/event.aspx?648897,Miguel Puente
"Neufrankengasse 22, 8004 Zürich",88254, Heile Welt,/club.aspx?id=88254,"Sat, 8 Nov 2014",/event.aspx?648897,Low Tales
"Neufrankengasse 22, 8004 Zürich",88254, Heile Welt,/club.aspx?id=88254,"Sat, 8 Nov 2014",/event.aspx?648897,Marco De Rosa
"Neufrankengasse 22, 8004 Zürich",88254, Heile Welt,/club.aspx?id=88254,"Sat, 3 May 2014",/event.aspx?592937,Beda
"Neufrankengasse 22, 8004 Zürich",88254, Heile Welt,/club.aspx?id=88254,"Sat, 3 May 2014",/event.aspx?592937,Georg Stuby
"Neufrankengasse 22, 8004 Zürich",88254, Heile Welt,/club.aspx?id=88254,"Sat, 8 Feb 2014",/event.aspx?562238,Rossko
"Neufrankengasse 22, 8004 Zürich",88254, Heile Welt,/club.aspx?id=88254,"Sat, 8 Feb 2014",/event.aspx?562238,Alci
"Neufrankengasse 22, 8004 Zürich",88254, Heile Welt,/club.aspx?id=88254,"Sat, 8 Feb 2014",/event.aspx?562238,Sandro Kühne
"Neufrankengasse 22, 8004 Zürich",88254, Heile Welt,/club.aspx?id=88254,"Sat, 8 Feb 2014",/event.aspx?562238,Flavio (CH)
"Neufrankengasse 22, 8004 Zürich",88254, Heile Welt,/club.aspx?id=88254,"Sat, 8 Feb 2014",/event.aspx?562238,Nekow
