club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Lindenberg 23, 4058 Basel",46914, Hirscheneck,/club.aspx?id=46914,"Sat, 11 Feb 2017",/event.aspx?922904,Ancient Methods
"Lindenberg 23, 4058 Basel",46914, Hirscheneck,/club.aspx?id=46914,"Sat, 11 Feb 2017",/event.aspx?922904,Melania .
"Lindenberg 23, 4058 Basel",46914, Hirscheneck,/club.aspx?id=46914,"Sat, 11 Feb 2017",/event.aspx?922904,Lila Hart
"Lindenberg 23, 4058 Basel",46914, Hirscheneck,/club.aspx?id=46914,"Sat, 28 Jan 2017",/event.aspx?922902,Fiedel
"Lindenberg 23, 4058 Basel",46914, Hirscheneck,/club.aspx?id=46914,"Sat, 28 Jan 2017",/event.aspx?922902,Herrrouine
"Lindenberg 23, 4058 Basel",46914, Hirscheneck,/club.aspx?id=46914,"Sat, 21 Jan 2017",/event.aspx?922901,Reka
"Lindenberg 23, 4058 Basel",46914, Hirscheneck,/club.aspx?id=46914,"Fri, 13 Jan 2017",/event.aspx?914455,Rvde
"Lindenberg 23, 4058 Basel",46914, Hirscheneck,/club.aspx?id=46914,"Fri, 13 Jan 2017",/event.aspx?914455,Gomorra
"Lindenberg 23, 4058 Basel",46914, Hirscheneck,/club.aspx?id=46914,"Sat, 24 Dec 2016",/event.aspx?913611,Gomorra
"Lindenberg 23, 4058 Basel",46914, Hirscheneck,/club.aspx?id=46914,"Sat, 24 Dec 2016",/event.aspx?913611,Herrrouine
"Lindenberg 23, 4058 Basel",46914, Hirscheneck,/club.aspx?id=46914,"Fri, 25 Nov 2016",/event.aspx?895224,Max Durante
"Lindenberg 23, 4058 Basel",46914, Hirscheneck,/club.aspx?id=46914,"Fri, 25 Nov 2016",/event.aspx?895224,Sol Los
"Lindenberg 23, 4058 Basel",46914, Hirscheneck,/club.aspx?id=46914,"Fri, 25 Nov 2016",/event.aspx?895224,DOMA
"Lindenberg 23, 4058 Basel",46914, Hirscheneck,/club.aspx?id=46914,"Fri, 18 Nov 2016",/event.aspx?893623,Press C
"Lindenberg 23, 4058 Basel",46914, Hirscheneck,/club.aspx?id=46914,"Fri, 11 Nov 2016",/event.aspx?893619,Phase Fatale
"Lindenberg 23, 4058 Basel",46914, Hirscheneck,/club.aspx?id=46914,"Sat, 29 Oct 2016",/event.aspx?880941,Kangding Ray
"Lindenberg 23, 4058 Basel",46914, Hirscheneck,/club.aspx?id=46914,"Sat, 29 Oct 2016",/event.aspx?880941,Gomorra
"Lindenberg 23, 4058 Basel",46914, Hirscheneck,/club.aspx?id=46914,"Sat, 29 Oct 2016",/event.aspx?880941,Lila Hart
"Lindenberg 23, 4058 Basel",46914, Hirscheneck,/club.aspx?id=46914,"Fri, 30 Sep 2016",/event.aspx?874296,Subjected
"Lindenberg 23, 4058 Basel",46914, Hirscheneck,/club.aspx?id=46914,"Fri, 30 Sep 2016",/event.aspx?874296,Herrrouine
"Lindenberg 23, 4058 Basel",46914, Hirscheneck,/club.aspx?id=46914,"Fri, 16 Sep 2016",/event.aspx?871134,Gremino
"Lindenberg 23, 4058 Basel",46914, Hirscheneck,/club.aspx?id=46914,"Thu, 8 Sep 2016",/event.aspx?868002,Blush Response
