club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Erlenstrasse 59; 4057, Basel",75081, Jägerhalle,/club.aspx?id=75081,"Sat, 28 Dec 2013",/event.aspx?546496,Max Manie
"Erlenstrasse 59; 4057, Basel",75081, Jägerhalle,/club.aspx?id=75081,"Sat, 28 Dec 2013",/event.aspx?546496,Scheinizzl
"Erlenstrasse 59; 4057, Basel",75081, Jägerhalle,/club.aspx?id=75081,"Sat, 14 Dec 2013",/event.aspx?546495,Madmotormiquel
"Erlenstrasse 59; 4057, Basel",75081, Jägerhalle,/club.aspx?id=75081,"Sat, 14 Dec 2013",/event.aspx?546495,Thom Nagy
"Erlenstrasse 59; 4057, Basel",75081, Jägerhalle,/club.aspx?id=75081,"Sat, 14 Dec 2013",/event.aspx?546495,Sascha Stohler
"Erlenstrasse 59; 4057, Basel",75081, Jägerhalle,/club.aspx?id=75081,"Fri, 13 Dec 2013",/event.aspx?546493,Malicious Joy
"Erlenstrasse 59; 4057, Basel",75081, Jägerhalle,/club.aspx?id=75081,"Sat, 21 Sep 2013",/event.aspx?512117,Björn Störig
"Erlenstrasse 59; 4057, Basel",75081, Jägerhalle,/club.aspx?id=75081,"Sat, 7 Sep 2013",/event.aspx?512113,Robin Schulz
"Erlenstrasse 59; 4057, Basel",75081, Jägerhalle,/club.aspx?id=75081,"Sat, 7 Sep 2013",/event.aspx?512113,Sascha Stohler
"Erlenstrasse 59; 4057, Basel",75081, Jägerhalle,/club.aspx?id=75081,"Fri, 16 Aug 2013",/event.aspx?506341,C-Rock
"Erlenstrasse 59; 4057, Basel",75081, Jägerhalle,/club.aspx?id=75081,"Sat, 8 Jun 2013",/event.aspx?488527,Jens Bond
"Erlenstrasse 59; 4057, Basel",75081, Jägerhalle,/club.aspx?id=75081,"Sat, 8 Jun 2013",/event.aspx?488527,Mehmet Aslan
"Erlenstrasse 59; 4057, Basel",75081, Jägerhalle,/club.aspx?id=75081,"Fri, 17 May 2013",/event.aspx?480059,Markus Homm
"Erlenstrasse 59; 4057, Basel",75081, Jägerhalle,/club.aspx?id=75081,"Fri, 17 May 2013",/event.aspx?480059,Jamie Shar
"Erlenstrasse 59; 4057, Basel",75081, Jägerhalle,/club.aspx?id=75081,"Fri, 10 May 2013",/event.aspx?480054,Fabian Reichelt
"Erlenstrasse 59; 4057, Basel",75081, Jägerhalle,/club.aspx?id=75081,"Fri, 10 May 2013",/event.aspx?480054,Raycoux Jr
"Erlenstrasse 59; 4057, Basel",75081, Jägerhalle,/club.aspx?id=75081,"Fri, 10 May 2013",/event.aspx?480054,Garçon
"Erlenstrasse 59; 4057, Basel",75081, Jägerhalle,/club.aspx?id=75081,"Tue, 30 Apr 2013",/event.aspx?466944,Tapesh
"Erlenstrasse 59; 4057, Basel",75081, Jägerhalle,/club.aspx?id=75081,"Fri, 19 Apr 2013",/event.aspx?466941,Cosmic Cowboys
"Erlenstrasse 59; 4057, Basel",75081, Jägerhalle,/club.aspx?id=75081,"Fri, 19 Apr 2013",/event.aspx?466941,Yare
"Erlenstrasse 59; 4057, Basel",75081, Jägerhalle,/club.aspx?id=75081,"Fri, 15 Mar 2013",/event.aspx?460024,Jamie Shar
"Erlenstrasse 59; 4057, Basel",75081, Jägerhalle,/club.aspx?id=75081,"Fri, 1 Mar 2013",/event.aspx?456046,Gorge
"Erlenstrasse 59; 4057, Basel",75081, Jägerhalle,/club.aspx?id=75081,"Fri, 1 Mar 2013",/event.aspx?456046,DJ Le Roi
"Erlenstrasse 59; 4057, Basel",75081, Jägerhalle,/club.aspx?id=75081,"Wed, 31 Dec 2014",/event.aspx?658338,Yann Kulovsky
"Erlenstrasse 59; 4057, Basel",75081, Jägerhalle,/club.aspx?id=75081,"Sat, 27 Dec 2014",/event.aspx?658337,Kotelett&Zadak;
"Erlenstrasse 59; 4057, Basel",75081, Jägerhalle,/club.aspx?id=75081,"Sat, 27 Dec 2014",/event.aspx?658337,Sascha Stohler
"Erlenstrasse 59; 4057, Basel",75081, Jägerhalle,/club.aspx?id=75081,"Fri, 12 Dec 2014",/event.aspx?658331,Canson
"Erlenstrasse 59; 4057, Basel",75081, Jägerhalle,/club.aspx?id=75081,"Sat, 6 Dec 2014",/event.aspx?658330,Solee
"Erlenstrasse 59; 4057, Basel",75081, Jägerhalle,/club.aspx?id=75081,"Fri, 28 Nov 2014",/event.aspx?649938,Steve Hope
"Erlenstrasse 59; 4057, Basel",75081, Jägerhalle,/club.aspx?id=75081,"Fri, 28 Nov 2014",/event.aspx?649938,Yann Kulovsky
"Erlenstrasse 59; 4057, Basel",75081, Jägerhalle,/club.aspx?id=75081,"Sat, 22 Nov 2014",/event.aspx?649937,Jan Oberlaender
"Erlenstrasse 59; 4057, Basel",75081, Jägerhalle,/club.aspx?id=75081,"Sat, 22 Nov 2014",/event.aspx?649937,Pawlikowski
"Erlenstrasse 59; 4057, Basel",75081, Jägerhalle,/club.aspx?id=75081,"Fri, 21 Nov 2014",/event.aspx?651567,Luigi Forte
"Erlenstrasse 59; 4057, Basel",75081, Jägerhalle,/club.aspx?id=75081,"Sat, 15 Nov 2014",/event.aspx?649935,Joey Mccrilley
"Erlenstrasse 59; 4057, Basel",75081, Jägerhalle,/club.aspx?id=75081,"Fri, 14 Nov 2014",/event.aspx?649934,Herr Müller
"Erlenstrasse 59; 4057, Basel",75081, Jägerhalle,/club.aspx?id=75081,"Fri, 7 Nov 2014",/event.aspx?649930,Local Suicide
"Erlenstrasse 59; 4057, Basel",75081, Jägerhalle,/club.aspx?id=75081,"Sat, 1 Nov 2014",/event.aspx?649927,Parra for Cuva
