club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Tellistrasse 118; 5001, Aarau",9148, KIFF,/club.aspx?id=9148,"Sat, 5 Nov 2016",/event.aspx?895154,Animal Trainer
"Tellistrasse 118; 5001, Aarau",9148, KIFF,/club.aspx?id=9148,"Fri, 4 Nov 2016",/event.aspx?887486,Dave Eleanor
"Tellistrasse 118; 5001, Aarau",9148, KIFF,/club.aspx?id=9148,"Sat, 21 Nov 2015",/event.aspx?785379,Township Rebellion
"Tellistrasse 118; 5001, Aarau",9148, KIFF,/club.aspx?id=9148,"Sat, 3 Oct 2015",/event.aspx?758419,Niko Schwind
"Tellistrasse 118; 5001, Aarau",9148, KIFF,/club.aspx?id=9148,"Sat, 3 Oct 2015",/event.aspx?758419,Kellerkind
"Tellistrasse 118; 5001, Aarau",9148, KIFF,/club.aspx?id=9148,"Sat, 3 May 2014",/event.aspx?571124,Adana Twins
"Tellistrasse 118; 5001, Aarau",9148, KIFF,/club.aspx?id=9148,"Sat, 8 Feb 2014",/event.aspx?555567,Tiefschwarz
"Tellistrasse 118; 5001, Aarau",9148, KIFF,/club.aspx?id=9148,"Fri, 19 Apr 2013",/event.aspx?469210,Tropics
"Tellistrasse 118; 5001, Aarau",9148, KIFF,/club.aspx?id=9148,"Fri, 19 Apr 2013",/event.aspx?469210,Lexx
"Tellistrasse 118; 5001, Aarau",9148, KIFF,/club.aspx?id=9148,"Fri, 19 Apr 2013",/event.aspx?469210,Permanent Vacation
"Tellistrasse 118; 5001, Aarau",9148, KIFF,/club.aspx?id=9148,"Fri, 19 Apr 2013",/event.aspx?469210,Joel Gautschi
"Tellistrasse 118; 5001, Aarau",9148, KIFF,/club.aspx?id=9148,"Sat, 9 Feb 2013",/event.aspx?448805,Massive Jay
"Tellistrasse 118; 5001, Aarau",9148, KIFF,/club.aspx?id=9148,"Sat, 15 Dec 2012",/event.aspx?432898,Dom & Roland
"Tellistrasse 118; 5001, Aarau",9148, KIFF,/club.aspx?id=9148,"Sat, 15 Dec 2012",/event.aspx?432898,Chemical Soul
"Tellistrasse 118; 5001, Aarau",9148, KIFF,/club.aspx?id=9148,"Sat, 15 Dec 2012",/event.aspx?432898,Presscode
"Tellistrasse 118; 5001, Aarau",9148, KIFF,/club.aspx?id=9148,"Sat, 1 Dec 2012",/event.aspx?422890,Jerome Cerilla
"Tellistrasse 118; 5001, Aarau",9148, KIFF,/club.aspx?id=9148,"Sat, 1 Dec 2012",/event.aspx?422890,Stikmoo
"Tellistrasse 118; 5001, Aarau",9148, KIFF,/club.aspx?id=9148,"Sat, 27 Oct 2012",/event.aspx?407385,Current Value
"Tellistrasse 118; 5001, Aarau",9148, KIFF,/club.aspx?id=9148,"Sat, 27 Oct 2012",/event.aspx?407385,Techfreak
"Tellistrasse 118; 5001, Aarau",9148, KIFF,/club.aspx?id=9148,"Sat, 27 Oct 2012",/event.aspx?407385,Presscode
"Tellistrasse 118; 5001, Aarau",9148, KIFF,/club.aspx?id=9148,"Fri, 31 Aug 2012",/event.aspx?395494,Mickail
"Tellistrasse 118; 5001, Aarau",9148, KIFF,/club.aspx?id=9148,"Fri, 31 Aug 2012",/event.aspx?395494,Massive Jay
"Tellistrasse 118; 5001, Aarau",9148, KIFF,/club.aspx?id=9148,"Fri, 25 May 2012",/event.aspx?358131,Massive Jay
"Tellistrasse 118; 5001, Aarau",9148, KIFF,/club.aspx?id=9148,"Fri, 25 May 2012",/event.aspx?358131,Joel Gautschi
"Tellistrasse 118; 5001, Aarau",9148, KIFF,/club.aspx?id=9148,"Sat, 4 Feb 2012",/event.aspx?328583,Massive Jay
"Tellistrasse 118; 5001, Aarau",9148, KIFF,/club.aspx?id=9148,"Fri, 30 Dec 2011",/event.aspx?319288,Mickail
