club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Bollwerk 41; 3011, Bern",55724, Kapitel,/club.aspx?id=55724,"Sat, 31 Dec 2011",/event.aspx?315218,Dauwalder
"Bollwerk 41; 3011, Bern",55724, Kapitel,/club.aspx?id=55724,"Sat, 31 Dec 2011",/event.aspx?315218,Frango
"Bollwerk 41; 3011, Bern",55724, Kapitel,/club.aspx?id=55724,"Sat, 31 Dec 2011",/event.aspx?315218,Jagged
"Bollwerk 41; 3011, Bern",55724, Kapitel,/club.aspx?id=55724,"Sun, 25 Dec 2011",/event.aspx?317539,Robel
"Bollwerk 41; 3011, Bern",55724, Kapitel,/club.aspx?id=55724,"Sun, 25 Dec 2011",/event.aspx?317539,Boris Why
"Bollwerk 41; 3011, Bern",55724, Kapitel,/club.aspx?id=55724,"Sun, 25 Dec 2011",/event.aspx?317539,Huazee
"Bollwerk 41; 3011, Bern",55724, Kapitel,/club.aspx?id=55724,"Sat, 24 Dec 2011",/event.aspx?315027,Beats On Demand
"Bollwerk 41; 3011, Bern",55724, Kapitel,/club.aspx?id=55724,"Fri, 9 Dec 2011",/event.aspx?317613,Frango
"Bollwerk 41; 3011, Bern",55724, Kapitel,/club.aspx?id=55724,"Tue, 25 Dec 2012",/event.aspx?430801,Boris Why
"Bollwerk 41; 3011, Bern",55724, Kapitel,/club.aspx?id=55724,"Tue, 25 Dec 2012",/event.aspx?430801,Huazee
"Bollwerk 41; 3011, Bern",55724, Kapitel,/club.aspx?id=55724,"Tue, 25 Dec 2012",/event.aspx?430801,Robel
"Bollwerk 41; 3011, Bern",55724, Kapitel,/club.aspx?id=55724,"Sat, 24 Nov 2012",/event.aspx?418120,Nicholas
"Bollwerk 41; 3011, Bern",55724, Kapitel,/club.aspx?id=55724,"Sat, 24 Nov 2012",/event.aspx?418120,Robel
"Bollwerk 41; 3011, Bern",55724, Kapitel,/club.aspx?id=55724,"Sat, 17 Nov 2012",/event.aspx?421080,Maxxi Soundsystem
"Bollwerk 41; 3011, Bern",55724, Kapitel,/club.aspx?id=55724,"Sat, 17 Nov 2012",/event.aspx?421080,Futureboogie
"Bollwerk 41; 3011, Bern",55724, Kapitel,/club.aspx?id=55724,"Sat, 17 Nov 2012",/event.aspx?421080,First Season
"Bollwerk 41; 3011, Bern",55724, Kapitel,/club.aspx?id=55724,"Fri, 19 Oct 2012",/event.aspx?406604,Smallpeople
"Bollwerk 41; 3011, Bern",55724, Kapitel,/club.aspx?id=55724,"Fri, 19 Oct 2012",/event.aspx?406604,Dionne
"Bollwerk 41; 3011, Bern",55724, Kapitel,/club.aspx?id=55724,"Fri, 19 Oct 2012",/event.aspx?406604,Julius Steinhoff
"Bollwerk 41; 3011, Bern",55724, Kapitel,/club.aspx?id=55724,"Fri, 19 Oct 2012",/event.aspx?406604,Rodri
"Bollwerk 41; 3011, Bern",55724, Kapitel,/club.aspx?id=55724,"Sat, 15 Sep 2012",/event.aspx?396043,Memoryman aka Uovo
"Bollwerk 41; 3011, Bern",55724, Kapitel,/club.aspx?id=55724,"Sat, 15 Sep 2012",/event.aspx?396043,Pastaboys
"Bollwerk 41; 3011, Bern",55724, Kapitel,/club.aspx?id=55724,"Sat, 15 Sep 2012",/event.aspx?396043,Demetrio Giannice
"Bollwerk 41; 3011, Bern",55724, Kapitel,/club.aspx?id=55724,"Sat, 15 Sep 2012",/event.aspx?396043,Huazee
"Bollwerk 41; 3011, Bern",55724, Kapitel,/club.aspx?id=55724,"Sat, 8 Sep 2012",/event.aspx?395907,Dachshund
"Bollwerk 41; 3011, Bern",55724, Kapitel,/club.aspx?id=55724,"Sat, 8 Sep 2012",/event.aspx?395907,Masaya
"Bollwerk 41; 3011, Bern",55724, Kapitel,/club.aspx?id=55724,"Fri, 27 Jul 2012",/event.aspx?390407,Rodri
"Bollwerk 41; 3011, Bern",55724, Kapitel,/club.aspx?id=55724,"Fri, 27 Jul 2012",/event.aspx?390407,Dave Canina
"Bollwerk 41; 3011, Bern",55724, Kapitel,/club.aspx?id=55724,"Fri, 27 Jul 2012",/event.aspx?390407,Jon Donson
"Bollwerk 41; 3011, Bern",55724, Kapitel,/club.aspx?id=55724,"Sat, 30 Jun 2012",/event.aspx?373687,Roman Flügel
"Bollwerk 41; 3011, Bern",55724, Kapitel,/club.aspx?id=55724,"Sat, 30 Jun 2012",/event.aspx?373687,Alex Like
"Bollwerk 41; 3011, Bern",55724, Kapitel,/club.aspx?id=55724,"Fri, 29 Jun 2012",/event.aspx?373686,Niko Schwind
"Bollwerk 41; 3011, Bern",55724, Kapitel,/club.aspx?id=55724,"Fri, 29 Jun 2012",/event.aspx?373686,Kellerkind
"Bollwerk 41; 3011, Bern",55724, Kapitel,/club.aspx?id=55724,"Sat, 23 Jun 2012",/event.aspx?371439,Session Victim
"Bollwerk 41; 3011, Bern",55724, Kapitel,/club.aspx?id=55724,"Sat, 23 Jun 2012",/event.aspx?371439,Boris Why
"Bollwerk 41; 3011, Bern",55724, Kapitel,/club.aspx?id=55724,"Sat, 16 Jun 2012",/event.aspx?373680,Sid Le Rock
"Bollwerk 41; 3011, Bern",55724, Kapitel,/club.aspx?id=55724,"Fri, 8 Jun 2012",/event.aspx?373674,Andri
"Bollwerk 41; 3011, Bern",55724, Kapitel,/club.aspx?id=55724,"Sat, 2 Jun 2012",/event.aspx?368338,Ezikiel
"Bollwerk 41; 3011, Bern",55724, Kapitel,/club.aspx?id=55724,"Sat, 19 May 2012",/event.aspx?340300,Jichael Mackson
"Bollwerk 41; 3011, Bern",55724, Kapitel,/club.aspx?id=55724,"Sat, 19 May 2012",/event.aspx?340300,Dario Zenker
"Bollwerk 41; 3011, Bern",55724, Kapitel,/club.aspx?id=55724,"Fri, 11 May 2012",/event.aspx?359031,Nicola Kazimir
"Bollwerk 41; 3011, Bern",55724, Kapitel,/club.aspx?id=55724,"Fri, 11 May 2012",/event.aspx?359031,Rodri
"Bollwerk 41; 3011, Bern",55724, Kapitel,/club.aspx?id=55724,"Sat, 5 May 2012",/event.aspx?353663,Crazy P
"Bollwerk 41; 3011, Bern",55724, Kapitel,/club.aspx?id=55724,"Sat, 5 May 2012",/event.aspx?353663,Futureboogie
"Bollwerk 41; 3011, Bern",55724, Kapitel,/club.aspx?id=55724,"Fri, 4 May 2012",/event.aspx?355200,Enzo Siragusa
"Bollwerk 41; 3011, Bern",55724, Kapitel,/club.aspx?id=55724,"Fri, 4 May 2012",/event.aspx?355200,Jon Donson
"Bollwerk 41; 3011, Bern",55724, Kapitel,/club.aspx?id=55724,"Fri, 4 May 2012",/event.aspx?355200,Freiberg
"Bollwerk 41; 3011, Bern",55724, Kapitel,/club.aspx?id=55724,"Sat, 24 Mar 2012",/event.aspx?343646,Eddie C
"Bollwerk 41; 3011, Bern",55724, Kapitel,/club.aspx?id=55724,"Sat, 24 Mar 2012",/event.aspx?343646,Huazee
"Bollwerk 41; 3011, Bern",55724, Kapitel,/club.aspx?id=55724,"Thu, 16 Feb 2012",/event.aspx?340223,Jichael Mackson
"Bollwerk 41; 3011, Bern",55724, Kapitel,/club.aspx?id=55724,"Thu, 16 Feb 2012",/event.aspx?340223,Dario Zenker
"Bollwerk 41; 3011, Bern",55724, Kapitel,/club.aspx?id=55724,"Sat, 21 Jan 2012",/event.aspx?315220,Andaloop
"Bollwerk 41; 3011, Bern",55724, Kapitel,/club.aspx?id=55724,"Sat, 21 Jan 2012",/event.aspx?315220,J_Sanders
"Bollwerk 41; 3011, Bern",55724, Kapitel,/club.aspx?id=55724,"Sat, 21 Jan 2012",/event.aspx?315220,Jagged
"Bollwerk 41; 3011, Bern",55724, Kapitel,/club.aspx?id=55724,"Sat, 14 Jan 2012",/event.aspx?321487,System Of Survival
"Bollwerk 41; 3011, Bern",55724, Kapitel,/club.aspx?id=55724,"Sat, 14 Jan 2012",/event.aspx?321487,Huazee
