club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Muttenzerweg, 4052 Basel",102435, Kaschemme Basel,/club.aspx?id=102435,"Sun, 15 Jan 2017",/event.aspx?919560,Vanita
"Muttenzerweg, 4052 Basel",102435, Kaschemme Basel,/club.aspx?id=102435,"Sun, 15 Jan 2017",/event.aspx?919560,Schalltrauma
"Muttenzerweg, 4052 Basel",102435, Kaschemme Basel,/club.aspx?id=102435,"Sat, 14 Jan 2017",/event.aspx?919558,Yago
"Muttenzerweg, 4052 Basel",102435, Kaschemme Basel,/club.aspx?id=102435,"Sun, 18 Dec 2016",/event.aspx?901139,Nici Faerber
"Muttenzerweg, 4052 Basel",102435, Kaschemme Basel,/club.aspx?id=102435,"Sun, 18 Dec 2016",/event.aspx?901139,Andlee
"Muttenzerweg, 4052 Basel",102435, Kaschemme Basel,/club.aspx?id=102435,"Sun, 18 Dec 2016",/event.aspx?901139,Dan.B
"Muttenzerweg, 4052 Basel",102435, Kaschemme Basel,/club.aspx?id=102435,"Sat, 17 Dec 2016",/event.aspx?901133,J:Kenzo
"Muttenzerweg, 4052 Basel",102435, Kaschemme Basel,/club.aspx?id=102435,"Sat, 17 Dec 2016",/event.aspx?901133,Zecher
"Muttenzerweg, 4052 Basel",102435, Kaschemme Basel,/club.aspx?id=102435,"Sat, 17 Dec 2016",/event.aspx?901133,Subotage
"Muttenzerweg, 4052 Basel",102435, Kaschemme Basel,/club.aspx?id=102435,"Sat, 17 Dec 2016",/event.aspx?901133,Zenith
"Muttenzerweg, 4052 Basel",102435, Kaschemme Basel,/club.aspx?id=102435,"Sat, 19 Nov 2016",/event.aspx?901127,EPROM
"Muttenzerweg, 4052 Basel",102435, Kaschemme Basel,/club.aspx?id=102435,"Sun, 13 Nov 2016",/event.aspx?901141,Ramon Tapia
"Muttenzerweg, 4052 Basel",102435, Kaschemme Basel,/club.aspx?id=102435,"Sun, 13 Nov 2016",/event.aspx?901141,Pawlikowski
"Muttenzerweg, 4052 Basel",102435, Kaschemme Basel,/club.aspx?id=102435,"Sun, 13 Nov 2016",/event.aspx?901141,Schalltrauma
"Muttenzerweg, 4052 Basel",102435, Kaschemme Basel,/club.aspx?id=102435,"Fri, 30 Sep 2016",/event.aspx?876620,Ben Kaczor
"Muttenzerweg, 4052 Basel",102435, Kaschemme Basel,/club.aspx?id=102435,"Fri, 30 Sep 2016",/event.aspx?876620,Kombé
"Muttenzerweg, 4052 Basel",102435, Kaschemme Basel,/club.aspx?id=102435,"Sat, 24 Sep 2016",/event.aspx?880817,Garçon
"Muttenzerweg, 4052 Basel",102435, Kaschemme Basel,/club.aspx?id=102435,"Sat, 28 May 2016",/event.aspx?842072,TMSV
"Muttenzerweg, 4052 Basel",102435, Kaschemme Basel,/club.aspx?id=102435,"Sat, 28 May 2016",/event.aspx?842072,Artikal
"Muttenzerweg, 4052 Basel",102435, Kaschemme Basel,/club.aspx?id=102435,"Sat, 28 May 2016",/event.aspx?842072,Timnah Sommerfeldt
"Muttenzerweg, 4052 Basel",102435, Kaschemme Basel,/club.aspx?id=102435,"Sat, 28 May 2016",/event.aspx?842072,Zecher
"Muttenzerweg, 4052 Basel",102435, Kaschemme Basel,/club.aspx?id=102435,"Fri, 29 Jan 2016",/event.aspx?792798,Krizzli
"Muttenzerweg, 4052 Basel",102435, Kaschemme Basel,/club.aspx?id=102435,"Sat, 23 Jan 2016",/event.aspx?785015,Mala
"Muttenzerweg, 4052 Basel",102435, Kaschemme Basel,/club.aspx?id=102435,"Sat, 23 Jan 2016",/event.aspx?785015,Digital Mystikz
"Muttenzerweg, 4052 Basel",102435, Kaschemme Basel,/club.aspx?id=102435,"Sat, 23 Jan 2016",/event.aspx?785015,Zecher
"Muttenzerweg, 4052 Basel",102435, Kaschemme Basel,/club.aspx?id=102435,"Sat, 23 Jan 2016",/event.aspx?785015,Subotage
"Muttenzerweg, 4052 Basel",102435, Kaschemme Basel,/club.aspx?id=102435,"Sat, 7 Nov 2015",/event.aspx?772327,Vinyl Speed Adjust
"Muttenzerweg, 4052 Basel",102435, Kaschemme Basel,/club.aspx?id=102435,"Sat, 7 Nov 2015",/event.aspx?772327,Scott Kemp
