club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Ausstellungsstrasse 21, Zurich",95870, Kauz,/club.aspx?id=95870,"Sat, 28 Jan 2017",/event.aspx?919167,Kuriose Naturale
"Ausstellungsstrasse 21, Zurich",95870, Kauz,/club.aspx?id=95870,"Fri, 27 Jan 2017",/event.aspx?919164,Simon Kwe
"Ausstellungsstrasse 21, Zurich",95870, Kauz,/club.aspx?id=95870,"Sat, 21 Jan 2017",/event.aspx?921360,Alma Negra
"Ausstellungsstrasse 21, Zurich",95870, Kauz,/club.aspx?id=95870,"Sat, 21 Jan 2017",/event.aspx?921360,Lexx
"Ausstellungsstrasse 21, Zurich",95870, Kauz,/club.aspx?id=95870,"Fri, 20 Jan 2017",/event.aspx?919163,Stefano Ritteri
"Ausstellungsstrasse 21, Zurich",95870, Kauz,/club.aspx?id=95870,"Sat, 14 Jan 2017",/event.aspx?919160,Playlove
"Ausstellungsstrasse 21, Zurich",95870, Kauz,/club.aspx?id=95870,"Sat, 14 Jan 2017",/event.aspx?919160,Styro 2000
"Ausstellungsstrasse 21, Zurich",95870, Kauz,/club.aspx?id=95870,"Fri, 13 Jan 2017",/event.aspx?919157,Bonjour Ben
"Ausstellungsstrasse 21, Zurich",95870, Kauz,/club.aspx?id=95870,"Fri, 13 Jan 2017",/event.aspx?919157,Milo Häfliger
"Ausstellungsstrasse 21, Zurich",95870, Kauz,/club.aspx?id=95870,"Fri, 13 Jan 2017",/event.aspx?919157,Rearte
"Ausstellungsstrasse 21, Zurich",95870, Kauz,/club.aspx?id=95870,"Fri, 6 Jan 2017",/event.aspx?919154,Krink
"Ausstellungsstrasse 21, Zurich",95870, Kauz,/club.aspx?id=95870,"Mon, 26 Dec 2016",/event.aspx?907770,Romar
"Ausstellungsstrasse 21, Zurich",95870, Kauz,/club.aspx?id=95870,"Mon, 26 Dec 2016",/event.aspx?907770,Jon Donson
"Ausstellungsstrasse 21, Zurich",95870, Kauz,/club.aspx?id=95870,"Mon, 26 Dec 2016",/event.aspx?907770,Eli Verveine
"Ausstellungsstrasse 21, Zurich",95870, Kauz,/club.aspx?id=95870,"Mon, 26 Dec 2016",/event.aspx?907770,Rozzo
"Ausstellungsstrasse 21, Zurich",95870, Kauz,/club.aspx?id=95870,"Mon, 26 Dec 2016",/event.aspx?907770,Serafin
"Ausstellungsstrasse 21, Zurich",95870, Kauz,/club.aspx?id=95870,"Mon, 26 Dec 2016",/event.aspx?907770,Bruder Gill
"Ausstellungsstrasse 21, Zurich",95870, Kauz,/club.aspx?id=95870,"Mon, 26 Dec 2016",/event.aspx?907770,Douala
"Ausstellungsstrasse 21, Zurich",95870, Kauz,/club.aspx?id=95870,"Sat, 17 Dec 2016",/event.aspx?905515,Madmotormiquel
"Ausstellungsstrasse 21, Zurich",95870, Kauz,/club.aspx?id=95870,"Fri, 16 Dec 2016",/event.aspx?905512,Alex Dallas
"Ausstellungsstrasse 21, Zurich",95870, Kauz,/club.aspx?id=95870,"Fri, 16 Dec 2016",/event.aspx?905512,Manuel Fischer
"Ausstellungsstrasse 21, Zurich",95870, Kauz,/club.aspx?id=95870,"Thu, 15 Dec 2016",/event.aspx?905507,Acid Pauli
"Ausstellungsstrasse 21, Zurich",95870, Kauz,/club.aspx?id=95870,"Fri, 9 Dec 2016",/event.aspx?905502,Milo Häfliger
"Ausstellungsstrasse 21, Zurich",95870, Kauz,/club.aspx?id=95870,"Fri, 9 Dec 2016",/event.aspx?905502,Samsara
"Ausstellungsstrasse 21, Zurich",95870, Kauz,/club.aspx?id=95870,"Thu, 8 Dec 2016",/event.aspx?905500,Roberto Rodriguez
"Ausstellungsstrasse 21, Zurich",95870, Kauz,/club.aspx?id=95870,"Sat, 3 Dec 2016",/event.aspx?905497,Dwig
"Ausstellungsstrasse 21, Zurich",95870, Kauz,/club.aspx?id=95870,"Sat, 3 Dec 2016",/event.aspx?905497,Kerala Dust
"Ausstellungsstrasse 21, Zurich",95870, Kauz,/club.aspx?id=95870,"Sat, 3 Dec 2016",/event.aspx?905497,Kalabrese
"Ausstellungsstrasse 21, Zurich",95870, Kauz,/club.aspx?id=95870,"Sat, 3 Dec 2016",/event.aspx?905497,Bruder Gill
"Ausstellungsstrasse 21, Zurich",95870, Kauz,/club.aspx?id=95870,"Sat, 3 Dec 2016",/event.aspx?905497,Luke Redford
"Ausstellungsstrasse 21, Zurich",95870, Kauz,/club.aspx?id=95870,"Thu, 1 Dec 2016",/event.aspx?905487,Story of Tides
"Ausstellungsstrasse 21, Zurich",95870, Kauz,/club.aspx?id=95870,"Sat, 26 Nov 2016",/event.aspx?899936,Konstantin
"Ausstellungsstrasse 21, Zurich",95870, Kauz,/club.aspx?id=95870,"Sat, 26 Nov 2016",/event.aspx?899936,Rozzo
"Ausstellungsstrasse 21, Zurich",95870, Kauz,/club.aspx?id=95870,"Sat, 26 Nov 2016",/event.aspx?899936,Pablo Einzig
"Ausstellungsstrasse 21, Zurich",95870, Kauz,/club.aspx?id=95870,"Fri, 25 Nov 2016",/event.aspx?899935,Sven Dohse
"Ausstellungsstrasse 21, Zurich",95870, Kauz,/club.aspx?id=95870,"Thu, 24 Nov 2016",/event.aspx?899933,P.Bell
"Ausstellungsstrasse 21, Zurich",95870, Kauz,/club.aspx?id=95870,"Tue, 22 Nov 2016",/event.aspx?907767,Abdel Hady
