club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Zurcherstrasse 1; 5400, Baden",54022, Kiste Baden,/club.aspx?id=54022,"Sat, 31 Dec 2011",/event.aspx?308633,Monkey Safari
"Zurcherstrasse 1; 5400, Baden",54022, Kiste Baden,/club.aspx?id=54022,"Fri, 30 Dec 2011",/event.aspx?321697,Ezikiel
"Zurcherstrasse 1; 5400, Baden",54022, Kiste Baden,/club.aspx?id=54022,"Fri, 23 Dec 2011",/event.aspx?321696,Jimi Jules
"Zurcherstrasse 1; 5400, Baden",54022, Kiste Baden,/club.aspx?id=54022,"Fri, 23 Dec 2011",/event.aspx?321696,Luki
"Zurcherstrasse 1; 5400, Baden",54022, Kiste Baden,/club.aspx?id=54022,"Fri, 16 Dec 2011",/event.aspx?317660,Carlos Sanchez
"Zurcherstrasse 1; 5400, Baden",54022, Kiste Baden,/club.aspx?id=54022,"Fri, 16 Dec 2011",/event.aspx?317660,Kellerkind
"Zurcherstrasse 1; 5400, Baden",54022, Kiste Baden,/club.aspx?id=54022,"Sat, 10 Dec 2011",/event.aspx?317657,Reto Ardour
"Zurcherstrasse 1; 5400, Baden",54022, Kiste Baden,/club.aspx?id=54022,"Sat, 10 Dec 2011",/event.aspx?317657,Benja
"Zurcherstrasse 1; 5400, Baden",54022, Kiste Baden,/club.aspx?id=54022,"Sat, 10 Dec 2011",/event.aspx?317657,Laso
"Zurcherstrasse 1; 5400, Baden",54022, Kiste Baden,/club.aspx?id=54022,"Fri, 9 Dec 2011",/event.aspx?317653,Laso
"Zurcherstrasse 1; 5400, Baden",54022, Kiste Baden,/club.aspx?id=54022,"Sat, 3 Dec 2011",/event.aspx?314116,Pascal Inc.
"Zurcherstrasse 1; 5400, Baden",54022, Kiste Baden,/club.aspx?id=54022,"Fri, 2 Dec 2011",/event.aspx?315114,Le Citadin
"Zurcherstrasse 1; 5400, Baden",54022, Kiste Baden,/club.aspx?id=54022,"Fri, 25 Nov 2011",/event.aspx?309977,Eli Verveine
"Zurcherstrasse 1; 5400, Baden",54022, Kiste Baden,/club.aspx?id=54022,"Fri, 25 Nov 2011",/event.aspx?309977,Jacqui
"Zurcherstrasse 1; 5400, Baden",54022, Kiste Baden,/club.aspx?id=54022,"Fri, 25 Nov 2011",/event.aspx?309977,Wicked Wilma
"Zurcherstrasse 1; 5400, Baden",54022, Kiste Baden,/club.aspx?id=54022,"Sat, 19 Nov 2011",/event.aspx?306728,Don Ramon
"Zurcherstrasse 1; 5400, Baden",54022, Kiste Baden,/club.aspx?id=54022,"Sat, 12 Nov 2011",/event.aspx?306718,Robosonic
"Zurcherstrasse 1; 5400, Baden",54022, Kiste Baden,/club.aspx?id=54022,"Sat, 12 Nov 2011",/event.aspx?306718,Pascal Inc.
"Zurcherstrasse 1; 5400, Baden",54022, Kiste Baden,/club.aspx?id=54022,"Fri, 11 Nov 2011",/event.aspx?306716,nemoy
"Zurcherstrasse 1; 5400, Baden",54022, Kiste Baden,/club.aspx?id=54022,"Sat, 5 Nov 2011",/event.aspx?306713,König Balthasar
"Zurcherstrasse 1; 5400, Baden",54022, Kiste Baden,/club.aspx?id=54022,"Sat, 5 Nov 2011",/event.aspx?306713,Wandler
"Zurcherstrasse 1; 5400, Baden",54022, Kiste Baden,/club.aspx?id=54022,"Fri, 28 Oct 2011",/event.aspx?303331,Pascal Inc.
"Zurcherstrasse 1; 5400, Baden",54022, Kiste Baden,/club.aspx?id=54022,"Sat, 22 Oct 2011",/event.aspx?303328,Zombie Disco Squad
"Zurcherstrasse 1; 5400, Baden",54022, Kiste Baden,/club.aspx?id=54022,"Mon, 31 Dec 2012",/event.aspx?429101,Kolombo
"Zurcherstrasse 1; 5400, Baden",54022, Kiste Baden,/club.aspx?id=54022,"Mon, 31 Dec 2012",/event.aspx?429101,Pascal Inc.
"Zurcherstrasse 1; 5400, Baden",54022, Kiste Baden,/club.aspx?id=54022,"Mon, 31 Dec 2012",/event.aspx?429101,Barbir
"Zurcherstrasse 1; 5400, Baden",54022, Kiste Baden,/club.aspx?id=54022,"Mon, 31 Dec 2012",/event.aspx?429101,Zouaoui
"Zurcherstrasse 1; 5400, Baden",54022, Kiste Baden,/club.aspx?id=54022,"Fri, 28 Dec 2012",/event.aspx?429100,Daniel Mehlhart
