club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Hohlstrasse 457; 8048, Zürich",40920, Komplex Klub,/club.aspx?id=40920,"Sat, 25 Feb 2017",/event.aspx?912787,Fritz Kalkbrenner
"Hohlstrasse 457; 8048, Zürich",40920, Komplex Klub,/club.aspx?id=40920,"Sat, 25 Feb 2017",/event.aspx?912787,Animal Trainer
"Hohlstrasse 457; 8048, Zürich",40920, Komplex Klub,/club.aspx?id=40920,"Sat, 2 Apr 2016",/event.aspx?803274,Emix
"Hohlstrasse 457; 8048, Zürich",40920, Komplex Klub,/club.aspx?id=40920,"Sat, 2 Apr 2016",/event.aspx?803274,D Lewis
"Hohlstrasse 457; 8048, Zürich",40920, Komplex Klub,/club.aspx?id=40920,"Sun, 7 Feb 2016",/event.aspx?794698,Black Coffee
"Hohlstrasse 457; 8048, Zürich",40920, Komplex Klub,/club.aspx?id=40920,"Sun, 7 Feb 2016",/event.aspx?794698,Reto Ardour
"Hohlstrasse 457; 8048, Zürich",40920, Komplex Klub,/club.aspx?id=40920,"Sun, 7 Feb 2016",/event.aspx?794698,Dejan
"Hohlstrasse 457; 8048, Zürich",40920, Komplex Klub,/club.aspx?id=40920,"Sat, 29 Aug 2015",/event.aspx?744142,Bassjackers
"Hohlstrasse 457; 8048, Zürich",40920, Komplex Klub,/club.aspx?id=40920,"Sat, 29 Aug 2015",/event.aspx?744142,FlicFlac
"Hohlstrasse 457; 8048, Zürich",40920, Komplex Klub,/club.aspx?id=40920,"Sat, 7 Mar 2015",/event.aspx?678708,Dustin Zahn
"Hohlstrasse 457; 8048, Zürich",40920, Komplex Klub,/club.aspx?id=40920,"Sat, 7 Mar 2015",/event.aspx?678708,Joop Junior
"Hohlstrasse 457; 8048, Zürich",40920, Komplex Klub,/club.aspx?id=40920,"Sat, 7 Mar 2015",/event.aspx?678708,Suspect One
"Hohlstrasse 457; 8048, Zürich",40920, Komplex Klub,/club.aspx?id=40920,"Fri, 30 Jan 2015",/event.aspx?678705,Julian Jeweil
"Hohlstrasse 457; 8048, Zürich",40920, Komplex Klub,/club.aspx?id=40920,"Fri, 30 Jan 2015",/event.aspx?678705,Timo Maas
"Hohlstrasse 457; 8048, Zürich",40920, Komplex Klub,/club.aspx?id=40920,"Fri, 30 Jan 2015",/event.aspx?678705,Markus Kenel
