club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Güterbahnhofstrasse 4; 9000, St. Gallen",7793, Kugl,/club.aspx?id=7793,"Sat, 8 Oct 2016",/event.aspx?882774,Boris Brejcha
"Güterbahnhofstrasse 4; 9000, St. Gallen",7793, Kugl,/club.aspx?id=7793,"Sat, 8 Oct 2016",/event.aspx?882774,Ann Clue
"Güterbahnhofstrasse 4; 9000, St. Gallen",7793, Kugl,/club.aspx?id=7793,"Fri, 14 Aug 2015",/event.aspx?740231,Isolée
"Güterbahnhofstrasse 4; 9000, St. Gallen",7793, Kugl,/club.aspx?id=7793,"Fri, 14 Aug 2015",/event.aspx?740231,Sascha Dive
"Güterbahnhofstrasse 4; 9000, St. Gallen",7793, Kugl,/club.aspx?id=7793,"Fri, 14 Aug 2015",/event.aspx?740231,Dejan
"Güterbahnhofstrasse 4; 9000, St. Gallen",7793, Kugl,/club.aspx?id=7793,"Fri, 14 Aug 2015",/event.aspx?740231,Manuel Moreno
"Güterbahnhofstrasse 4; 9000, St. Gallen",7793, Kugl,/club.aspx?id=7793,"Fri, 14 Aug 2015",/event.aspx?740231,Marc D'Arrigo
"Güterbahnhofstrasse 4; 9000, St. Gallen",7793, Kugl,/club.aspx?id=7793,"Fri, 14 Aug 2015",/event.aspx?740231,Mitsutek
"Güterbahnhofstrasse 4; 9000, St. Gallen",7793, Kugl,/club.aspx?id=7793,"Fri, 14 Aug 2015",/event.aspx?740231,Volt.mar
"Güterbahnhofstrasse 4; 9000, St. Gallen",7793, Kugl,/club.aspx?id=7793,"Sat, 1 Aug 2015",/event.aspx?739044,Patryk Molinari
"Güterbahnhofstrasse 4; 9000, St. Gallen",7793, Kugl,/club.aspx?id=7793,"Sat, 1 Aug 2015",/event.aspx?739044,Manuel Moreno
"Güterbahnhofstrasse 4; 9000, St. Gallen",7793, Kugl,/club.aspx?id=7793,"Sat, 16 Aug 2014",/event.aspx?625799,Dirt Crew
"Güterbahnhofstrasse 4; 9000, St. Gallen",7793, Kugl,/club.aspx?id=7793,"Sat, 16 Aug 2014",/event.aspx?625799,Rework
