club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Belpstrasse 24; 3122, Kehrsatz",54239, Kulturarena Eventhall,/club.aspx?id=54239,"Wed, 31 Jul 2013",/event.aspx?835619,James Mc Hale
"Belpstrasse 24; 3122, Kehrsatz",54239, Kulturarena Eventhall,/club.aspx?id=54239,"Sat, 19 Jan 2013",/event.aspx?835585,Nima Gorji
"Belpstrasse 24; 3122, Kehrsatz",54239, Kulturarena Eventhall,/club.aspx?id=54239,"Sat, 19 Jan 2013",/event.aspx?835585,Fabio Florido
"Belpstrasse 24; 3122, Kehrsatz",54239, Kulturarena Eventhall,/club.aspx?id=54239,"Sat, 19 Jan 2013",/event.aspx?835585,James Mc Hale
"Belpstrasse 24; 3122, Kehrsatz",54239, Kulturarena Eventhall,/club.aspx?id=54239,"Tue, 31 Jul 2012",/event.aspx?378590,Uner
"Belpstrasse 24; 3122, Kehrsatz",54239, Kulturarena Eventhall,/club.aspx?id=54239,"Tue, 31 Jul 2012",/event.aspx?378590,Kellerkind
"Belpstrasse 24; 3122, Kehrsatz",54239, Kulturarena Eventhall,/club.aspx?id=54239,"Tue, 31 Jul 2012",/event.aspx?378590,Jon Donson
"Belpstrasse 24; 3122, Kehrsatz",54239, Kulturarena Eventhall,/club.aspx?id=54239,"Tue, 31 Jul 2012",/event.aspx?378590,Luca de Grandis
"Belpstrasse 24; 3122, Kehrsatz",54239, Kulturarena Eventhall,/club.aspx?id=54239,"Tue, 31 Jul 2012",/event.aspx?378590,James Mc Hale
"Belpstrasse 24; 3122, Kehrsatz",54239, Kulturarena Eventhall,/club.aspx?id=54239,"Tue, 31 Jul 2012",/event.aspx?378590,Tom Wineman
"Belpstrasse 24; 3122, Kehrsatz",54239, Kulturarena Eventhall,/club.aspx?id=54239,"Tue, 31 Jul 2012",/event.aspx?378590,The Bassment
"Belpstrasse 24; 3122, Kehrsatz",54239, Kulturarena Eventhall,/club.aspx?id=54239,"Sun, 27 May 2012",/event.aspx?370556,Nico Stojan
"Belpstrasse 24; 3122, Kehrsatz",54239, Kulturarena Eventhall,/club.aspx?id=54239,"Sun, 27 May 2012",/event.aspx?370556,Frango
"Belpstrasse 24; 3122, Kehrsatz",54239, Kulturarena Eventhall,/club.aspx?id=54239,"Sat, 3 Dec 2011",/event.aspx?312096,Daniel Steinberg
"Belpstrasse 24; 3122, Kehrsatz",54239, Kulturarena Eventhall,/club.aspx?id=54239,"Sat, 3 Dec 2011",/event.aspx?312096,Patrick Podage
"Belpstrasse 24; 3122, Kehrsatz",54239, Kulturarena Eventhall,/club.aspx?id=54239,"Sat, 3 Dec 2011",/event.aspx?312096,Nicola Koch
"Belpstrasse 24; 3122, Kehrsatz",54239, Kulturarena Eventhall,/club.aspx?id=54239,"Fri, 25 Nov 2011",/event.aspx?312090,Oliver Koletzki
"Belpstrasse 24; 3122, Kehrsatz",54239, Kulturarena Eventhall,/club.aspx?id=54239,"Fri, 25 Nov 2011",/event.aspx?312090,Kellerkind
"Belpstrasse 24; 3122, Kehrsatz",54239, Kulturarena Eventhall,/club.aspx?id=54239,"Fri, 25 Nov 2011",/event.aspx?312090,buraq
"Belpstrasse 24; 3122, Kehrsatz",54239, Kulturarena Eventhall,/club.aspx?id=54239,"Fri, 25 Nov 2011",/event.aspx?312090,Der Schuft
"Belpstrasse 24; 3122, Kehrsatz",54239, Kulturarena Eventhall,/club.aspx?id=54239,"Fri, 25 Nov 2011",/event.aspx?312090,Luca de Grandis
