club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Kofmehlweg 1, 4503 Solothurn",81531, Kulturfabrik Kofmehl,/club.aspx?id=81531,"Sat, 2 Apr 2016",/event.aspx?788470,Camo & Krooked
"Kofmehlweg 1, 4503 Solothurn",81531, Kulturfabrik Kofmehl,/club.aspx?id=81531,"Sat, 6 Dec 2014",/event.aspx?579116,Mike Candys
"Kofmehlweg 1, 4503 Solothurn",81531, Kulturfabrik Kofmehl,/club.aspx?id=81531,"Fri, 21 Nov 2014",/event.aspx?655495,Marek Hemmann
"Kofmehlweg 1, 4503 Solothurn",81531, Kulturfabrik Kofmehl,/club.aspx?id=81531,"Fri, 21 Nov 2014",/event.aspx?655495,Adrian Bergmann
"Kofmehlweg 1, 4503 Solothurn",81531, Kulturfabrik Kofmehl,/club.aspx?id=81531,"Fri, 14 Nov 2014",/event.aspx?655491,Oliver Koletzki
"Kofmehlweg 1, 4503 Solothurn",81531, Kulturfabrik Kofmehl,/club.aspx?id=81531,"Fri, 14 Nov 2014",/event.aspx?655491,Robel
"Kofmehlweg 1, 4503 Solothurn",81531, Kulturfabrik Kofmehl,/club.aspx?id=81531,"Fri, 5 Sep 2014",/event.aspx?579114,Zomboy
"Kofmehlweg 1, 4503 Solothurn",81531, Kulturfabrik Kofmehl,/club.aspx?id=81531,"Fri, 16 May 2014",/event.aspx?559113,Kollektiv Turmstrasse
"Kofmehlweg 1, 4503 Solothurn",81531, Kulturfabrik Kofmehl,/club.aspx?id=81531,"Sat, 10 May 2014",/event.aspx?579109,Manu-L
"Kofmehlweg 1, 4503 Solothurn",81531, Kulturfabrik Kofmehl,/club.aspx?id=81531,"Sat, 12 Apr 2014",/event.aspx?579108,Adana Twins
"Kofmehlweg 1, 4503 Solothurn",81531, Kulturfabrik Kofmehl,/club.aspx?id=81531,"Fri, 4 Apr 2014",/event.aspx?579105,Modestep
"Kofmehlweg 1, 4503 Solothurn",81531, Kulturfabrik Kofmehl,/club.aspx?id=81531,"Fri, 18 Oct 2013",/event.aspx?505557,Fritz Kalkbrenner
"Kofmehlweg 1, 4503 Solothurn",81531, Kulturfabrik Kofmehl,/club.aspx?id=81531,"Thu, 26 Sep 2013",/event.aspx?520900,Bonobo
