club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"St. Alban-Graben 16, 4051 Basel",32445," Kunstmuseum, Basel",/club.aspx?id=32445,"Thu, 2 Aug 2012",/event.aspx?392931,Azymuth
"St. Alban-Graben 16, 4051 Basel",32445," Kunstmuseum, Basel",/club.aspx?id=32445,"Thu, 2 Aug 2012",/event.aspx?392931,Psychemagik
"St. Alban-Graben 16, 4051 Basel",32445," Kunstmuseum, Basel",/club.aspx?id=32445,"Thu, 2 Aug 2012",/event.aspx?392931,Peven Everett
"St. Alban-Graben 16, 4051 Basel",32445," Kunstmuseum, Basel",/club.aspx?id=32445,"Thu, 2 Aug 2012",/event.aspx?392931,Flako
"St. Alban-Graben 16, 4051 Basel",32445," Kunstmuseum, Basel",/club.aspx?id=32445,"Thu, 2 Aug 2012",/event.aspx?392931,Marcellus Pittman
"St. Alban-Graben 16, 4051 Basel",32445," Kunstmuseum, Basel",/club.aspx?id=32445,"Thu, 2 Aug 2012",/event.aspx?392931,San Proper
"St. Alban-Graben 16, 4051 Basel",32445," Kunstmuseum, Basel",/club.aspx?id=32445,"Thu, 2 Aug 2012",/event.aspx?392931,Awanto3
"St. Alban-Graben 16, 4051 Basel",32445," Kunstmuseum, Basel",/club.aspx?id=32445,"Thu, 2 Aug 2012",/event.aspx?392931,Todd Terje
"St. Alban-Graben 16, 4051 Basel",32445," Kunstmuseum, Basel",/club.aspx?id=32445,"Thu, 2 Aug 2012",/event.aspx?392931,Morgan Geist
"St. Alban-Graben 16, 4051 Basel",32445," Kunstmuseum, Basel",/club.aspx?id=32445,"Sat, 14 Aug 2010",/event.aspx?177687,Sassy J
"St. Alban-Graben 16, 4051 Basel",32445," Kunstmuseum, Basel",/club.aspx?id=32445,"Sat, 14 Aug 2010",/event.aspx?177687,Mari.cha
