club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Obere Bahnhofstrasse 1, Wil",112031, L'étage Sky Club,/club.aspx?id=112031,"Fri, 23 Dec 2016",/event.aspx?911296,Gianni Callipari
"Obere Bahnhofstrasse 1, Wil",112031, L'étage Sky Club,/club.aspx?id=112031,"Fri, 23 Dec 2016",/event.aspx?911296,James Mc Hale
"Obere Bahnhofstrasse 1, Wil",112031, L'étage Sky Club,/club.aspx?id=112031,"Fri, 23 Dec 2016",/event.aspx?911296,Flavio (CH)
"Obere Bahnhofstrasse 1, Wil",112031, L'étage Sky Club,/club.aspx?id=112031,"Sat, 19 Nov 2016",/event.aspx?868164,freedomB
"Obere Bahnhofstrasse 1, Wil",112031, L'étage Sky Club,/club.aspx?id=112031,"Sat, 19 Nov 2016",/event.aspx?868164,Marion Cobretti
"Obere Bahnhofstrasse 1, Wil",112031, L'étage Sky Club,/club.aspx?id=112031,"Sat, 19 Nov 2016",/event.aspx?868164,Tashi Luis
"Obere Bahnhofstrasse 1, Wil",112031, L'étage Sky Club,/club.aspx?id=112031,"Fri, 28 Oct 2016",/event.aspx?892973,Animal Trainer
"Obere Bahnhofstrasse 1, Wil",112031, L'étage Sky Club,/club.aspx?id=112031,"Fri, 28 Oct 2016",/event.aspx?892973,Smalltown Collective
"Obere Bahnhofstrasse 1, Wil",112031, L'étage Sky Club,/club.aspx?id=112031,"Sat, 3 Sep 2016",/event.aspx?875515,James Mc Hale
"Obere Bahnhofstrasse 1, Wil",112031, L'étage Sky Club,/club.aspx?id=112031,"Sat, 3 Sep 2016",/event.aspx?875515,Smalltown Collective
"Obere Bahnhofstrasse 1, Wil",112031, L'étage Sky Club,/club.aspx?id=112031,"Sat, 23 Jul 2016",/event.aspx?859685,Mirco Caruso
"Obere Bahnhofstrasse 1, Wil",112031, L'étage Sky Club,/club.aspx?id=112031,"Sat, 23 Jul 2016",/event.aspx?859685,Vanita
"Obere Bahnhofstrasse 1, Wil",112031, L'étage Sky Club,/club.aspx?id=112031,"Sat, 4 Jun 2016",/event.aspx?846803,James Mc Hale
"Obere Bahnhofstrasse 1, Wil",112031, L'étage Sky Club,/club.aspx?id=112031,"Sat, 4 Jun 2016",/event.aspx?846803,Smalltown Collective
"Obere Bahnhofstrasse 1, Wil",112031, L'étage Sky Club,/club.aspx?id=112031,"Sat, 5 Dec 2015",/event.aspx?782118,Beda
"Obere Bahnhofstrasse 1, Wil",112031, L'étage Sky Club,/club.aspx?id=112031,"Sat, 5 Dec 2015",/event.aspx?782118,Pete & Pete
