club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"17 via Stazione 17; 6532, Castione",13246, La Fabrique,/club.aspx?id=13246,"Sat, 26 Nov 2016",/event.aspx?901507,Kenny Ground
"17 via Stazione 17; 6532, Castione",13246, La Fabrique,/club.aspx?id=13246,"Sat, 11 Apr 2015",/event.aspx?701971,Chris Leon
"17 via Stazione 17; 6532, Castione",13246, La Fabrique,/club.aspx?id=13246,"Wed, 18 Mar 2015",/event.aspx?692612,Shlomi Aber
"17 via Stazione 17; 6532, Castione",13246, La Fabrique,/club.aspx?id=13246,"Fri, 5 Jun 2009",/event.aspx?98178,Jens Zimmermann
"17 via Stazione 17; 6532, Castione",13246, La Fabrique,/club.aspx?id=13246,"Fri, 5 Jun 2009",/event.aspx?98178,Steve Massive
"17 via Stazione 17; 6532, Castione",13246, La Fabrique,/club.aspx?id=13246,"Fri, 22 May 2009",/event.aspx?95450,Lorenzo Chiabotti
"17 via Stazione 17; 6532, Castione",13246, La Fabrique,/club.aspx?id=13246,"Fri, 22 May 2009",/event.aspx?95450,Luc Ringeisen
"17 via Stazione 17; 6532, Castione",13246, La Fabrique,/club.aspx?id=13246,"Sat, 2 May 2009",/event.aspx?95398,Andrea Festa
"17 via Stazione 17; 6532, Castione",13246, La Fabrique,/club.aspx?id=13246,"Sat, 4 Oct 2008",/event.aspx?68182,Franco Bianco
"17 via Stazione 17; 6532, Castione",13246, La Fabrique,/club.aspx?id=13246,"Sat, 5 Apr 2008",/event.aspx?42861,Mar-T
