club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Rue de la Tour 41; 1004, Lausanne",7380, La Ruche,/club.aspx?id=7380,"Sat, 29 Dec 2007",/event.aspx?38265,Mark Henning
"Rue de la Tour 41; 1004, Lausanne",7380, La Ruche,/club.aspx?id=7380,"Sat, 29 Dec 2007",/event.aspx?38265,Ed Davenport
"Rue de la Tour 41; 1004, Lausanne",7380, La Ruche,/club.aspx?id=7380,"Sat, 29 Dec 2007",/event.aspx?38265,Nicolas Duvoisin
"Rue de la Tour 41; 1004, Lausanne",7380, La Ruche,/club.aspx?id=7380,"Sat, 29 Dec 2007",/event.aspx?38265,Olivier Kolly
"Rue de la Tour 41; 1004, Lausanne",7380, La Ruche,/club.aspx?id=7380,"Fri, 14 Dec 2007",/event.aspx?37230,John Daly
"Rue de la Tour 41; 1004, Lausanne",7380, La Ruche,/club.aspx?id=7380,"Fri, 14 Dec 2007",/event.aspx?37230,Chaton
"Rue de la Tour 41; 1004, Lausanne",7380, La Ruche,/club.aspx?id=7380,"Thu, 20 Sep 2007",/event.aspx?30969,Dilo
"Rue de la Tour 41; 1004, Lausanne",7380, La Ruche,/club.aspx?id=7380,"Thu, 20 Sep 2007",/event.aspx?30969,Jacqui
"Rue de la Tour 41; 1004, Lausanne",7380, La Ruche,/club.aspx?id=7380,"Wed, 31 Dec 2008",/event.aspx?72568,Jacqui
"Rue de la Tour 41; 1004, Lausanne",7380, La Ruche,/club.aspx?id=7380,"Wed, 31 Dec 2008",/event.aspx?72568,Pepperpot
"Rue de la Tour 41; 1004, Lausanne",7380, La Ruche,/club.aspx?id=7380,"Thu, 25 Dec 2008",/event.aspx?76959,Limic
"Rue de la Tour 41; 1004, Lausanne",7380, La Ruche,/club.aspx?id=7380,"Thu, 25 Dec 2008",/event.aspx?76959,Styro 2000
"Rue de la Tour 41; 1004, Lausanne",7380, La Ruche,/club.aspx?id=7380,"Fri, 19 Dec 2008",/event.aspx?65187,Markus Fix
