club_adress,club_id,club_name,club_ref,date,ref_event,artiste
Sous-Géronde,29151, Lac De Géronde,/club.aspx?id=29151,"Fri, 1 Jul 2016",/event.aspx?741114,Lindstrom
Sous-Géronde,29151, Lac De Géronde,/club.aspx?id=29151,"Fri, 1 Jul 2016",/event.aspx?741114,Worakls
Sous-Géronde,29151, Lac De Géronde,/club.aspx?id=29151,"Fri, 1 Jul 2016",/event.aspx?741114,Deetron
Sous-Géronde,29151, Lac De Géronde,/club.aspx?id=29151,"Fri, 1 Jul 2016",/event.aspx?741114,Lovebirds
Sous-Géronde,29151, Lac De Géronde,/club.aspx?id=29151,"Fri, 1 Jul 2016",/event.aspx?741114,Marbert Rocel
Sous-Géronde,29151, Lac De Géronde,/club.aspx?id=29151,"Fri, 1 Jul 2016",/event.aspx?741114,Stavroz
Sous-Géronde,29151, Lac De Géronde,/club.aspx?id=29151,"Fri, 1 Jul 2016",/event.aspx?741114,Pacifica
Sous-Géronde,29151, Lac De Géronde,/club.aspx?id=29151,"Fri, 1 Jul 2016",/event.aspx?741114,Kid Fonque
Sous-Géronde,29151, Lac De Géronde,/club.aspx?id=29151,"Fri, 1 Jul 2016",/event.aspx?741114,nemoy
Sous-Géronde,29151, Lac De Géronde,/club.aspx?id=29151,"Fri, 1 Jul 2016",/event.aspx?741114,Matt Black
Sous-Géronde,29151, Lac De Géronde,/club.aspx?id=29151,"Fri, 1 Jul 2016",/event.aspx?741114,Coldcut
Sous-Géronde,29151, Lac De Géronde,/club.aspx?id=29151,"Fri, 1 Jul 2016",/event.aspx?741114,Rainer Trüby
Sous-Géronde,29151, Lac De Géronde,/club.aspx?id=29151,"Fri, 1 Jul 2016",/event.aspx?741114,Thomas Herb
Sous-Géronde,29151, Lac De Géronde,/club.aspx?id=29151,"Fri, 1 Jul 2016",/event.aspx?741114,Michael Reinboth
Sous-Géronde,29151, Lac De Géronde,/club.aspx?id=29151,"Fri, 26 Jun 2015",/event.aspx?641727,Bonobo
Sous-Géronde,29151, Lac De Géronde,/club.aspx?id=29151,"Fri, 26 Jun 2015",/event.aspx?641727,Nightmares on Wax
Sous-Géronde,29151, Lac De Géronde,/club.aspx?id=29151,"Fri, 26 Jun 2015",/event.aspx?641727,Atjazz
Sous-Géronde,29151, Lac De Géronde,/club.aspx?id=29151,"Fri, 26 Jun 2015",/event.aspx?641727,Jullian Gomes
Sous-Géronde,29151, Lac De Géronde,/club.aspx?id=29151,"Fri, 26 Jun 2015",/event.aspx?641727,Kalabrese
Sous-Géronde,29151, Lac De Géronde,/club.aspx?id=29151,"Fri, 26 Jun 2015",/event.aspx?641727,Sebastian Spring
Sous-Géronde,29151, Lac De Géronde,/club.aspx?id=29151,"Fri, 27 Jun 2014",/event.aspx?555827,KiNK
Sous-Géronde,29151, Lac De Géronde,/club.aspx?id=29151,"Fri, 27 Jun 2014",/event.aspx?555827,Rachel Row
Sous-Géronde,29151, Lac De Géronde,/club.aspx?id=29151,"Fri, 27 Jun 2014",/event.aspx?555827,Culoe De Song
Sous-Géronde,29151, Lac De Géronde,/club.aspx?id=29151,"Fri, 27 Jun 2014",/event.aspx?555827,Gramatik
Sous-Géronde,29151, Lac De Géronde,/club.aspx?id=29151,"Fri, 27 Jun 2014",/event.aspx?555827,Synapson
Sous-Géronde,29151, Lac De Géronde,/club.aspx?id=29151,"Fri, 27 Jun 2014",/event.aspx?555827,Karocel
Sous-Géronde,29151, Lac De Géronde,/club.aspx?id=29151,"Fri, 27 Jun 2014",/event.aspx?555827,Mathias Kaden
Sous-Géronde,29151, Lac De Géronde,/club.aspx?id=29151,"Fri, 27 Jun 2014",/event.aspx?555827,Soul Minority
Sous-Géronde,29151, Lac De Géronde,/club.aspx?id=29151,"Fri, 27 Jun 2014",/event.aspx?555827,Beastie Boys
