club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Feldbergstrasse 47, 4057 Basel",89439, Lady Bar,/club.aspx?id=89439,"Sat, 21 Dec 2013",/event.aspx?532892,Gomorra
"Feldbergstrasse 47, 4057 Basel",89439, Lady Bar,/club.aspx?id=89439,"Sat, 21 Dec 2013",/event.aspx?532892,Press C
"Feldbergstrasse 47, 4057 Basel",89439, Lady Bar,/club.aspx?id=89439,"Sat, 23 Nov 2013",/event.aspx?532890,Gomorra
"Feldbergstrasse 47, 4057 Basel",89439, Lady Bar,/club.aspx?id=89439,"Sat, 23 Nov 2013",/event.aspx?532890,Press C
"Feldbergstrasse 47, 4057 Basel",89439, Lady Bar,/club.aspx?id=89439,"Thu, 21 Nov 2013",/event.aspx?540219,// [shsha]
"Feldbergstrasse 47, 4057 Basel",89439, Lady Bar,/club.aspx?id=89439,"Sat, 2 Nov 2013",/event.aspx?531564,Adam Marshall
"Feldbergstrasse 47, 4057 Basel",89439, Lady Bar,/club.aspx?id=89439,"Sat, 2 Nov 2013",/event.aspx?531564,Gomorra
"Feldbergstrasse 47, 4057 Basel",89439, Lady Bar,/club.aspx?id=89439,"Fri, 25 Oct 2013",/event.aspx?532889,Gomorra
"Feldbergstrasse 47, 4057 Basel",89439, Lady Bar,/club.aspx?id=89439,"Fri, 25 Oct 2013",/event.aspx?532889,Press C
"Feldbergstrasse 47, 4057 Basel",89439, Lady Bar,/club.aspx?id=89439,"Fri, 19 Dec 2014",/event.aspx?660351,Trikk
"Feldbergstrasse 47, 4057 Basel",89439, Lady Bar,/club.aspx?id=89439,"Sat, 8 Nov 2014",/event.aspx?643674,Jacques Bon
"Feldbergstrasse 47, 4057 Basel",89439, Lady Bar,/club.aspx?id=89439,"Sat, 1 Nov 2014",/event.aspx?649319,David Dorad
"Feldbergstrasse 47, 4057 Basel",89439, Lady Bar,/club.aspx?id=89439,"Sat, 1 Nov 2014",/event.aspx?649319,Yann Kulovsky
"Feldbergstrasse 47, 4057 Basel",89439, Lady Bar,/club.aspx?id=89439,"Sat, 18 Oct 2014",/event.aspx?636964,Amir Alexander
"Feldbergstrasse 47, 4057 Basel",89439, Lady Bar,/club.aspx?id=89439,"Sat, 18 Oct 2014",/event.aspx?636964,m50
"Feldbergstrasse 47, 4057 Basel",89439, Lady Bar,/club.aspx?id=89439,"Sat, 11 Oct 2014",/event.aspx?636036,Eli Verveine
"Feldbergstrasse 47, 4057 Basel",89439, Lady Bar,/club.aspx?id=89439,"Sat, 11 Oct 2014",/event.aspx?636036,Garçon
"Feldbergstrasse 47, 4057 Basel",89439, Lady Bar,/club.aspx?id=89439,"Fri, 20 Jun 2014",/event.aspx?598290,Fatima Al Qadiri
"Feldbergstrasse 47, 4057 Basel",89439, Lady Bar,/club.aspx?id=89439,"Fri, 20 Jun 2014",/event.aspx?598290,Sudanim
"Feldbergstrasse 47, 4057 Basel",89439, Lady Bar,/club.aspx?id=89439,"Sat, 7 Jun 2014",/event.aspx?595489,Vester Koza
"Feldbergstrasse 47, 4057 Basel",89439, Lady Bar,/club.aspx?id=89439,"Sat, 3 May 2014",/event.aspx?578393,Eric Cloutier
