club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Grand-Places 14; 1701, Fribourg",19324, Lapart Bar,/club.aspx?id=19324,"Fri, 22 Jan 2016",/event.aspx?809635,Chris Ahn
"Grand-Places 14; 1701, Fribourg",19324, Lapart Bar,/club.aspx?id=19324,"Sat, 3 Oct 2015",/event.aspx?762770,Chris Ahn
"Grand-Places 14; 1701, Fribourg",19324, Lapart Bar,/club.aspx?id=19324,"Fri, 10 Jul 2015",/event.aspx?736464,Chris Ahn
"Grand-Places 14; 1701, Fribourg",19324, Lapart Bar,/club.aspx?id=19324,"Sat, 30 May 2015",/event.aspx?708934,Chris Ahn
"Grand-Places 14; 1701, Fribourg",19324, Lapart Bar,/club.aspx?id=19324,"Fri, 3 Apr 2015",/event.aspx?702119,Chris Ahn
"Grand-Places 14; 1701, Fribourg",19324, Lapart Bar,/club.aspx?id=19324,"Fri, 10 Oct 2014",/event.aspx?646065,Gregore Konstantine
"Grand-Places 14; 1701, Fribourg",19324, Lapart Bar,/club.aspx?id=19324,"Fri, 7 Jan 2011",/event.aspx?190540,The Cruzaders
"Grand-Places 14; 1701, Fribourg",19324, Lapart Bar,/club.aspx?id=19324,"Fri, 15 Oct 2010",/event.aspx?184537,G!L Everest
"Grand-Places 14; 1701, Fribourg",19324, Lapart Bar,/club.aspx?id=19324,"Fri, 6 Aug 2010",/event.aspx?172820,The Cruzaders
"Grand-Places 14; 1701, Fribourg",19324, Lapart Bar,/club.aspx?id=19324,"Sat, 31 Jul 2010",/event.aspx?181785,G!L Everest
"Grand-Places 14; 1701, Fribourg",19324, Lapart Bar,/club.aspx?id=19324,"Sat, 22 May 2010",/event.aspx?132898,The Cruzaders
"Grand-Places 14; 1701, Fribourg",19324, Lapart Bar,/club.aspx?id=19324,"Sat, 20 Mar 2010",/event.aspx?132897,The Cruzaders
"Grand-Places 14; 1701, Fribourg",19324, Lapart Bar,/club.aspx?id=19324,"Sat, 5 Dec 2009",/event.aspx?122252,The Cruzaders
