club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Rue de Bourg 51; 1003, Lausanne",26105, Le Bourg,/club.aspx?id=26105,"Sat, 30 Apr 2016",/event.aspx?833473,The Pilotwings
"Rue de Bourg 51; 1003, Lausanne",26105, Le Bourg,/club.aspx?id=26105,"Sat, 30 Apr 2016",/event.aspx?833473,Basses Terres
"Rue de Bourg 51; 1003, Lausanne",26105, Le Bourg,/club.aspx?id=26105,"Sat, 30 Apr 2016",/event.aspx?833473,Judaah
"Rue de Bourg 51; 1003, Lausanne",26105, Le Bourg,/club.aspx?id=26105,"Sat, 5 Mar 2016",/event.aspx?811116,David Carretta
"Rue de Bourg 51; 1003, Lausanne",26105, Le Bourg,/club.aspx?id=26105,"Fri, 4 Mar 2016",/event.aspx?810185,Sevdaliza
"Rue de Bourg 51; 1003, Lausanne",26105, Le Bourg,/club.aspx?id=26105,"Sat, 6 Feb 2016",/event.aspx?802239,Skatebård
"Rue de Bourg 51; 1003, Lausanne",26105, Le Bourg,/club.aspx?id=26105,"Sat, 6 Feb 2016",/event.aspx?802239,Av Skardi
"Rue de Bourg 51; 1003, Lausanne",26105, Le Bourg,/club.aspx?id=26105,"Thu, 3 Dec 2015",/event.aspx?764061,Loscil
"Rue de Bourg 51; 1003, Lausanne",26105, Le Bourg,/club.aspx?id=26105,"Sat, 25 Apr 2015",/event.aspx?703301,Se-te-ve
"Rue de Bourg 51; 1003, Lausanne",26105, Le Bourg,/club.aspx?id=26105,"Sat, 25 Apr 2015",/event.aspx?703301,Marlon
"Rue de Bourg 51; 1003, Lausanne",26105, Le Bourg,/club.aspx?id=26105,"Sat, 21 Mar 2015",/event.aspx?696108,DJ Reverend P
"Rue de Bourg 51; 1003, Lausanne",26105, Le Bourg,/club.aspx?id=26105,"Fri, 20 Feb 2015",/event.aspx?686472,Kowton
"Rue de Bourg 51; 1003, Lausanne",26105, Le Bourg,/club.aspx?id=26105,"Fri, 20 Feb 2015",/event.aspx?686472,Tissu
"Rue de Bourg 51; 1003, Lausanne",26105, Le Bourg,/club.aspx?id=26105,"Fri, 20 Feb 2015",/event.aspx?686472,Krizzli
"Rue de Bourg 51; 1003, Lausanne",26105, Le Bourg,/club.aspx?id=26105,"Fri, 20 Feb 2015",/event.aspx?686472,Kartel Klub
"Rue de Bourg 51; 1003, Lausanne",26105, Le Bourg,/club.aspx?id=26105,"Fri, 20 Feb 2015",/event.aspx?686472,Lemonick
"Rue de Bourg 51; 1003, Lausanne",26105, Le Bourg,/club.aspx?id=26105,"Sat, 17 Jan 2015",/event.aspx?668361,Se-te-ve
"Rue de Bourg 51; 1003, Lausanne",26105, Le Bourg,/club.aspx?id=26105,"Sat, 17 Jan 2015",/event.aspx?668361,Marlon
"Rue de Bourg 51; 1003, Lausanne",26105, Le Bourg,/club.aspx?id=26105,"Sat, 17 Jan 2015",/event.aspx?668361,yAn!
"Rue de Bourg 51; 1003, Lausanne",26105, Le Bourg,/club.aspx?id=26105,"Sat, 17 Jan 2015",/event.aspx?668361,Jessie (CH)
"Rue de Bourg 51; 1003, Lausanne",26105, Le Bourg,/club.aspx?id=26105,"Sat, 17 Jan 2015",/event.aspx?668361,Olivier Kolly
"Rue de Bourg 51; 1003, Lausanne",26105, Le Bourg,/club.aspx?id=26105,"Fri, 21 Nov 2014",/event.aspx?655630,Greg Beato
"Rue de Bourg 51; 1003, Lausanne",26105, Le Bourg,/club.aspx?id=26105,"Sat, 4 Oct 2014",/event.aspx?639866,Se-te-ve
"Rue de Bourg 51; 1003, Lausanne",26105, Le Bourg,/club.aspx?id=26105,"Sat, 4 Oct 2014",/event.aspx?639866,yAn!
"Rue de Bourg 51; 1003, Lausanne",26105, Le Bourg,/club.aspx?id=26105,"Sat, 4 Oct 2014",/event.aspx?639866,Marlon
"Rue de Bourg 51; 1003, Lausanne",26105, Le Bourg,/club.aspx?id=26105,"Sat, 4 Oct 2014",/event.aspx?639866,Olivier Kolly
"Rue de Bourg 51; 1003, Lausanne",26105, Le Bourg,/club.aspx?id=26105,"Sat, 8 Feb 2014",/event.aspx?554398,Loscil
"Rue de Bourg 51; 1003, Lausanne",26105, Le Bourg,/club.aspx?id=26105,"Fri, 6 Sep 2013",/event.aspx?515669,Vaghe Stelle
"Rue de Bourg 51; 1003, Lausanne",26105, Le Bourg,/club.aspx?id=26105,"Fri, 6 Sep 2013",/event.aspx?515669,Aïsha Devi
"Rue de Bourg 51; 1003, Lausanne",26105, Le Bourg,/club.aspx?id=26105,"Fri, 6 Sep 2013",/event.aspx?515669,Cooly G
"Rue de Bourg 51; 1003, Lausanne",26105, Le Bourg,/club.aspx?id=26105,"Fri, 17 May 2013",/event.aspx?474601,Yan Luong
"Rue de Bourg 51; 1003, Lausanne",26105, Le Bourg,/club.aspx?id=26105,"Fri, 29 Mar 2013",/event.aspx?462923,Professor Genius
"Rue de Bourg 51; 1003, Lausanne",26105, Le Bourg,/club.aspx?id=26105,"Thu, 1 Nov 2012",/event.aspx?404402,Hrdvsion
"Rue de Bourg 51; 1003, Lausanne",26105, Le Bourg,/club.aspx?id=26105,"Thu, 1 Nov 2012",/event.aspx?404402,Oy
"Rue de Bourg 51; 1003, Lausanne",26105, Le Bourg,/club.aspx?id=26105,"Fri, 18 May 2012",/event.aspx?363318,Shackleton
"Rue de Bourg 51; 1003, Lausanne",26105, Le Bourg,/club.aspx?id=26105,"Sat, 16 Apr 2011",/event.aspx?240080,Feldermelder
"Rue de Bourg 51; 1003, Lausanne",26105, Le Bourg,/club.aspx?id=26105,"Sat, 16 Apr 2011",/event.aspx?240080,Nik!
"Rue de Bourg 51; 1003, Lausanne",26105, Le Bourg,/club.aspx?id=26105,"Fri, 19 Feb 2010",/event.aspx?146160,DJ Dub
"Rue de Bourg 51; 1003, Lausanne",26105, Le Bourg,/club.aspx?id=26105,"Fri, 19 Feb 2010",/event.aspx?146160,Limic
"Rue de Bourg 51; 1003, Lausanne",26105, Le Bourg,/club.aspx?id=26105,"Wed, 3 Feb 2010",/event.aspx?143787,Oy
