club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Grand-Rue 36, 1700 Fribourg",28698, Le Mouton Noir,/club.aspx?id=28698,"Fri, 10 Feb 2017",/event.aspx?914722,Baris K
"Grand-Rue 36, 1700 Fribourg",28698, Le Mouton Noir,/club.aspx?id=28698,"Fri, 10 Feb 2017",/event.aspx?914722,Permanent Vacation
"Grand-Rue 36, 1700 Fribourg",28698, Le Mouton Noir,/club.aspx?id=28698,"Fri, 20 Jan 2017",/event.aspx?914719,Mor Elian
"Grand-Rue 36, 1700 Fribourg",28698, Le Mouton Noir,/club.aspx?id=28698,"Sat, 7 Jan 2017",/event.aspx?914716,Trudge
"Grand-Rue 36, 1700 Fribourg",28698, Le Mouton Noir,/club.aspx?id=28698,"Sat, 19 Nov 2016",/event.aspx?901970,Frank Spirit
"Grand-Rue 36, 1700 Fribourg",28698, Le Mouton Noir,/club.aspx?id=28698,"Sat, 12 Nov 2016",/event.aspx?897958,Isolated Lines
"Grand-Rue 36, 1700 Fribourg",28698, Le Mouton Noir,/club.aspx?id=28698,"Fri, 28 Oct 2016",/event.aspx?890792,Jonny Rock
"Grand-Rue 36, 1700 Fribourg",28698, Le Mouton Noir,/club.aspx?id=28698,"Fri, 21 Oct 2016",/event.aspx?890804,Dreems
"Grand-Rue 36, 1700 Fribourg",28698, Le Mouton Noir,/club.aspx?id=28698,"Fri, 27 May 2016",/event.aspx?838556,Lucas Monème
"Grand-Rue 36, 1700 Fribourg",28698, Le Mouton Noir,/club.aspx?id=28698,"Fri, 26 Feb 2016",/event.aspx?796398,Mehmet Aslan
"Grand-Rue 36, 1700 Fribourg",28698, Le Mouton Noir,/club.aspx?id=28698,"Fri, 26 Feb 2016",/event.aspx?796398,Michal Zietara
"Grand-Rue 36, 1700 Fribourg",28698, Le Mouton Noir,/club.aspx?id=28698,"Fri, 12 Feb 2016",/event.aspx?802690,Shades
"Grand-Rue 36, 1700 Fribourg",28698, Le Mouton Noir,/club.aspx?id=28698,"Sat, 6 Feb 2016",/event.aspx?799949,Jens Bond
"Grand-Rue 36, 1700 Fribourg",28698, Le Mouton Noir,/club.aspx?id=28698,"Fri, 4 Dec 2015",/event.aspx?777402,Nori
"Grand-Rue 36, 1700 Fribourg",28698, Le Mouton Noir,/club.aspx?id=28698,"Fri, 4 Dec 2015",/event.aspx?777402,Isolated Lines
"Grand-Rue 36, 1700 Fribourg",28698, Le Mouton Noir,/club.aspx?id=28698,"Fri, 20 Nov 2015",/event.aspx?766560,In Flagranti
"Grand-Rue 36, 1700 Fribourg",28698, Le Mouton Noir,/club.aspx?id=28698,"Fri, 13 Nov 2015",/event.aspx?766559,Sweely
"Grand-Rue 36, 1700 Fribourg",28698, Le Mouton Noir,/club.aspx?id=28698,"Fri, 6 Nov 2015",/event.aspx?766550,Agnès
"Grand-Rue 36, 1700 Fribourg",28698, Le Mouton Noir,/club.aspx?id=28698,"Fri, 6 Nov 2015",/event.aspx?766550,Quarion
"Grand-Rue 36, 1700 Fribourg",28698, Le Mouton Noir,/club.aspx?id=28698,"Fri, 6 Nov 2015",/event.aspx?766550,Ripperton
"Grand-Rue 36, 1700 Fribourg",28698, Le Mouton Noir,/club.aspx?id=28698,"Fri, 22 May 2015",/event.aspx?710361,Sandro Kuhne
"Grand-Rue 36, 1700 Fribourg",28698, Le Mouton Noir,/club.aspx?id=28698,"Fri, 20 Mar 2015",/event.aspx?691526,Michal Zietara
"Grand-Rue 36, 1700 Fribourg",28698, Le Mouton Noir,/club.aspx?id=28698,"Fri, 20 Mar 2015",/event.aspx?691526,Alan Bolumar
"Grand-Rue 36, 1700 Fribourg",28698, Le Mouton Noir,/club.aspx?id=28698,"Sat, 10 Jan 2015",/event.aspx?671182,CMYK
"Grand-Rue 36, 1700 Fribourg",28698, Le Mouton Noir,/club.aspx?id=28698,"Wed, 17 Dec 2014",/event.aspx?671196,Chris Ahn
"Grand-Rue 36, 1700 Fribourg",28698, Le Mouton Noir,/club.aspx?id=28698,"Fri, 7 Nov 2014",/event.aspx?652321,Dandy Jack
"Grand-Rue 36, 1700 Fribourg",28698, Le Mouton Noir,/club.aspx?id=28698,"Fri, 6 Jun 2014",/event.aspx?598148,Isolated Lines
"Grand-Rue 36, 1700 Fribourg",28698, Le Mouton Noir,/club.aspx?id=28698,"Fri, 6 Jun 2014",/event.aspx?598148,Julien Aubert
"Grand-Rue 36, 1700 Fribourg",28698, Le Mouton Noir,/club.aspx?id=28698,"Tue, 4 Mar 2014",/event.aspx?570525,Jokari
"Grand-Rue 36, 1700 Fribourg",28698, Le Mouton Noir,/club.aspx?id=28698,"Tue, 4 Mar 2014",/event.aspx?570525,Bitsculpter
"Grand-Rue 36, 1700 Fribourg",28698, Le Mouton Noir,/club.aspx?id=28698,"Tue, 4 Mar 2014",/event.aspx?570525,Lemonick
"Grand-Rue 36, 1700 Fribourg",28698, Le Mouton Noir,/club.aspx?id=28698,"Tue, 31 Dec 2013",/event.aspx?548081,Jokari
"Grand-Rue 36, 1700 Fribourg",28698, Le Mouton Noir,/club.aspx?id=28698,"Tue, 31 Dec 2013",/event.aspx?548081,Isolated Lines
"Grand-Rue 36, 1700 Fribourg",28698, Le Mouton Noir,/club.aspx?id=28698,"Tue, 31 Dec 2013",/event.aspx?548081,Ozien
"Grand-Rue 36, 1700 Fribourg",28698, Le Mouton Noir,/club.aspx?id=28698,"Tue, 31 Dec 2013",/event.aspx?548081,West D
"Grand-Rue 36, 1700 Fribourg",28698, Le Mouton Noir,/club.aspx?id=28698,"Fri, 27 Dec 2013",/event.aspx?548079,Lemonick
"Grand-Rue 36, 1700 Fribourg",28698, Le Mouton Noir,/club.aspx?id=28698,"Fri, 13 Dec 2013",/event.aspx?547147,JNPLSRC
"Grand-Rue 36, 1700 Fribourg",28698, Le Mouton Noir,/club.aspx?id=28698,"Fri, 13 Dec 2013",/event.aspx?547147,Isolated Lines
"Grand-Rue 36, 1700 Fribourg",28698, Le Mouton Noir,/club.aspx?id=28698,"Fri, 18 Oct 2013",/event.aspx?524565,Marc D'Arrigo
"Grand-Rue 36, 1700 Fribourg",28698, Le Mouton Noir,/club.aspx?id=28698,"Fri, 18 Oct 2013",/event.aspx?524565,Isolated Lines
"Grand-Rue 36, 1700 Fribourg",28698, Le Mouton Noir,/club.aspx?id=28698,"Sat, 6 Apr 2013",/event.aspx?468897,Bitsculpter
"Grand-Rue 36, 1700 Fribourg",28698, Le Mouton Noir,/club.aspx?id=28698,"Sat, 6 Apr 2013",/event.aspx?468897,Chapkmace
"Grand-Rue 36, 1700 Fribourg",28698, Le Mouton Noir,/club.aspx?id=28698,"Sat, 6 Apr 2013",/event.aspx?468897,Jokari
"Grand-Rue 36, 1700 Fribourg",28698, Le Mouton Noir,/club.aspx?id=28698,"Sat, 6 Apr 2013",/event.aspx?468897,Lemonick
"Grand-Rue 36, 1700 Fribourg",28698, Le Mouton Noir,/club.aspx?id=28698,"Sat, 30 Oct 2010",/event.aspx?182269,Ryan Hawkin
"Grand-Rue 36, 1700 Fribourg",28698, Le Mouton Noir,/club.aspx?id=28698,"Sat, 4 Sep 2010",/event.aspx?182119,Ryan Hawkin
"Grand-Rue 36, 1700 Fribourg",28698, Le Mouton Noir,/club.aspx?id=28698,"Sat, 4 Sep 2010",/event.aspx?182119,Mia Kaltes
"Grand-Rue 36, 1700 Fribourg",28698, Le Mouton Noir,/club.aspx?id=28698,"Fri, 18 Jun 2010",/event.aspx?159157,The Cruzaders
