club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Place de l'Europe 1a; 1003, Lausanne",27326, Le Romandie,/club.aspx?id=27326,"Tue, 6 Dec 2016",/event.aspx?904346,Felix Et Chat
"Place de l'Europe 1a; 1003, Lausanne",27326, Le Romandie,/club.aspx?id=27326,"Fri, 25 Nov 2016",/event.aspx?894915,Lemonick
"Place de l'Europe 1a; 1003, Lausanne",27326, Le Romandie,/club.aspx?id=27326,"Fri, 4 Nov 2016",/event.aspx?892366,Endgame
"Place de l'Europe 1a; 1003, Lausanne",27326, Le Romandie,/club.aspx?id=27326,"Sat, 20 Feb 2016",/event.aspx?795905,Visionist
"Place de l'Europe 1a; 1003, Lausanne",27326, Le Romandie,/club.aspx?id=27326,"Fri, 25 Sep 2015",/event.aspx?743360,Aïsha Devi
"Place de l'Europe 1a; 1003, Lausanne",27326, Le Romandie,/club.aspx?id=27326,"Fri, 25 Sep 2015",/event.aspx?743360,Fis
"Place de l'Europe 1a; 1003, Lausanne",27326, Le Romandie,/club.aspx?id=27326,"Fri, 15 May 2015",/event.aspx?714754,Low Jack
"Place de l'Europe 1a; 1003, Lausanne",27326, Le Romandie,/club.aspx?id=27326,"Fri, 15 May 2015",/event.aspx?714754,Black Zone Myth Chant
"Place de l'Europe 1a; 1003, Lausanne",27326, Le Romandie,/club.aspx?id=27326,"Fri, 15 May 2015",/event.aspx?714754,Tissu
"Place de l'Europe 1a; 1003, Lausanne",27326, Le Romandie,/club.aspx?id=27326,"Sat, 8 Feb 2014",/event.aspx?561215,Call Super
"Place de l'Europe 1a; 1003, Lausanne",27326, Le Romandie,/club.aspx?id=27326,"Sat, 8 Feb 2014",/event.aspx?561215,Marc D'Arrigo
"Place de l'Europe 1a; 1003, Lausanne",27326, Le Romandie,/club.aspx?id=27326,"Fri, 8 Mar 2013",/event.aspx?472936,Yan Luong
"Place de l'Europe 1a; 1003, Lausanne",27326, Le Romandie,/club.aspx?id=27326,"Fri, 15 Feb 2013",/event.aspx?446232,Panteros666
"Place de l'Europe 1a; 1003, Lausanne",27326, Le Romandie,/club.aspx?id=27326,"Fri, 15 Feb 2013",/event.aspx?446232,Chapkmace
"Place de l'Europe 1a; 1003, Lausanne",27326, Le Romandie,/club.aspx?id=27326,"Sat, 8 Dec 2012",/event.aspx?423390,John Morales
"Place de l'Europe 1a; 1003, Lausanne",27326, Le Romandie,/club.aspx?id=27326,"Fri, 2 Nov 2012",/event.aspx?404404,Nathan Fake
"Place de l'Europe 1a; 1003, Lausanne",27326, Le Romandie,/club.aspx?id=27326,"Fri, 2 Nov 2012",/event.aspx?404404,Larytta
"Place de l'Europe 1a; 1003, Lausanne",27326, Le Romandie,/club.aspx?id=27326,"Fri, 16 Dec 2011",/event.aspx?312782,DJ Rescue
"Place de l'Europe 1a; 1003, Lausanne",27326, Le Romandie,/club.aspx?id=27326,"Sat, 9 Apr 2011",/event.aspx?243753,Tim Exile
"Place de l'Europe 1a; 1003, Lausanne",27326, Le Romandie,/club.aspx?id=27326,"Sat, 12 Feb 2011",/event.aspx?229161,DJ Rescue
"Place de l'Europe 1a; 1003, Lausanne",27326, Le Romandie,/club.aspx?id=27326,"Sat, 28 Aug 2010",/event.aspx?183912,Max Tundra
"Place de l'Europe 1a; 1003, Lausanne",27326, Le Romandie,/club.aspx?id=27326,"Sat, 28 Aug 2010",/event.aspx?183912,Born Bjorg
"Place de l'Europe 1a; 1003, Lausanne",27326, Le Romandie,/club.aspx?id=27326,"Fri, 27 Aug 2010",/event.aspx?183904,BlackStrobe
"Place de l'Europe 1a; 1003, Lausanne",27326, Le Romandie,/club.aspx?id=27326,"Fri, 27 Aug 2010",/event.aspx?183904,Walls
"Place de l'Europe 1a; 1003, Lausanne",27326, Le Romandie,/club.aspx?id=27326,"Fri, 27 Aug 2010",/event.aspx?183904,Feldermelder
"Place de l'Europe 1a; 1003, Lausanne",27326, Le Romandie,/club.aspx?id=27326,"Sat, 20 Mar 2010",/event.aspx?151109,Otto Von Schirach
