club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Theaterstrasse 4; 4051, Basel",24299, Le Saxo,/club.aspx?id=24299,"Fri, 16 Sep 2016",/event.aspx?875948,Lui Young
"Theaterstrasse 4; 4051, Basel",24299, Le Saxo,/club.aspx?id=24299,"Sun, 6 Jan 2013",/event.aspx?438929,Dalibox
"Theaterstrasse 4; 4051, Basel",24299, Le Saxo,/club.aspx?id=24299,"Sun, 6 Jan 2013",/event.aspx?438929,Sandro Falletta
"Theaterstrasse 4; 4051, Basel",24299, Le Saxo,/club.aspx?id=24299,"Sat, 8 Dec 2012",/event.aspx?432061,Dalibox
"Theaterstrasse 4; 4051, Basel",24299, Le Saxo,/club.aspx?id=24299,"Sat, 8 Dec 2012",/event.aspx?432061,Sandro Falletta
"Theaterstrasse 4; 4051, Basel",24299, Le Saxo,/club.aspx?id=24299,"Fri, 15 Jun 2012",/event.aspx?375272,Eleminal
"Theaterstrasse 4; 4051, Basel",24299, Le Saxo,/club.aspx?id=24299,"Fri, 18 May 2012",/event.aspx?369025,Eleminal
"Theaterstrasse 4; 4051, Basel",24299, Le Saxo,/club.aspx?id=24299,"Fri, 6 Apr 2012",/event.aspx?353382,Eleminal
"Theaterstrasse 4; 4051, Basel",24299, Le Saxo,/club.aspx?id=24299,"Fri, 2 Mar 2012",/event.aspx?343596,Eleminal
"Theaterstrasse 4; 4051, Basel",24299, Le Saxo,/club.aspx?id=24299,"Sun, 19 Jun 2011",/event.aspx?248793,Nooncat
"Theaterstrasse 4; 4051, Basel",24299, Le Saxo,/club.aspx?id=24299,"Sun, 19 Jun 2011",/event.aspx?248793,Alex Meshkov
"Theaterstrasse 4; 4051, Basel",24299, Le Saxo,/club.aspx?id=24299,"Sun, 19 Jun 2011",/event.aspx?248793,Max Nero
"Theaterstrasse 4; 4051, Basel",24299, Le Saxo,/club.aspx?id=24299,"Sun, 19 Jun 2011",/event.aspx?248793,J-One
"Theaterstrasse 4; 4051, Basel",24299, Le Saxo,/club.aspx?id=24299,"Sun, 12 Jun 2011",/event.aspx?246174,Martin Huergo
"Theaterstrasse 4; 4051, Basel",24299, Le Saxo,/club.aspx?id=24299,"Sun, 12 Jun 2011",/event.aspx?246174,Ramin
"Theaterstrasse 4; 4051, Basel",24299, Le Saxo,/club.aspx?id=24299,"Sun, 22 May 2011",/event.aspx?248753,Dub Dummies
"Theaterstrasse 4; 4051, Basel",24299, Le Saxo,/club.aspx?id=24299,"Sun, 22 May 2011",/event.aspx?248753,Rodrigo Rivera
"Theaterstrasse 4; 4051, Basel",24299, Le Saxo,/club.aspx?id=24299,"Sun, 13 Mar 2011",/event.aspx?229909,Franco Bianco
"Theaterstrasse 4; 4051, Basel",24299, Le Saxo,/club.aspx?id=24299,"Sun, 13 Mar 2011",/event.aspx?229909,Mike Wall
"Theaterstrasse 4; 4051, Basel",24299, Le Saxo,/club.aspx?id=24299,"Sat, 19 Jun 2010",/event.aspx?174001,Eleminal
"Theaterstrasse 4; 4051, Basel",24299, Le Saxo,/club.aspx?id=24299,"Sat, 8 May 2010",/event.aspx?157767,Albee
"Theaterstrasse 4; 4051, Basel",24299, Le Saxo,/club.aspx?id=24299,"Sat, 8 May 2010",/event.aspx?157767,Eleminal
"Theaterstrasse 4; 4051, Basel",24299, Le Saxo,/club.aspx?id=24299,"Sun, 18 Apr 2010",/event.aspx?159948,Franco Bianco
"Theaterstrasse 4; 4051, Basel",24299, Le Saxo,/club.aspx?id=24299,"Sat, 10 Apr 2010",/event.aspx?157762,Eleminal
"Theaterstrasse 4; 4051, Basel",24299, Le Saxo,/club.aspx?id=24299,"Sun, 13 Dec 2009",/event.aspx?134224,Ned O`Neal
