club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Rue de Lausanne 24; 1201, Geneva",9417, Le Scandale,/club.aspx?id=9417,"Fri, 10 Feb 2012",/event.aspx?335114,Yapacc
"Rue de Lausanne 24; 1201, Geneva",9417, Le Scandale,/club.aspx?id=9417,"Fri, 10 Feb 2012",/event.aspx?335114,Peter D
"Rue de Lausanne 24; 1201, Geneva",9417, Le Scandale,/club.aspx?id=9417,"Fri, 3 Dec 2010",/event.aspx?212427,Opuswerk
"Rue de Lausanne 24; 1201, Geneva",9417, Le Scandale,/club.aspx?id=9417,"Fri, 22 Oct 2010",/event.aspx?202179,Opuswerk
"Rue de Lausanne 24; 1201, Geneva",9417, Le Scandale,/club.aspx?id=9417,"Fri, 11 Jun 2010",/event.aspx?144199,The Cruzaders
"Rue de Lausanne 24; 1201, Geneva",9417, Le Scandale,/club.aspx?id=9417,"Sat, 17 Apr 2010",/event.aspx?159638,Opuswerk
"Rue de Lausanne 24; 1201, Geneva",9417, Le Scandale,/club.aspx?id=9417,"Sat, 10 Apr 2010",/event.aspx?156605,Kim Prevedello
"Rue de Lausanne 24; 1201, Geneva",9417, Le Scandale,/club.aspx?id=9417,"Fri, 5 Feb 2010",/event.aspx?139917,Volta
"Rue de Lausanne 24; 1201, Geneva",9417, Le Scandale,/club.aspx?id=9417,"Fri, 22 Jan 2010",/event.aspx?136180,Cosmokolor
"Rue de Lausanne 24; 1201, Geneva",9417, Le Scandale,/club.aspx?id=9417,"Fri, 4 Dec 2009",/event.aspx?132590,Digital Geist
"Rue de Lausanne 24; 1201, Geneva",9417, Le Scandale,/club.aspx?id=9417,"Fri, 16 Oct 2009",/event.aspx?122273,Cyril Léger
"Rue de Lausanne 24; 1201, Geneva",9417, Le Scandale,/club.aspx?id=9417,"Sat, 23 May 2009",/event.aspx?99398,Mendo
"Rue de Lausanne 24; 1201, Geneva",9417, Le Scandale,/club.aspx?id=9417,"Fri, 27 Mar 2009",/event.aspx?87130,Paride Saraceni
"Rue de Lausanne 24; 1201, Geneva",9417, Le Scandale,/club.aspx?id=9417,"Fri, 2 May 2008",/event.aspx?44277,tsacK
