club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Av. de Sévelin 34; 1004, Lausanne",31393, Les Docks,/club.aspx?id=31393,"Wed, 2 Nov 2016",/event.aspx?848351,Autechre
"Av. de Sévelin 34; 1004, Lausanne",31393, Les Docks,/club.aspx?id=31393,"Thu, 5 May 2016",/event.aspx?794625,Moderat
"Av. de Sévelin 34; 1004, Lausanne",31393, Les Docks,/club.aspx?id=31393,"Sat, 14 Nov 2015",/event.aspx?714356,St Germain
"Av. de Sévelin 34; 1004, Lausanne",31393, Les Docks,/club.aspx?id=31393,"Sat, 14 Nov 2015",/event.aspx?737718,St Germain
"Av. de Sévelin 34; 1004, Lausanne",31393, Les Docks,/club.aspx?id=31393,"Thu, 13 Nov 2014",/event.aspx?649355,Einstürzende Neubauten
"Av. de Sévelin 34; 1004, Lausanne",31393, Les Docks,/club.aspx?id=31393,"Sat, 30 Nov 2013",/event.aspx?539179,Ron Costa
"Av. de Sévelin 34; 1004, Lausanne",31393, Les Docks,/club.aspx?id=31393,"Sat, 30 Nov 2013",/event.aspx?539179,A-Mari
"Av. de Sévelin 34; 1004, Lausanne",31393, Les Docks,/club.aspx?id=31393,"Wed, 13 Nov 2013",/event.aspx?523734,Trentemoller
"Av. de Sévelin 34; 1004, Lausanne",31393, Les Docks,/club.aspx?id=31393,"Sat, 16 Oct 2010",/event.aspx?172753,Trentemøller
"Av. de Sévelin 34; 1004, Lausanne",31393, Les Docks,/club.aspx?id=31393,"Sun, 10 Oct 2010",/event.aspx?188716,Goldfrapp
