club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Place Bel-Air 1; 1003, Lausanne",4974, Loft Club & Loft Café,/club.aspx?id=4974,"Sat, 23 Dec 2006",/event.aspx?18100,DJ Hell
"Place Bel-Air 1; 1003, Lausanne",4974, Loft Club & Loft Café,/club.aspx?id=4974,"Sat, 16 Dec 2006",/event.aspx?18099,Luciano
"Place Bel-Air 1; 1003, Lausanne",4974, Loft Club & Loft Café,/club.aspx?id=4974,"Sat, 16 Dec 2006",/event.aspx?18099,Mirko Loko
"Place Bel-Air 1; 1003, Lausanne",4974, Loft Club & Loft Café,/club.aspx?id=4974,"Sat, 9 Dec 2006",/event.aspx?18098,Magda
"Place Bel-Air 1; 1003, Lausanne",4974, Loft Club & Loft Café,/club.aspx?id=4974,"Sat, 9 Dec 2006",/event.aspx?18098,Marc Houle
"Place Bel-Air 1; 1003, Lausanne",4974, Loft Club & Loft Café,/club.aspx?id=4974,"Sat, 9 Dec 2006",/event.aspx?18098,Ripperton
"Place Bel-Air 1; 1003, Lausanne",4974, Loft Club & Loft Café,/club.aspx?id=4974,"Sat, 2 Dec 2006",/event.aspx?18097,Anja Schneider
"Place Bel-Air 1; 1003, Lausanne",4974, Loft Club & Loft Café,/club.aspx?id=4974,"Sat, 2 Dec 2006",/event.aspx?18097,Daniel Stefanik
"Place Bel-Air 1; 1003, Lausanne",4974, Loft Club & Loft Café,/club.aspx?id=4974,"Sat, 2 Dec 2006",/event.aspx?18097,Eric Borgo
"Place Bel-Air 1; 1003, Lausanne",4974, Loft Club & Loft Café,/club.aspx?id=4974,"Sat, 29 Sep 2007",/event.aspx?32538,Martin Buttrich
"Place Bel-Air 1; 1003, Lausanne",4974, Loft Club & Loft Café,/club.aspx?id=4974,"Fri, 11 May 2007",/event.aspx?23131,Jeff Mills
"Place Bel-Air 1; 1003, Lausanne",4974, Loft Club & Loft Café,/club.aspx?id=4974,"Fri, 11 May 2007",/event.aspx?23131,Mirko Loko
"Place Bel-Air 1; 1003, Lausanne",4974, Loft Club & Loft Café,/club.aspx?id=4974,"Sat, 5 May 2007",/event.aspx?23134,Luciano
"Place Bel-Air 1; 1003, Lausanne",4974, Loft Club & Loft Café,/club.aspx?id=4974,"Sat, 5 May 2007",/event.aspx?23134,Raresh
"Place Bel-Air 1; 1003, Lausanne",4974, Loft Club & Loft Café,/club.aspx?id=4974,"Sat, 5 May 2007",/event.aspx?23134,Laps
"Place Bel-Air 1; 1003, Lausanne",4974, Loft Club & Loft Café,/club.aspx?id=4974,"Fri, 4 May 2007",/event.aspx?23133,Audion
"Place Bel-Air 1; 1003, Lausanne",4974, Loft Club & Loft Café,/club.aspx?id=4974,"Fri, 4 May 2007",/event.aspx?23133,Matt John
"Place Bel-Air 1; 1003, Lausanne",4974, Loft Club & Loft Café,/club.aspx?id=4974,"Fri, 4 May 2007",/event.aspx?23133,Eric Borgo
"Place Bel-Air 1; 1003, Lausanne",4974, Loft Club & Loft Café,/club.aspx?id=4974,"Sat, 28 Apr 2007",/event.aspx?23132,Extrawelt
"Place Bel-Air 1; 1003, Lausanne",4974, Loft Club & Loft Café,/club.aspx?id=4974,"Sat, 28 Apr 2007",/event.aspx?23132,Serafin
"Place Bel-Air 1; 1003, Lausanne",4974, Loft Club & Loft Café,/club.aspx?id=4974,"Sat, 28 Apr 2007",/event.aspx?23132,Masaya
"Place Bel-Air 1; 1003, Lausanne",4974, Loft Club & Loft Café,/club.aspx?id=4974,"Sat, 17 Feb 2007",/event.aspx?19861,Akufen
"Place Bel-Air 1; 1003, Lausanne",4974, Loft Club & Loft Café,/club.aspx?id=4974,"Sat, 20 Dec 2008",/event.aspx?77731,Pan-Pot
"Place Bel-Air 1; 1003, Lausanne",4974, Loft Club & Loft Café,/club.aspx?id=4974,"Sat, 22 Nov 2008",/event.aspx?73029,Troy Pierce
"Place Bel-Air 1; 1003, Lausanne",4974, Loft Club & Loft Café,/club.aspx?id=4974,"Sat, 18 Oct 2008",/event.aspx?71785,Thomas Melchior
"Place Bel-Air 1; 1003, Lausanne",4974, Loft Club & Loft Café,/club.aspx?id=4974,"Sat, 18 Oct 2008",/event.aspx?71785,Daria
"Place Bel-Air 1; 1003, Lausanne",4974, Loft Club & Loft Café,/club.aspx?id=4974,"Sat, 18 Oct 2008",/event.aspx?71785,Funzion
"Place Bel-Air 1; 1003, Lausanne",4974, Loft Club & Loft Café,/club.aspx?id=4974,"Sat, 4 Oct 2008",/event.aspx?62552,Dusty Kid
"Place Bel-Air 1; 1003, Lausanne",4974, Loft Club & Loft Café,/club.aspx?id=4974,"Sat, 21 Jun 2008",/event.aspx?55009,Carl Craig
"Place Bel-Air 1; 1003, Lausanne",4974, Loft Club & Loft Café,/club.aspx?id=4974,"Sat, 21 Jun 2008",/event.aspx?55009,Mirko Loko
"Place Bel-Air 1; 1003, Lausanne",4974, Loft Club & Loft Café,/club.aspx?id=4974,"Sat, 7 Jun 2008",/event.aspx?55005,Loco Dice
"Place Bel-Air 1; 1003, Lausanne",4974, Loft Club & Loft Café,/club.aspx?id=4974,"Sat, 7 Jun 2008",/event.aspx?55005,Eric Borgo
"Place Bel-Air 1; 1003, Lausanne",4974, Loft Club & Loft Café,/club.aspx?id=4974,"Tue, 27 May 2008",/event.aspx?55007,Simon Baker
"Place Bel-Air 1; 1003, Lausanne",4974, Loft Club & Loft Café,/club.aspx?id=4974,"Tue, 27 May 2008",/event.aspx?55007,Alex Flitsch
"Place Bel-Air 1; 1003, Lausanne",4974, Loft Club & Loft Café,/club.aspx?id=4974,"Sat, 10 May 2008",/event.aspx?52672,Reboot
"Place Bel-Air 1; 1003, Lausanne",4974, Loft Club & Loft Café,/club.aspx?id=4974,"Sat, 10 May 2008",/event.aspx?52672,Mirko Loko
"Place Bel-Air 1; 1003, Lausanne",4974, Loft Club & Loft Café,/club.aspx?id=4974,"Sat, 19 Apr 2008",/event.aspx?50856,Tobi Neumann
"Place Bel-Air 1; 1003, Lausanne",4974, Loft Club & Loft Café,/club.aspx?id=4974,"Sat, 19 Apr 2008",/event.aspx?50856,Lee Van Dowski
"Place Bel-Air 1; 1003, Lausanne",4974, Loft Club & Loft Café,/club.aspx?id=4974,"Sat, 1 Mar 2008",/event.aspx?44731,Thomas Melchior
