club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Rue de Monthoux 60; 1201, Geneva",44612, Milk Klub,/club.aspx?id=44612,"Sat, 31 Dec 2011",/event.aspx?318894,Nico Purman
"Rue de Monthoux 60; 1201, Geneva",44612, Milk Klub,/club.aspx?id=44612,"Sat, 31 Dec 2011",/event.aspx?318894,Alejandro Mosso
"Rue de Monthoux 60; 1201, Geneva",44612, Milk Klub,/club.aspx?id=44612,"Sat, 31 Dec 2011",/event.aspx?318894,Daria
"Rue de Monthoux 60; 1201, Geneva",44612, Milk Klub,/club.aspx?id=44612,"Sat, 31 Dec 2011",/event.aspx?318894,Pandallougi
"Rue de Monthoux 60; 1201, Geneva",44612, Milk Klub,/club.aspx?id=44612,"Sat, 31 Dec 2011",/event.aspx?318894,Dachshund
"Rue de Monthoux 60; 1201, Geneva",44612, Milk Klub,/club.aspx?id=44612,"Sat, 31 Dec 2011",/event.aspx?318894,Opuswerk
"Rue de Monthoux 60; 1201, Geneva",44612, Milk Klub,/club.aspx?id=44612,"Sat, 31 Dec 2011",/event.aspx?318894,Marlon
"Rue de Monthoux 60; 1201, Geneva",44612, Milk Klub,/club.aspx?id=44612,"Fri, 23 Dec 2011",/event.aspx?317737,Cyril Léger
"Rue de Monthoux 60; 1201, Geneva",44612, Milk Klub,/club.aspx?id=44612,"Fri, 23 Dec 2011",/event.aspx?317737,Dachshund
"Rue de Monthoux 60; 1201, Geneva",44612, Milk Klub,/club.aspx?id=44612,"Fri, 23 Dec 2011",/event.aspx?317737,Laolu
"Rue de Monthoux 60; 1201, Geneva",44612, Milk Klub,/club.aspx?id=44612,"Fri, 23 Dec 2011",/event.aspx?317737,Kadebostan
"Rue de Monthoux 60; 1201, Geneva",44612, Milk Klub,/club.aspx?id=44612,"Fri, 23 Dec 2011",/event.aspx?317737,Marlon
"Rue de Monthoux 60; 1201, Geneva",44612, Milk Klub,/club.aspx?id=44612,"Fri, 23 Dec 2011",/event.aspx?317737,DJ Dub
"Rue de Monthoux 60; 1201, Geneva",44612, Milk Klub,/club.aspx?id=44612,"Fri, 23 Dec 2011",/event.aspx?317737,Nicolas Duvoisin
"Rue de Monthoux 60; 1201, Geneva",44612, Milk Klub,/club.aspx?id=44612,"Sat, 17 Dec 2011",/event.aspx?317777,Kiki
"Rue de Monthoux 60; 1201, Geneva",44612, Milk Klub,/club.aspx?id=44612,"Sat, 17 Dec 2011",/event.aspx?317777,Jacob Husley
"Rue de Monthoux 60; 1201, Geneva",44612, Milk Klub,/club.aspx?id=44612,"Sat, 17 Dec 2011",/event.aspx?317777,Peter Pixzel
"Rue de Monthoux 60; 1201, Geneva",44612, Milk Klub,/club.aspx?id=44612,"Sat, 17 Dec 2011",/event.aspx?317777,Cormac
"Rue de Monthoux 60; 1201, Geneva",44612, Milk Klub,/club.aspx?id=44612,"Fri, 16 Dec 2011",/event.aspx?315711,Ata
"Rue de Monthoux 60; 1201, Geneva",44612, Milk Klub,/club.aspx?id=44612,"Fri, 16 Dec 2011",/event.aspx?315711,Gerd Janson
"Rue de Monthoux 60; 1201, Geneva",44612, Milk Klub,/club.aspx?id=44612,"Fri, 16 Dec 2011",/event.aspx?315711,Sinner DC
"Rue de Monthoux 60; 1201, Geneva",44612, Milk Klub,/club.aspx?id=44612,"Thu, 15 Dec 2011",/event.aspx?304111,Cassy
"Rue de Monthoux 60; 1201, Geneva",44612, Milk Klub,/club.aspx?id=44612,"Thu, 15 Dec 2011",/event.aspx?304111,Sonja Moonear
"Rue de Monthoux 60; 1201, Geneva",44612, Milk Klub,/club.aspx?id=44612,"Sat, 10 Dec 2011",/event.aspx?314538,Peak & Swift
"Rue de Monthoux 60; 1201, Geneva",44612, Milk Klub,/club.aspx?id=44612,"Sat, 10 Dec 2011",/event.aspx?314538,22Rockets
"Rue de Monthoux 60; 1201, Geneva",44612, Milk Klub,/club.aspx?id=44612,"Sat, 10 Dec 2011",/event.aspx?314538,Opuswerk
"Rue de Monthoux 60; 1201, Geneva",44612, Milk Klub,/club.aspx?id=44612,"Fri, 9 Dec 2011",/event.aspx?312227,Portable
"Rue de Monthoux 60; 1201, Geneva",44612, Milk Klub,/club.aspx?id=44612,"Fri, 9 Dec 2011",/event.aspx?312227,Kadebostan
"Rue de Monthoux 60; 1201, Geneva",44612, Milk Klub,/club.aspx?id=44612,"Fri, 9 Dec 2011",/event.aspx?312227,Laolu
