club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Route des Jeunes 13; 1227, Acacias",33242, Motel Campo,/club.aspx?id=33242,"Fri, 26 Nov 2010",/event.aspx?207657,Chromatics
"Route des Jeunes 13; 1227, Acacias",33242, Motel Campo,/club.aspx?id=33242,"Sat, 25 Sep 2010",/event.aspx?189999,Vincent Lemieux
"Route des Jeunes 13; 1227, Acacias",33242, Motel Campo,/club.aspx?id=33242,"Sat, 25 Sep 2010",/event.aspx?189999,Kate Simko
"Route des Jeunes 13; 1227, Acacias",33242, Motel Campo,/club.aspx?id=33242,"Sat, 25 Sep 2010",/event.aspx?189999,DeWalta
"Route des Jeunes 13; 1227, Acacias",33242, Motel Campo,/club.aspx?id=33242,"Sat, 25 Sep 2010",/event.aspx?189999,Dandy Jack
"Route des Jeunes 13; 1227, Acacias",33242, Motel Campo,/club.aspx?id=33242,"Sat, 25 Sep 2010",/event.aspx?189999,Kenneth Christiansen
"Route des Jeunes 13; 1227, Acacias",33242, Motel Campo,/club.aspx?id=33242,"Sat, 25 Sep 2010",/event.aspx?189999,Sonja Moonear
"Route des Jeunes 13; 1227, Acacias",33242, Motel Campo,/club.aspx?id=33242,"Sat, 14 Aug 2010",/event.aspx?181582,Crowdpleaser
"Route des Jeunes 13; 1227, Acacias",33242, Motel Campo,/club.aspx?id=33242,"Sat, 14 Aug 2010",/event.aspx?181582,Dollar Mambo
"Route des Jeunes 13; 1227, Acacias",33242, Motel Campo,/club.aspx?id=33242,"Fri, 6 Aug 2010",/event.aspx?183458,Âme
"Route des Jeunes 13; 1227, Acacias",33242, Motel Campo,/club.aspx?id=33242,"Fri, 6 Aug 2010",/event.aspx?183458,Crowdpleaser
"Route des Jeunes 13; 1227, Acacias",33242, Motel Campo,/club.aspx?id=33242,"Fri, 14 Oct 2011",/event.aspx?301012,Cobeia
"Route des Jeunes 13; 1227, Acacias",33242, Motel Campo,/club.aspx?id=33242,"Fri, 7 Oct 2011",/event.aspx?294954,Mike Dehnert
"Route des Jeunes 13; 1227, Acacias",33242, Motel Campo,/club.aspx?id=33242,"Fri, 7 Oct 2011",/event.aspx?294954,DJ Dub
"Route des Jeunes 13; 1227, Acacias",33242, Motel Campo,/club.aspx?id=33242,"Sat, 1 Oct 2011",/event.aspx?295704,Genius of Time
"Route des Jeunes 13; 1227, Acacias",33242, Motel Campo,/club.aspx?id=33242,"Sat, 1 Oct 2011",/event.aspx?295704,Pawel
