club_adress,club_id,club_name,club_ref,date,ref_event,artiste
Westquaistrasse 19; 4057 Basel,8280, Nordstern,/club.aspx?id=8280,"Sat, 8 Dec 2007",/event.aspx?36915,SCSI-9
Westquaistrasse 19; 4057 Basel,8280, Nordstern,/club.aspx?id=8280,"Sat, 8 Dec 2007",/event.aspx?36915,Anton Kubikov
Westquaistrasse 19; 4057 Basel,8280, Nordstern,/club.aspx?id=8280,"Sat, 22 Nov 2008",/event.aspx?72006,Benna
Westquaistrasse 19; 4057 Basel,8280, Nordstern,/club.aspx?id=8280,"Sat, 22 Nov 2008",/event.aspx?72006,Plusminus
Westquaistrasse 19; 4057 Basel,8280, Nordstern,/club.aspx?id=8280,"Sat, 25 Oct 2008",/event.aspx?65038,Guido Schneider
Westquaistrasse 19; 4057 Basel,8280, Nordstern,/club.aspx?id=8280,"Sat, 25 Oct 2008",/event.aspx?65038,Plusminus
Westquaistrasse 19; 4057 Basel,8280, Nordstern,/club.aspx?id=8280,"Sat, 11 Oct 2008",/event.aspx?65739,Pixelpunks
Westquaistrasse 19; 4057 Basel,8280, Nordstern,/club.aspx?id=8280,"Sat, 11 Oct 2008",/event.aspx?65739,Beda
Westquaistrasse 19; 4057 Basel,8280, Nordstern,/club.aspx?id=8280,"Sat, 20 Sep 2008",/event.aspx?65036,Aril Brikha
Westquaistrasse 19; 4057 Basel,8280, Nordstern,/club.aspx?id=8280,"Sat, 20 Sep 2008",/event.aspx?65036,Plusminus
Westquaistrasse 19; 4057 Basel,8280, Nordstern,/club.aspx?id=8280,"Tue, 9 Sep 2008",/event.aspx?43400,Ascii.Disko
Westquaistrasse 19; 4057 Basel,8280, Nordstern,/club.aspx?id=8280,"Sat, 21 Jun 2008",/event.aspx?52788,Martin Landsky
Westquaistrasse 19; 4057 Basel,8280, Nordstern,/club.aspx?id=8280,"Sat, 21 Jun 2008",/event.aspx?52788,Plusminus
Westquaistrasse 19; 4057 Basel,8280, Nordstern,/club.aspx?id=8280,"Fri, 23 May 2008",/event.aspx?51823,Jeff Milligan
Westquaistrasse 19; 4057 Basel,8280, Nordstern,/club.aspx?id=8280,"Fri, 23 May 2008",/event.aspx?51823,Shaka
Westquaistrasse 19; 4057 Basel,8280, Nordstern,/club.aspx?id=8280,"Wed, 30 Apr 2008",/event.aspx?47365,Todd Bodine
Westquaistrasse 19; 4057 Basel,8280, Nordstern,/club.aspx?id=8280,"Wed, 30 Apr 2008",/event.aspx?47365,Fran-G
Westquaistrasse 19; 4057 Basel,8280, Nordstern,/club.aspx?id=8280,"Sat, 19 Apr 2008",/event.aspx?52786,Patrick Chardronnet
Westquaistrasse 19; 4057 Basel,8280, Nordstern,/club.aspx?id=8280,"Sat, 19 Apr 2008",/event.aspx?52786,Plusminus
Westquaistrasse 19; 4057 Basel,8280, Nordstern,/club.aspx?id=8280,"Fri, 18 Apr 2008",/event.aspx?40419,GummiHz
Westquaistrasse 19; 4057 Basel,8280, Nordstern,/club.aspx?id=8280,"Sat, 15 Mar 2008",/event.aspx?42549,Makau
Westquaistrasse 19; 4057 Basel,8280, Nordstern,/club.aspx?id=8280,"Fri, 25 Dec 2009",/event.aspx?134225,Nico Purman
Westquaistrasse 19; 4057 Basel,8280, Nordstern,/club.aspx?id=8280,"Fri, 25 Dec 2009",/event.aspx?134225,Ned O`Neal
Westquaistrasse 19; 4057 Basel,8280, Nordstern,/club.aspx?id=8280,"Fri, 25 Dec 2009",/event.aspx?134225,Ed Luis
Westquaistrasse 19; 4057 Basel,8280, Nordstern,/club.aspx?id=8280,"Fri, 25 Dec 2009",/event.aspx?134225,Cristian Tamborrini
Westquaistrasse 19; 4057 Basel,8280, Nordstern,/club.aspx?id=8280,"Fri, 25 Dec 2009",/event.aspx?134225,Fabio Tamborrini
Westquaistrasse 19; 4057 Basel,8280, Nordstern,/club.aspx?id=8280,"Fri, 25 Dec 2009",/event.aspx?134225,Adrian Martin
Westquaistrasse 19; 4057 Basel,8280, Nordstern,/club.aspx?id=8280,"Sat, 19 Dec 2009",/event.aspx?128832,D.Diggler
Westquaistrasse 19; 4057 Basel,8280, Nordstern,/club.aspx?id=8280,"Sat, 19 Dec 2009",/event.aspx?128832,Marc Antona
Westquaistrasse 19; 4057 Basel,8280, Nordstern,/club.aspx?id=8280,"Sat, 19 Dec 2009",/event.aspx?128832,Steve Cole
Westquaistrasse 19; 4057 Basel,8280, Nordstern,/club.aspx?id=8280,"Sat, 19 Dec 2009",/event.aspx?128832,Massive Jay
Westquaistrasse 19; 4057 Basel,8280, Nordstern,/club.aspx?id=8280,"Sat, 19 Dec 2009",/event.aspx?128832,Everstone
Westquaistrasse 19; 4057 Basel,8280, Nordstern,/club.aspx?id=8280,"Fri, 6 Nov 2009",/event.aspx?122083,Der Dritte Raum
Westquaistrasse 19; 4057 Basel,8280, Nordstern,/club.aspx?id=8280,"Fri, 6 Nov 2009",/event.aspx?122083,Massive Jay
Westquaistrasse 19; 4057 Basel,8280, Nordstern,/club.aspx?id=8280,"Fri, 6 Nov 2009",/event.aspx?122083,Everstone
Westquaistrasse 19; 4057 Basel,8280, Nordstern,/club.aspx?id=8280,"Fri, 23 Oct 2009",/event.aspx?121046,Jeff Milligan
Westquaistrasse 19; 4057 Basel,8280, Nordstern,/club.aspx?id=8280,"Sat, 12 Sep 2009",/event.aspx?111558,Ion Ludwig
Westquaistrasse 19; 4057 Basel,8280, Nordstern,/club.aspx?id=8280,"Sat, 12 Sep 2009",/event.aspx?111558,Michel Sacher
Westquaistrasse 19; 4057 Basel,8280, Nordstern,/club.aspx?id=8280,"Fri, 24 Apr 2009",/event.aspx?95265,Michael Berczelly
Westquaistrasse 19; 4057 Basel,8280, Nordstern,/club.aspx?id=8280,"Fri, 24 Apr 2009",/event.aspx?95265,Breandan Davey
Westquaistrasse 19; 4057 Basel,8280, Nordstern,/club.aspx?id=8280,"Fri, 24 Apr 2009",/event.aspx?95265,Lukas Kleesattel
Westquaistrasse 19; 4057 Basel,8280, Nordstern,/club.aspx?id=8280,"Fri, 24 Apr 2009",/event.aspx?95265,KNUT 2010
Westquaistrasse 19; 4057 Basel,8280, Nordstern,/club.aspx?id=8280,"Sat, 18 Apr 2009",/event.aspx?86961,Joris Voorn
Westquaistrasse 19; 4057 Basel,8280, Nordstern,/club.aspx?id=8280,"Sat, 21 Mar 2009",/event.aspx?88279,Ripperton
Westquaistrasse 19; 4057 Basel,8280, Nordstern,/club.aspx?id=8280,"Sat, 21 Mar 2009",/event.aspx?88279,Michel Sacher
Westquaistrasse 19; 4057 Basel,8280, Nordstern,/club.aspx?id=8280,"Sat, 21 Mar 2009",/event.aspx?88279,Plusminus
Westquaistrasse 19; 4057 Basel,8280, Nordstern,/club.aspx?id=8280,"Sun, 1 Mar 2009",/event.aspx?85525,Adrian Martin
Westquaistrasse 19; 4057 Basel,8280, Nordstern,/club.aspx?id=8280,"Sun, 1 Mar 2009",/event.aspx?85525,Ed Luis
Westquaistrasse 19; 4057 Basel,8280, Nordstern,/club.aspx?id=8280,"Sun, 1 Mar 2009",/event.aspx?85525,Dominik Auderset
Westquaistrasse 19; 4057 Basel,8280, Nordstern,/club.aspx?id=8280,"Fri, 27 Feb 2009",/event.aspx?86173,Ed Luis
Westquaistrasse 19; 4057 Basel,8280, Nordstern,/club.aspx?id=8280,"Fri, 31 Dec 2010",/event.aspx?212017,Andrea Oliva
Westquaistrasse 19; 4057 Basel,8280, Nordstern,/club.aspx?id=8280,"Fri, 31 Dec 2010",/event.aspx?212017,Michel Sacher
Westquaistrasse 19; 4057 Basel,8280, Nordstern,/club.aspx?id=8280,"Sat, 25 Dec 2010",/event.aspx?212015,Guy Gerber
Westquaistrasse 19; 4057 Basel,8280, Nordstern,/club.aspx?id=8280,"Sat, 25 Dec 2010",/event.aspx?212015,Reto Ardour
