club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Ohmweg10; 2504, Biel",52979, Ohm10,/club.aspx?id=52979,"Sat, 19 Mar 2016",/event.aspx?815764,Paul Mad
"Ohmweg10; 2504, Biel",52979, Ohm10,/club.aspx?id=52979,"Sun, 13 Mar 2016",/event.aspx?816084,Nukem
"Ohmweg10; 2504, Biel",52979, Ohm10,/club.aspx?id=52979,"Sun, 13 Mar 2016",/event.aspx?816084,Skaos
"Ohmweg10; 2504, Biel",52979, Ohm10,/club.aspx?id=52979,"Sun, 15 Nov 2015",/event.aspx?771860,Martelli
"Ohmweg10; 2504, Biel",52979, Ohm10,/club.aspx?id=52979,"Sun, 15 Nov 2015",/event.aspx?771860,Nukem
"Ohmweg10; 2504, Biel",52979, Ohm10,/club.aspx?id=52979,"Sun, 15 Nov 2015",/event.aspx?771860,Mattoo
"Ohmweg10; 2504, Biel",52979, Ohm10,/club.aspx?id=52979,"Sun, 18 Oct 2015",/event.aspx?767995,DoubtingThomas
"Ohmweg10; 2504, Biel",52979, Ohm10,/club.aspx?id=52979,"Sun, 18 Oct 2015",/event.aspx?767995,Mattoo
"Ohmweg10; 2504, Biel",52979, Ohm10,/club.aspx?id=52979,"Sun, 30 Jun 2013",/event.aspx?488300,DJ Fuse
"Ohmweg10; 2504, Biel",52979, Ohm10,/club.aspx?id=52979,"Sun, 30 Jun 2013",/event.aspx?488300,Mia Kaltes
"Ohmweg10; 2504, Biel",52979, Ohm10,/club.aspx?id=52979,"Sun, 30 Jun 2013",/event.aspx?488300,Dj Anthony Vega
"Ohmweg10; 2504, Biel",52979, Ohm10,/club.aspx?id=52979,"Sat, 8 Jun 2013",/event.aspx?488380,Chris Tietjen
"Ohmweg10; 2504, Biel",52979, Ohm10,/club.aspx?id=52979,"Sat, 8 Jun 2013",/event.aspx?488380,Garibovic
"Ohmweg10; 2504, Biel",52979, Ohm10,/club.aspx?id=52979,"Sat, 8 Jun 2013",/event.aspx?488380,Jan Penarrubia
"Ohmweg10; 2504, Biel",52979, Ohm10,/club.aspx?id=52979,"Sat, 12 Jan 2013",/event.aspx?440493,Markus haZe
"Ohmweg10; 2504, Biel",52979, Ohm10,/club.aspx?id=52979,"Sun, 30 Dec 2012",/event.aspx?437876,Terzini Bros
"Ohmweg10; 2504, Biel",52979, Ohm10,/club.aspx?id=52979,"Sat, 1 Dec 2012",/event.aspx?429752,Ronny Vergara
"Ohmweg10; 2504, Biel",52979, Ohm10,/club.aspx?id=52979,"Sat, 1 Dec 2012",/event.aspx?429752,Mekas
"Ohmweg10; 2504, Biel",52979, Ohm10,/club.aspx?id=52979,"Sat, 1 Dec 2012",/event.aspx?429752,Daegon
"Ohmweg10; 2504, Biel",52979, Ohm10,/club.aspx?id=52979,"Sat, 19 May 2012",/event.aspx?361270,David Durango
"Ohmweg10; 2504, Biel",52979, Ohm10,/club.aspx?id=52979,"Sat, 19 May 2012",/event.aspx?361270,Nelson De Jesus
"Ohmweg10; 2504, Biel",52979, Ohm10,/club.aspx?id=52979,"Sun, 11 Mar 2012",/event.aspx?342923,Skaos
"Ohmweg10; 2504, Biel",52979, Ohm10,/club.aspx?id=52979,"Sat, 3 Mar 2012",/event.aspx?342913,Skaos
"Ohmweg10; 2504, Biel",52979, Ohm10,/club.aspx?id=52979,"Sat, 3 Mar 2012",/event.aspx?342913,Markus haZe
"Ohmweg10; 2504, Biel",52979, Ohm10,/club.aspx?id=52979,"Fri, 2 Mar 2012",/event.aspx?324196,Taborka
"Ohmweg10; 2504, Biel",52979, Ohm10,/club.aspx?id=52979,"Sat, 31 Dec 2011",/event.aspx?324436,Sam Pharell
"Ohmweg10; 2504, Biel",52979, Ohm10,/club.aspx?id=52979,"Sat, 31 Dec 2011",/event.aspx?324436,Markus haZe
"Ohmweg10; 2504, Biel",52979, Ohm10,/club.aspx?id=52979,"Sat, 31 Dec 2011",/event.aspx?324436,Terzini Bros
"Ohmweg10; 2504, Biel",52979, Ohm10,/club.aspx?id=52979,"Fri, 16 Dec 2011",/event.aspx?310961,Garibovic
"Ohmweg10; 2504, Biel",52979, Ohm10,/club.aspx?id=52979,"Fri, 16 Dec 2011",/event.aspx?310961,Jan Penarrubia
"Ohmweg10; 2504, Biel",52979, Ohm10,/club.aspx?id=52979,"Fri, 16 Dec 2011",/event.aspx?310961,Rico Rausch
"Ohmweg10; 2504, Biel",52979, Ohm10,/club.aspx?id=52979,"Fri, 16 Dec 2011",/event.aspx?310961,Das Balz
"Ohmweg10; 2504, Biel",52979, Ohm10,/club.aspx?id=52979,"Sat, 1 Oct 2011",/event.aspx?295561,Alec Trusk
"Ohmweg10; 2504, Biel",52979, Ohm10,/club.aspx?id=52979,"Sat, 1 Oct 2011",/event.aspx?295561,Terzini Bros
"Ohmweg10; 2504, Biel",52979, Ohm10,/club.aspx?id=52979,"Sat, 1 Oct 2011",/event.aspx?295561,Cubex
