club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Place des Volontaires 4; 5281, Geneva",30386, PTR-Usine,/club.aspx?id=30386,"Thu, 1 May 2014",/event.aspx?594110,Gramatik
"Place des Volontaires 4; 5281, Geneva",30386, PTR-Usine,/club.aspx?id=30386,"Sat, 28 Sep 2013",/event.aspx?518686,mimetic
"Place des Volontaires 4; 5281, Geneva",30386, PTR-Usine,/club.aspx?id=30386,"Sat, 28 Sep 2013",/event.aspx?518686,Pantha Du Prince
"Place des Volontaires 4; 5281, Geneva",30386, PTR-Usine,/club.aspx?id=30386,"Sat, 4 May 2013",/event.aspx?478153,Jeff Swing
"Place des Volontaires 4; 5281, Geneva",30386, PTR-Usine,/club.aspx?id=30386,"Sat, 4 May 2013",/event.aspx?478153,Lagardere
"Place des Volontaires 4; 5281, Geneva",30386, PTR-Usine,/club.aspx?id=30386,"Sat, 4 May 2013",/event.aspx?478153,Ken Wan
"Place des Volontaires 4; 5281, Geneva",30386, PTR-Usine,/club.aspx?id=30386,"Fri, 13 Apr 2012",/event.aspx?348098,Nôze
"Place des Volontaires 4; 5281, Geneva",30386, PTR-Usine,/club.aspx?id=30386,"Fri, 13 Apr 2012",/event.aspx?348098,Round Table Knights
"Place des Volontaires 4; 5281, Geneva",30386, PTR-Usine,/club.aspx?id=30386,"Fri, 13 Apr 2012",/event.aspx?348098,Zombie Disco Squad
"Place des Volontaires 4; 5281, Geneva",30386, PTR-Usine,/club.aspx?id=30386,"Fri, 13 Apr 2012",/event.aspx?348098,Rebolledo
"Place des Volontaires 4; 5281, Geneva",30386, PTR-Usine,/club.aspx?id=30386,"Fri, 23 Mar 2012",/event.aspx?348096,Mixhell
"Place des Volontaires 4; 5281, Geneva",30386, PTR-Usine,/club.aspx?id=30386,"Fri, 23 Mar 2012",/event.aspx?348096,Bobmo
"Place des Volontaires 4; 5281, Geneva",30386, PTR-Usine,/club.aspx?id=30386,"Sat, 6 Aug 2011",/event.aspx?278727,Electrosexual
"Place des Volontaires 4; 5281, Geneva",30386, PTR-Usine,/club.aspx?id=30386,"Sat, 6 Aug 2011",/event.aspx?278727,Garance
"Place des Volontaires 4; 5281, Geneva",30386, PTR-Usine,/club.aspx?id=30386,"Sat, 6 Aug 2011",/event.aspx?278727,diSoul
"Place des Volontaires 4; 5281, Geneva",30386, PTR-Usine,/club.aspx?id=30386,"Fri, 18 Mar 2011",/event.aspx?236612,Feadz
"Place des Volontaires 4; 5281, Geneva",30386, PTR-Usine,/club.aspx?id=30386,"Fri, 18 Mar 2011",/event.aspx?236612,Boy 8 Bit
"Place des Volontaires 4; 5281, Geneva",30386, PTR-Usine,/club.aspx?id=30386,"Tue, 16 Feb 2010",/event.aspx?167517,PorCus
