club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Blumenbergplatz; 9004, St.Gallen",33919, Palace,/club.aspx?id=33919,"Sat, 10 Nov 2012",/event.aspx?421755,Andy Stott
"Blumenbergplatz; 9004, St.Gallen",33919, Palace,/club.aspx?id=33919,"Sat, 10 Nov 2012",/event.aspx?421755,Raime
"Blumenbergplatz; 9004, St.Gallen",33919, Palace,/club.aspx?id=33919,"Sat, 10 Nov 2012",/event.aspx?421755,Nik!
"Blumenbergplatz; 9004, St.Gallen",33919, Palace,/club.aspx?id=33919,"Wed, 31 Oct 2012",/event.aspx?411635,Laurel Halo
"Blumenbergplatz; 9004, St.Gallen",33919, Palace,/club.aspx?id=33919,"Sat, 14 Apr 2012",/event.aspx?354542,Daedelus
"Blumenbergplatz; 9004, St.Gallen",33919, Palace,/club.aspx?id=33919,"Sat, 14 Apr 2012",/event.aspx?354542,Nik!
"Blumenbergplatz; 9004, St.Gallen",33919, Palace,/club.aspx?id=33919,"Sat, 14 Apr 2012",/event.aspx?354542,Baumeister
"Blumenbergplatz; 9004, St.Gallen",33919, Palace,/club.aspx?id=33919,"Sat, 12 Nov 2011",/event.aspx?317418,Zomby
"Blumenbergplatz; 9004, St.Gallen",33919, Palace,/club.aspx?id=33919,"Sat, 12 Nov 2011",/event.aspx?317418,Baumeister
"Blumenbergplatz; 9004, St.Gallen",33919, Palace,/club.aspx?id=33919,"Fri, 30 Sep 2011",/event.aspx?296861,Theo Parrish
"Blumenbergplatz; 9004, St.Gallen",33919, Palace,/club.aspx?id=33919,"Fri, 30 Sep 2011",/event.aspx?296861,Monome
"Blumenbergplatz; 9004, St.Gallen",33919, Palace,/club.aspx?id=33919,"Fri, 30 Sep 2011",/event.aspx?296861,Mitsutek
"Blumenbergplatz; 9004, St.Gallen",33919, Palace,/club.aspx?id=33919,"Sat, 21 May 2011",/event.aspx?317419,Bibio
"Blumenbergplatz; 9004, St.Gallen",33919, Palace,/club.aspx?id=33919,"Sat, 21 May 2011",/event.aspx?317419,Baumeister
"Blumenbergplatz; 9004, St.Gallen",33919, Palace,/club.aspx?id=33919,"Fri, 6 May 2011",/event.aspx?240082,Feldermelder
"Blumenbergplatz; 9004, St.Gallen",33919, Palace,/club.aspx?id=33919,"Fri, 6 May 2011",/event.aspx?240082,Nik!
"Blumenbergplatz; 9004, St.Gallen",33919, Palace,/club.aspx?id=33919,"Sat, 6 Nov 2010",/event.aspx?185067,Mount Kimbie
