club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Rue du Stand 3; 1204, Genève",11915, Palladium,/club.aspx?id=11915,"Wed, 7 Sep 2016",/event.aspx?869950,Seth Troxler
"Rue du Stand 3; 1204, Genève",11915, Palladium,/club.aspx?id=11915,"Wed, 7 Sep 2016",/event.aspx?869950,Rare Movement
"Rue du Stand 3; 1204, Genève",11915, Palladium,/club.aspx?id=11915,"Wed, 7 Sep 2016",/event.aspx?869950,Reas
"Rue du Stand 3; 1204, Genève",11915, Palladium,/club.aspx?id=11915,"Fri, 4 Sep 2015",/event.aspx?729046,Sven Väth
"Rue du Stand 3; 1204, Genève",11915, Palladium,/club.aspx?id=11915,"Fri, 4 Sep 2015",/event.aspx?729046,Gianni Callipari
"Rue du Stand 3; 1204, Genève",11915, Palladium,/club.aspx?id=11915,"Fri, 4 Sep 2015",/event.aspx?729046,Romano Rapeso
"Rue du Stand 3; 1204, Genève",11915, Palladium,/club.aspx?id=11915,"Sat, 30 Nov 2013",/event.aspx?534488,Tevo Howard
"Rue du Stand 3; 1204, Genève",11915, Palladium,/club.aspx?id=11915,"Sat, 30 Nov 2013",/event.aspx?534488,Reas
"Rue du Stand 3; 1204, Genève",11915, Palladium,/club.aspx?id=11915,"Sat, 1 Oct 2011",/event.aspx?289801,Agoria
"Rue du Stand 3; 1204, Genève",11915, Palladium,/club.aspx?id=11915,"Fri, 30 Sep 2011",/event.aspx?291130,Planetary Assault Systems
"Rue du Stand 3; 1204, Genève",11915, Palladium,/club.aspx?id=11915,"Fri, 30 Sep 2011",/event.aspx?291130,Luke Slater
"Rue du Stand 3; 1204, Genève",11915, Palladium,/club.aspx?id=11915,"Fri, 30 Sep 2011",/event.aspx?291130,Len Faki
"Rue du Stand 3; 1204, Genève",11915, Palladium,/club.aspx?id=11915,"Fri, 30 Sep 2011",/event.aspx?291130,yAn!
"Rue du Stand 3; 1204, Genève",11915, Palladium,/club.aspx?id=11915,"Fri, 18 Feb 2011",/event.aspx?212105,Dave Clarke
"Rue du Stand 3; 1204, Genève",11915, Palladium,/club.aspx?id=11915,"Fri, 18 Feb 2011",/event.aspx?212105,Markantonio
"Rue du Stand 3; 1204, Genève",11915, Palladium,/club.aspx?id=11915,"Fri, 18 Feb 2011",/event.aspx?212105,Spektre
"Rue du Stand 3; 1204, Genève",11915, Palladium,/club.aspx?id=11915,"Fri, 18 Feb 2011",/event.aspx?212105,O'xensa
"Rue du Stand 3; 1204, Genève",11915, Palladium,/club.aspx?id=11915,"Thu, 1 Apr 2010",/event.aspx?147136,Toast Terry
"Rue du Stand 3; 1204, Genève",11915, Palladium,/club.aspx?id=11915,"Sat, 5 Sep 2009",/event.aspx?110284,Motor City Drum Ensemble
"Rue du Stand 3; 1204, Genève",11915, Palladium,/club.aspx?id=11915,"Fri, 12 Sep 2008",/event.aspx?59796,Born Bjorg
"Rue du Stand 3; 1204, Genève",11915, Palladium,/club.aspx?id=11915,"Fri, 31 Aug 2007",/event.aspx?77493,Kalabrese
"Rue du Stand 3; 1204, Genève",11915, Palladium,/club.aspx?id=11915,"Fri, 31 Aug 2007",/event.aspx?77493,Vincent Lemieux
"Rue du Stand 3; 1204, Genève",11915, Palladium,/club.aspx?id=11915,"Fri, 31 Aug 2007",/event.aspx?77493,Guillaume and The Coutu Dumonts
"Rue du Stand 3; 1204, Genève",11915, Palladium,/club.aspx?id=11915,"Fri, 31 Aug 2007",/event.aspx?77493,Stephen Beaupré
"Rue du Stand 3; 1204, Genève",11915, Palladium,/club.aspx?id=11915,"Fri, 31 Aug 2007",/event.aspx?77493,Chic Miniature
"Rue du Stand 3; 1204, Genève",11915, Palladium,/club.aspx?id=11915,"Fri, 31 Aug 2007",/event.aspx?77493,Storlon
"Rue du Stand 3; 1204, Genève",11915, Palladium,/club.aspx?id=11915,"Fri, 31 Aug 2007",/event.aspx?77493,Laurent Charbon
"Rue du Stand 3; 1204, Genève",11915, Palladium,/club.aspx?id=11915,"Fri, 2 Mar 2001",/event.aspx?677468,Willow
