club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Via Industria 4; 6814, Lamone Ticino",17440, Pascia Swiss Fashion Club,/club.aspx?id=17440,"Sat, 13 Nov 2010",/event.aspx?207708,Matteo Melillo
"Via Industria 4; 6814, Lamone Ticino",17440, Pascia Swiss Fashion Club,/club.aspx?id=17440,"Sat, 6 Nov 2010",/event.aspx?204870,Matteo Melillo
"Via Industria 4; 6814, Lamone Ticino",17440, Pascia Swiss Fashion Club,/club.aspx?id=17440,"Sat, 30 Oct 2010",/event.aspx?203005,Matteo Melillo
"Via Industria 4; 6814, Lamone Ticino",17440, Pascia Swiss Fashion Club,/club.aspx?id=17440,"Sat, 23 Oct 2010",/event.aspx?201183,Matteo Melillo
"Via Industria 4; 6814, Lamone Ticino",17440, Pascia Swiss Fashion Club,/club.aspx?id=17440,"Sat, 16 Oct 2010",/event.aspx?199672,Matteo Melillo
"Via Industria 4; 6814, Lamone Ticino",17440, Pascia Swiss Fashion Club,/club.aspx?id=17440,"Sat, 9 Oct 2010",/event.aspx?198018,Paolo Di Mirò
"Via Industria 4; 6814, Lamone Ticino",17440, Pascia Swiss Fashion Club,/club.aspx?id=17440,"Sat, 9 Oct 2010",/event.aspx?198018,Matteo Melillo
"Via Industria 4; 6814, Lamone Ticino",17440, Pascia Swiss Fashion Club,/club.aspx?id=17440,"Sat, 2 Oct 2010",/event.aspx?195576,Matteo Melillo
"Via Industria 4; 6814, Lamone Ticino",17440, Pascia Swiss Fashion Club,/club.aspx?id=17440,"Sat, 25 Sep 2010",/event.aspx?194098,Paolo Di Mirò
"Via Industria 4; 6814, Lamone Ticino",17440, Pascia Swiss Fashion Club,/club.aspx?id=17440,"Sat, 25 Sep 2010",/event.aspx?194098,Matteo Melillo
"Via Industria 4; 6814, Lamone Ticino",17440, Pascia Swiss Fashion Club,/club.aspx?id=17440,"Sat, 18 Sep 2010",/event.aspx?185487,Matteo Melillo
"Via Industria 4; 6814, Lamone Ticino",17440, Pascia Swiss Fashion Club,/club.aspx?id=17440,"Fri, 18 Jun 2010",/event.aspx?174082,Mendo
"Via Industria 4; 6814, Lamone Ticino",17440, Pascia Swiss Fashion Club,/club.aspx?id=17440,"Fri, 18 Jun 2010",/event.aspx?174082,Daria
"Via Industria 4; 6814, Lamone Ticino",17440, Pascia Swiss Fashion Club,/club.aspx?id=17440,"Sat, 27 Mar 2010",/event.aspx?157477,Dr. Lektroluv
"Via Industria 4; 6814, Lamone Ticino",17440, Pascia Swiss Fashion Club,/club.aspx?id=17440,"Sat, 27 Mar 2010",/event.aspx?157477,Marco Rossi
"Via Industria 4; 6814, Lamone Ticino",17440, Pascia Swiss Fashion Club,/club.aspx?id=17440,"Thu, 18 Mar 2010",/event.aspx?157484,Marco Rossi
"Via Industria 4; 6814, Lamone Ticino",17440, Pascia Swiss Fashion Club,/club.aspx?id=17440,"Sat, 18 Apr 2009",/event.aspx?94178,Andrea Festa
"Via Industria 4; 6814, Lamone Ticino",17440, Pascia Swiss Fashion Club,/club.aspx?id=17440,"Sat, 27 Sep 2008",/event.aspx?104380,Danny Settimio
