club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Bahnhofplatz 1; 3900, Brig",42465, Perron1,/club.aspx?id=42465,"Sat, 5 Nov 2016",/event.aspx?895135,Kellerkind
"Bahnhofplatz 1; 3900, Brig",42465, Perron1,/club.aspx?id=42465,"Sat, 5 Nov 2016",/event.aspx?895135,HighLive
"Bahnhofplatz 1; 3900, Brig",42465, Perron1,/club.aspx?id=42465,"Sat, 5 Nov 2016",/event.aspx?895135,Zustra
"Bahnhofplatz 1; 3900, Brig",42465, Perron1,/club.aspx?id=42465,"Sat, 5 Mar 2016",/event.aspx?806675,Dario D'Attis
"Bahnhofplatz 1; 3900, Brig",42465, Perron1,/club.aspx?id=42465,"Sat, 5 Mar 2016",/event.aspx?806675,HighLive
"Bahnhofplatz 1; 3900, Brig",42465, Perron1,/club.aspx?id=42465,"Sat, 5 Mar 2016",/event.aspx?806675,Zustra
"Bahnhofplatz 1; 3900, Brig",42465, Perron1,/club.aspx?id=42465,"Sat, 21 Nov 2015",/event.aspx?770063,Kellerkind
"Bahnhofplatz 1; 3900, Brig",42465, Perron1,/club.aspx?id=42465,"Sat, 21 Nov 2015",/event.aspx?770063,HighLive
"Bahnhofplatz 1; 3900, Brig",42465, Perron1,/club.aspx?id=42465,"Sat, 21 Nov 2015",/event.aspx?770063,Zustra
"Bahnhofplatz 1; 3900, Brig",42465, Perron1,/club.aspx?id=42465,"Sat, 20 Jun 2015",/event.aspx?720665,Jimi Jules
"Bahnhofplatz 1; 3900, Brig",42465, Perron1,/club.aspx?id=42465,"Sat, 20 Jun 2015",/event.aspx?720665,HighLive
"Bahnhofplatz 1; 3900, Brig",42465, Perron1,/club.aspx?id=42465,"Sat, 20 Jun 2015",/event.aspx?720665,Zustra
"Bahnhofplatz 1; 3900, Brig",42465, Perron1,/club.aspx?id=42465,"Sat, 25 Apr 2015",/event.aspx?695433,DJ Le Roi
"Bahnhofplatz 1; 3900, Brig",42465, Perron1,/club.aspx?id=42465,"Sat, 25 Apr 2015",/event.aspx?695433,HighLive
"Bahnhofplatz 1; 3900, Brig",42465, Perron1,/club.aspx?id=42465,"Sat, 25 Apr 2015",/event.aspx?695433,Zustra
"Bahnhofplatz 1; 3900, Brig",42465, Perron1,/club.aspx?id=42465,"Sat, 18 Oct 2014",/event.aspx?640541,Kellerkind
"Bahnhofplatz 1; 3900, Brig",42465, Perron1,/club.aspx?id=42465,"Sat, 18 Oct 2014",/event.aspx?640541,HighLive
"Bahnhofplatz 1; 3900, Brig",42465, Perron1,/club.aspx?id=42465,"Sat, 18 Oct 2014",/event.aspx?640541,Zustra
"Bahnhofplatz 1; 3900, Brig",42465, Perron1,/club.aspx?id=42465,"Fri, 19 Sep 2014",/event.aspx?621880,El Alusinante
"Bahnhofplatz 1; 3900, Brig",42465, Perron1,/club.aspx?id=42465,"Sat, 5 Apr 2014",/event.aspx?585006,Alladin K
"Bahnhofplatz 1; 3900, Brig",42465, Perron1,/club.aspx?id=42465,"Sat, 5 Apr 2014",/event.aspx?585006,Emmanuel K
"Bahnhofplatz 1; 3900, Brig",42465, Perron1,/club.aspx?id=42465,"Sat, 5 Apr 2014",/event.aspx?585006,Clats
"Bahnhofplatz 1; 3900, Brig",42465, Perron1,/club.aspx?id=42465,"Sat, 15 Mar 2014",/event.aspx?572133,San Marco
"Bahnhofplatz 1; 3900, Brig",42465, Perron1,/club.aspx?id=42465,"Sat, 15 Mar 2014",/event.aspx?572133,HighLive
"Bahnhofplatz 1; 3900, Brig",42465, Perron1,/club.aspx?id=42465,"Sat, 15 Mar 2014",/event.aspx?572133,Zustra
"Bahnhofplatz 1; 3900, Brig",42465, Perron1,/club.aspx?id=42465,"Sat, 15 Mar 2014",/event.aspx?572133,Tryal
"Bahnhofplatz 1; 3900, Brig",42465, Perron1,/club.aspx?id=42465,"Fri, 14 Feb 2014",/event.aspx?567762,Gravina
"Bahnhofplatz 1; 3900, Brig",42465, Perron1,/club.aspx?id=42465,"Sat, 21 Dec 2013",/event.aspx?549919,Adrian Martin
"Bahnhofplatz 1; 3900, Brig",42465, Perron1,/club.aspx?id=42465,"Sat, 21 Dec 2013",/event.aspx?549919,HighLive
"Bahnhofplatz 1; 3900, Brig",42465, Perron1,/club.aspx?id=42465,"Sat, 21 Dec 2013",/event.aspx?549919,Zustra
"Bahnhofplatz 1; 3900, Brig",42465, Perron1,/club.aspx?id=42465,"Sat, 7 Dec 2013",/event.aspx?542480,MGness
"Bahnhofplatz 1; 3900, Brig",42465, Perron1,/club.aspx?id=42465,"Fri, 29 Nov 2013",/event.aspx?532898,Ezikiel
"Bahnhofplatz 1; 3900, Brig",42465, Perron1,/club.aspx?id=42465,"Fri, 29 Nov 2013",/event.aspx?532898,Dj Never Die
"Bahnhofplatz 1; 3900, Brig",42465, Perron1,/club.aspx?id=42465,"Sat, 16 Nov 2013",/event.aspx?538353,M.in
"Bahnhofplatz 1; 3900, Brig",42465, Perron1,/club.aspx?id=42465,"Sat, 16 Nov 2013",/event.aspx?538353,HighLive
"Bahnhofplatz 1; 3900, Brig",42465, Perron1,/club.aspx?id=42465,"Sat, 16 Nov 2013",/event.aspx?538353,Zustra
"Bahnhofplatz 1; 3900, Brig",42465, Perron1,/club.aspx?id=42465,"Sat, 16 Nov 2013",/event.aspx?538353,Tryal
"Bahnhofplatz 1; 3900, Brig",42465, Perron1,/club.aspx?id=42465,"Sat, 19 Oct 2013",/event.aspx?524902,HighLive
"Bahnhofplatz 1; 3900, Brig",42465, Perron1,/club.aspx?id=42465,"Sat, 19 Oct 2013",/event.aspx?524902,Zustra
"Bahnhofplatz 1; 3900, Brig",42465, Perron1,/club.aspx?id=42465,"Sat, 19 Oct 2013",/event.aspx?524902,Tryal
"Bahnhofplatz 1; 3900, Brig",42465, Perron1,/club.aspx?id=42465,"Sat, 21 Sep 2013",/event.aspx?512542,Emmanuel K
"Bahnhofplatz 1; 3900, Brig",42465, Perron1,/club.aspx?id=42465,"Sat, 21 Sep 2013",/event.aspx?512542,Charles Bohmann
"Bahnhofplatz 1; 3900, Brig",42465, Perron1,/club.aspx?id=42465,"Sat, 21 Sep 2013",/event.aspx?512542,Clats
"Bahnhofplatz 1; 3900, Brig",42465, Perron1,/club.aspx?id=42465,"Sat, 22 Jun 2013",/event.aspx?494957,Pablo Einzig
"Bahnhofplatz 1; 3900, Brig",42465, Perron1,/club.aspx?id=42465,"Sat, 22 Jun 2013",/event.aspx?494957,HighLive
"Bahnhofplatz 1; 3900, Brig",42465, Perron1,/club.aspx?id=42465,"Sat, 22 Jun 2013",/event.aspx?494957,Zustra
"Bahnhofplatz 1; 3900, Brig",42465, Perron1,/club.aspx?id=42465,"Fri, 24 May 2013",/event.aspx?463063,Rene Bourgeois
"Bahnhofplatz 1; 3900, Brig",42465, Perron1,/club.aspx?id=42465,"Fri, 24 May 2013",/event.aspx?463063,Dj Never Die
"Bahnhofplatz 1; 3900, Brig",42465, Perron1,/club.aspx?id=42465,"Sat, 18 May 2013",/event.aspx?481264,DVW
"Bahnhofplatz 1; 3900, Brig",42465, Perron1,/club.aspx?id=42465,"Sat, 18 May 2013",/event.aspx?481264,Zustra
"Bahnhofplatz 1; 3900, Brig",42465, Perron1,/club.aspx?id=42465,"Fri, 10 May 2013",/event.aspx?474903,Robin Sukroso
"Bahnhofplatz 1; 3900, Brig",42465, Perron1,/club.aspx?id=42465,"Fri, 10 May 2013",/event.aspx?474903,Bishop & Goldberg
"Bahnhofplatz 1; 3900, Brig",42465, Perron1,/club.aspx?id=42465,"Sat, 20 Apr 2013",/event.aspx?467209,Kellerkind
"Bahnhofplatz 1; 3900, Brig",42465, Perron1,/club.aspx?id=42465,"Sat, 20 Apr 2013",/event.aspx?467209,HighLive
"Bahnhofplatz 1; 3900, Brig",42465, Perron1,/club.aspx?id=42465,"Sat, 20 Apr 2013",/event.aspx?467209,Zustra
"Bahnhofplatz 1; 3900, Brig",42465, Perron1,/club.aspx?id=42465,"Sat, 20 Apr 2013",/event.aspx?467209,Tryal
"Bahnhofplatz 1; 3900, Brig",42465, Perron1,/club.aspx?id=42465,"Sat, 23 Mar 2013",/event.aspx?459814,Benno Blome
"Bahnhofplatz 1; 3900, Brig",42465, Perron1,/club.aspx?id=42465,"Sat, 23 Mar 2013",/event.aspx?459814,Adrian Martin
"Bahnhofplatz 1; 3900, Brig",42465, Perron1,/club.aspx?id=42465,"Sat, 23 Mar 2013",/event.aspx?459814,HighLive
"Bahnhofplatz 1; 3900, Brig",42465, Perron1,/club.aspx?id=42465,"Sat, 23 Mar 2013",/event.aspx?459814,Zustra
"Bahnhofplatz 1; 3900, Brig",42465, Perron1,/club.aspx?id=42465,"Sat, 23 Mar 2013",/event.aspx?459814,Tryal
"Bahnhofplatz 1; 3900, Brig",42465, Perron1,/club.aspx?id=42465,"Sat, 9 Mar 2013",/event.aspx?460838,Abnormal Boyz
"Bahnhofplatz 1; 3900, Brig",42465, Perron1,/club.aspx?id=42465,"Sat, 9 Mar 2013",/event.aspx?460838,Bishop & Goldberg
"Bahnhofplatz 1; 3900, Brig",42465, Perron1,/club.aspx?id=42465,"Sat, 16 Feb 2013",/event.aspx?447683,HighLive
"Bahnhofplatz 1; 3900, Brig",42465, Perron1,/club.aspx?id=42465,"Sat, 16 Feb 2013",/event.aspx?447683,Zustra
"Bahnhofplatz 1; 3900, Brig",42465, Perron1,/club.aspx?id=42465,"Sat, 16 Feb 2013",/event.aspx?447683,Bishop & Goldberg
"Bahnhofplatz 1; 3900, Brig",42465, Perron1,/club.aspx?id=42465,"Sat, 16 Feb 2013",/event.aspx?447683,Tryal
"Bahnhofplatz 1; 3900, Brig",42465, Perron1,/club.aspx?id=42465,"Sat, 19 Jan 2013",/event.aspx?438724,Luke Redford
"Bahnhofplatz 1; 3900, Brig",42465, Perron1,/club.aspx?id=42465,"Sat, 19 Jan 2013",/event.aspx?438724,Dani Nydegger
"Bahnhofplatz 1; 3900, Brig",42465, Perron1,/club.aspx?id=42465,"Sat, 19 Jan 2013",/event.aspx?438724,Zustra
"Bahnhofplatz 1; 3900, Brig",42465, Perron1,/club.aspx?id=42465,"Sat, 19 Jan 2013",/event.aspx?438724,HighLive
"Bahnhofplatz 1; 3900, Brig",42465, Perron1,/club.aspx?id=42465,"Sat, 19 Jan 2013",/event.aspx?438724,Tryal
"Bahnhofplatz 1; 3900, Brig",42465, Perron1,/club.aspx?id=42465,"Sat, 15 Dec 2012",/event.aspx?427561,HighLive
"Bahnhofplatz 1; 3900, Brig",42465, Perron1,/club.aspx?id=42465,"Sat, 17 Nov 2012",/event.aspx?409552,Kellerkind
"Bahnhofplatz 1; 3900, Brig",42465, Perron1,/club.aspx?id=42465,"Sat, 17 Nov 2012",/event.aspx?409552,Zustra
"Bahnhofplatz 1; 3900, Brig",42465, Perron1,/club.aspx?id=42465,"Sat, 17 Nov 2012",/event.aspx?409552,Tryal
"Bahnhofplatz 1; 3900, Brig",42465, Perron1,/club.aspx?id=42465,"Sat, 17 Nov 2012",/event.aspx?409552,HighLive
"Bahnhofplatz 1; 3900, Brig",42465, Perron1,/club.aspx?id=42465,"Wed, 31 Oct 2012",/event.aspx?412737,Phantom Project
"Bahnhofplatz 1; 3900, Brig",42465, Perron1,/club.aspx?id=42465,"Wed, 31 Oct 2012",/event.aspx?412737,Clats
"Bahnhofplatz 1; 3900, Brig",42465, Perron1,/club.aspx?id=42465,"Sat, 20 Oct 2012",/event.aspx?407866,Adrian Martin
"Bahnhofplatz 1; 3900, Brig",42465, Perron1,/club.aspx?id=42465,"Sat, 20 Oct 2012",/event.aspx?407866,HighLive
"Bahnhofplatz 1; 3900, Brig",42465, Perron1,/club.aspx?id=42465,"Sat, 20 Oct 2012",/event.aspx?407866,Zustra
"Bahnhofplatz 1; 3900, Brig",42465, Perron1,/club.aspx?id=42465,"Sat, 20 Oct 2012",/event.aspx?407866,Tryal
"Bahnhofplatz 1; 3900, Brig",42465, Perron1,/club.aspx?id=42465,"Sat, 15 Sep 2012",/event.aspx?390756,HighLive
"Bahnhofplatz 1; 3900, Brig",42465, Perron1,/club.aspx?id=42465,"Sat, 15 Sep 2012",/event.aspx?390756,Zustra
"Bahnhofplatz 1; 3900, Brig",42465, Perron1,/club.aspx?id=42465,"Sat, 15 Sep 2012",/event.aspx?390756,Tryal
