club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Via Aerodromo 3, Ascona",83259, Pix Club,/club.aspx?id=83259,"Fri, 6 Jan 2017",/event.aspx?910760,East End Dubs
"Via Aerodromo 3, Ascona",83259, Pix Club,/club.aspx?id=83259,"Fri, 6 Jan 2017",/event.aspx?910760,Anish
"Via Aerodromo 3, Ascona",83259, Pix Club,/club.aspx?id=83259,"Fri, 9 Dec 2016",/event.aspx?906739,Zeno
"Via Aerodromo 3, Ascona",83259, Pix Club,/club.aspx?id=83259,"Fri, 9 Dec 2016",/event.aspx?906739,Dragosh
"Via Aerodromo 3, Ascona",83259, Pix Club,/club.aspx?id=83259,"Fri, 9 Dec 2016",/event.aspx?906739,Paul Bart
"Via Aerodromo 3, Ascona",83259, Pix Club,/club.aspx?id=83259,"Fri, 21 Oct 2016",/event.aspx?888774,Crocodile Soup
"Via Aerodromo 3, Ascona",83259, Pix Club,/club.aspx?id=83259,"Fri, 1 Apr 2016",/event.aspx?820028,Matt Star
"Via Aerodromo 3, Ascona",83259, Pix Club,/club.aspx?id=83259,"Fri, 1 Apr 2016",/event.aspx?820028,Red pig flower
"Via Aerodromo 3, Ascona",83259, Pix Club,/club.aspx?id=83259,"Fri, 25 Mar 2016",/event.aspx?818143,Marco Capone
"Via Aerodromo 3, Ascona",83259, Pix Club,/club.aspx?id=83259,"Fri, 18 Dec 2015",/event.aspx?785553,Gel Abril
"Via Aerodromo 3, Ascona",83259, Pix Club,/club.aspx?id=83259,"Wed, 3 Jun 2015",/event.aspx?840224,James Mc Hale
"Via Aerodromo 3, Ascona",83259, Pix Club,/club.aspx?id=83259,"Wed, 3 Jun 2015",/event.aspx?840224,DJ Dub
"Via Aerodromo 3, Ascona",83259, Pix Club,/club.aspx?id=83259,"Fri, 4 Oct 2013",/event.aspx?519404,Helder
