club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Ohmweg 10; 2504, Biel/Bienne",34209, Planet E,/club.aspx?id=34209,"Sat, 9 Apr 2011",/event.aspx?247308,Nukem
"Ohmweg 10; 2504, Biel/Bienne",34209, Planet E,/club.aspx?id=34209,"Sat, 9 Apr 2011",/event.aspx?247308,Mia Kaltes
"Ohmweg 10; 2504, Biel/Bienne",34209, Planet E,/club.aspx?id=34209,"Fri, 25 Mar 2011",/event.aspx?229820,Simon Li
"Ohmweg 10; 2504, Biel/Bienne",34209, Planet E,/club.aspx?id=34209,"Fri, 25 Mar 2011",/event.aspx?229820,Edgar Jack
"Ohmweg 10; 2504, Biel/Bienne",34209, Planet E,/club.aspx?id=34209,"Fri, 25 Mar 2011",/event.aspx?229820,Laurent Charbon
"Ohmweg 10; 2504, Biel/Bienne",34209, Planet E,/club.aspx?id=34209,"Fri, 25 Mar 2011",/event.aspx?229820,Dan Noël
"Ohmweg 10; 2504, Biel/Bienne",34209, Planet E,/club.aspx?id=34209,"Fri, 11 Mar 2011",/event.aspx?231644,Gaiser
"Ohmweg 10; 2504, Biel/Bienne",34209, Planet E,/club.aspx?id=34209,"Fri, 11 Mar 2011",/event.aspx?231644,Romano Rapeso
"Ohmweg 10; 2504, Biel/Bienne",34209, Planet E,/club.aspx?id=34209,"Fri, 11 Mar 2011",/event.aspx?231644,Myah
"Ohmweg 10; 2504, Biel/Bienne",34209, Planet E,/club.aspx?id=34209,"Sat, 26 Feb 2011",/event.aspx?236021,Wandler
"Ohmweg 10; 2504, Biel/Bienne",34209, Planet E,/club.aspx?id=34209,"Sat, 26 Feb 2011",/event.aspx?236021,Ryan Hawkin
"Ohmweg 10; 2504, Biel/Bienne",34209, Planet E,/club.aspx?id=34209,"Sat, 26 Feb 2011",/event.aspx?236021,Mia Kaltes
"Ohmweg 10; 2504, Biel/Bienne",34209, Planet E,/club.aspx?id=34209,"Sat, 20 Nov 2010",/event.aspx?203745,Terzini Bros
"Ohmweg 10; 2504, Biel/Bienne",34209, Planet E,/club.aspx?id=34209,"Sat, 30 Oct 2010",/event.aspx?196670,Skaos
"Ohmweg 10; 2504, Biel/Bienne",34209, Planet E,/club.aspx?id=34209,"Sat, 30 Oct 2010",/event.aspx?196670,Markus haZe
"Ohmweg 10; 2504, Biel/Bienne",34209, Planet E,/club.aspx?id=34209,"Sat, 9 Oct 2010",/event.aspx?186510,Boris Why
"Ohmweg 10; 2504, Biel/Bienne",34209, Planet E,/club.aspx?id=34209,"Sat, 9 Oct 2010",/event.aspx?186510,Huazee
"Ohmweg 10; 2504, Biel/Bienne",34209, Planet E,/club.aspx?id=34209,"Sat, 9 Oct 2010",/event.aspx?186510,Robel
"Ohmweg 10; 2504, Biel/Bienne",34209, Planet E,/club.aspx?id=34209,"Sat, 9 Oct 2010",/event.aspx?186510,Rodri
