club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Route de Genève 10; 1003, Lausanne",8768, Point Bar,/club.aspx?id=8768,"Fri, 9 Apr 2010",/event.aspx?158403,Edgar Jack
"Route de Genève 10; 1003, Lausanne",8768, Point Bar,/club.aspx?id=8768,"Fri, 9 Apr 2010",/event.aspx?158403,Laurent Charbon
"Route de Genève 10; 1003, Lausanne",8768, Point Bar,/club.aspx?id=8768,"Fri, 19 Mar 2010",/event.aspx?130582,The Cruzaders
"Route de Genève 10; 1003, Lausanne",8768, Point Bar,/club.aspx?id=8768,"Fri, 5 Feb 2010",/event.aspx?140082,Edgar Jack
"Route de Genève 10; 1003, Lausanne",8768, Point Bar,/club.aspx?id=8768,"Fri, 5 Feb 2010",/event.aspx?140082,Laurent Charbon
"Route de Genève 10; 1003, Lausanne",8768, Point Bar,/club.aspx?id=8768,"Fri, 18 Dec 2009",/event.aspx?129205,Edgar Jack
"Route de Genève 10; 1003, Lausanne",8768, Point Bar,/club.aspx?id=8768,"Fri, 18 Dec 2009",/event.aspx?129205,Laurent Charbon
"Route de Genève 10; 1003, Lausanne",8768, Point Bar,/club.aspx?id=8768,"Fri, 20 Nov 2009",/event.aspx?122249,The Cruzaders
"Route de Genève 10; 1003, Lausanne",8768, Point Bar,/club.aspx?id=8768,"Fri, 20 Nov 2009",/event.aspx?122249,Fehrplay
"Route de Genève 10; 1003, Lausanne",8768, Point Bar,/club.aspx?id=8768,"Fri, 18 Sep 2009",/event.aspx?115713,Djazzy
"Route de Genève 10; 1003, Lausanne",8768, Point Bar,/club.aspx?id=8768,"Fri, 3 Jul 2009",/event.aspx?106070,The Cruzaders
"Route de Genève 10; 1003, Lausanne",8768, Point Bar,/club.aspx?id=8768,"Sat, 26 Jan 2008",/event.aspx?40380,Oktay
