club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Piazza Dante 8; 6900, Lugano",28862, Privilege,/club.aspx?id=28862,"Sat, 14 Jul 2012",/event.aspx?386444,Simone Fusco
"Piazza Dante 8; 6900, Lugano",28862, Privilege,/club.aspx?id=28862,"Fri, 16 Dec 2011",/event.aspx?318990,Troy Pierce
"Piazza Dante 8; 6900, Lugano",28862, Privilege,/club.aspx?id=28862,"Fri, 16 Dec 2011",/event.aspx?318990,Matteo Melillo
"Piazza Dante 8; 6900, Lugano",28862, Privilege,/club.aspx?id=28862,"Fri, 9 Dec 2011",/event.aspx?317667,Alex Picone
"Piazza Dante 8; 6900, Lugano",28862, Privilege,/club.aspx?id=28862,"Fri, 11 Nov 2011",/event.aspx?308604,Ambivalent
"Piazza Dante 8; 6900, Lugano",28862, Privilege,/club.aspx?id=28862,"Fri, 11 Nov 2011",/event.aspx?308604,Matteo Melillo
"Piazza Dante 8; 6900, Lugano",28862, Privilege,/club.aspx?id=28862,"Sat, 5 Nov 2011",/event.aspx?308371,Ambivalent
"Piazza Dante 8; 6900, Lugano",28862, Privilege,/club.aspx?id=28862,"Sat, 5 Nov 2011",/event.aspx?308371,Matteo Melillo
"Piazza Dante 8; 6900, Lugano",28862, Privilege,/club.aspx?id=28862,"Sat, 1 Oct 2011",/event.aspx?297208,Andrea Festa
"Piazza Dante 8; 6900, Lugano",28862, Privilege,/club.aspx?id=28862,"Sat, 4 Jun 2011",/event.aspx?263799,Matteo Melillo
"Piazza Dante 8; 6900, Lugano",28862, Privilege,/club.aspx?id=28862,"Fri, 19 Nov 2010",/event.aspx?209091,Mirko Molinari
"Piazza Dante 8; 6900, Lugano",28862, Privilege,/club.aspx?id=28862,"Sat, 30 Oct 2010",/event.aspx?189689,Franco Bianco
"Piazza Dante 8; 6900, Lugano",28862, Privilege,/club.aspx?id=28862,"Sat, 30 Oct 2010",/event.aspx?189689,Martin Huergo
"Piazza Dante 8; 6900, Lugano",28862, Privilege,/club.aspx?id=28862,"Wed, 12 May 2010",/event.aspx?159965,Franco Bianco
