club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Via Cantonale Grancia, Lugano",99239, QUYN,/club.aspx?id=99239,"Fri, 30 Oct 2015",/event.aspx?768503,Ilario Alicante
"Via Cantonale Grancia, Lugano",99239, QUYN,/club.aspx?id=99239,"Fri, 16 Oct 2015",/event.aspx?764028,Marco Faraone
"Via Cantonale Grancia, Lugano",99239, QUYN,/club.aspx?id=99239,"Fri, 16 Oct 2015",/event.aspx?764028,Alex Kennon
"Via Cantonale Grancia, Lugano",99239, QUYN,/club.aspx?id=99239,"Fri, 16 Oct 2015",/event.aspx?764028,Cirillo
"Via Cantonale Grancia, Lugano",99239, QUYN,/club.aspx?id=99239,"Sat, 25 Apr 2015",/event.aspx?708020,Mar-T
"Via Cantonale Grancia, Lugano",99239, QUYN,/club.aspx?id=99239,"Sat, 25 Apr 2015",/event.aspx?708020,Kenny Ground
"Via Cantonale Grancia, Lugano",99239, QUYN,/club.aspx?id=99239,"Sat, 28 Mar 2015",/event.aspx?698742,Cuartero
"Via Cantonale Grancia, Lugano",99239, QUYN,/club.aspx?id=99239,"Sat, 28 Mar 2015",/event.aspx?698742,Kenny Ground
"Via Cantonale Grancia, Lugano",99239, QUYN,/club.aspx?id=99239,"Sat, 14 Mar 2015",/event.aspx?693637,Yaya
"Via Cantonale Grancia, Lugano",99239, QUYN,/club.aspx?id=99239,"Sat, 24 Jan 2015",/event.aspx?673385,Ryan Crosson
"Via Cantonale Grancia, Lugano",99239, QUYN,/club.aspx?id=99239,"Sat, 13 Dec 2014",/event.aspx?664397,Gianni Callipari
