club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"2000, Neuchatel",12692, Queen Kong Club,/club.aspx?id=12692,"Sat, 26 Nov 2016",/event.aspx?906053,Lena Willikens
"2000, Neuchatel",12692, Queen Kong Club,/club.aspx?id=12692,"Sat, 26 Nov 2016",/event.aspx?906053,Weval
"2000, Neuchatel",12692, Queen Kong Club,/club.aspx?id=12692,"Sat, 26 Nov 2016",/event.aspx?906053,Lucas Monème
"2000, Neuchatel",12692, Queen Kong Club,/club.aspx?id=12692,"Sat, 26 Nov 2016",/event.aspx?906053,Matias Aguayo
"2000, Neuchatel",12692, Queen Kong Club,/club.aspx?id=12692,"Wed, 4 May 2016",/event.aspx?833809,Braunbeck
"2000, Neuchatel",12692, Queen Kong Club,/club.aspx?id=12692,"Wed, 6 Jun 2012",/event.aspx?373645,Lee-O
"2000, Neuchatel",12692, Queen Kong Club,/club.aspx?id=12692,"Tue, 29 May 2012",/event.aspx?374351,TIVE
"2000, Neuchatel",12692, Queen Kong Club,/club.aspx?id=12692,"Tue, 29 May 2012",/event.aspx?374351,Lee-O
"2000, Neuchatel",12692, Queen Kong Club,/club.aspx?id=12692,"Sat, 18 Jun 2011",/event.aspx?263142,Crowdpleaser
"2000, Neuchatel",12692, Queen Kong Club,/club.aspx?id=12692,"Sat, 7 May 2011",/event.aspx?254311,Addison Groove
"2000, Neuchatel",12692, Queen Kong Club,/club.aspx?id=12692,"Sat, 7 May 2011",/event.aspx?254311,T. Williams
"2000, Neuchatel",12692, Queen Kong Club,/club.aspx?id=12692,"Sat, 7 May 2011",/event.aspx?254311,Deep Teknologi
"2000, Neuchatel",12692, Queen Kong Club,/club.aspx?id=12692,"Fri, 6 May 2011",/event.aspx?257132,Julien Aubert
"2000, Neuchatel",12692, Queen Kong Club,/club.aspx?id=12692,"Fri, 6 May 2011",/event.aspx?257132,Consor
"2000, Neuchatel",12692, Queen Kong Club,/club.aspx?id=12692,"Fri, 15 Apr 2011",/event.aspx?240079,Feldermelder
"2000, Neuchatel",12692, Queen Kong Club,/club.aspx?id=12692,"Fri, 15 Apr 2011",/event.aspx?240079,Nik!
"2000, Neuchatel",12692, Queen Kong Club,/club.aspx?id=12692,"Sat, 6 Nov 2010",/event.aspx?200576,Beats On Demand
"2000, Neuchatel",12692, Queen Kong Club,/club.aspx?id=12692,"Sat, 6 Nov 2010",/event.aspx?200576,West D
"2000, Neuchatel",12692, Queen Kong Club,/club.aspx?id=12692,"Fri, 25 Dec 2009",/event.aspx?121353,Dunwich
"2000, Neuchatel",12692, Queen Kong Club,/club.aspx?id=12692,"Sat, 27 Sep 2008",/event.aspx?64325,Jacqui
