club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Lerchentalstrasse, 9016 St. Gallen",57099, Raumstation,/club.aspx?id=57099,"Sat, 28 Mar 2015",/event.aspx?687261,Joshua Jesse
"Lerchentalstrasse, 9016 St. Gallen",57099, Raumstation,/club.aspx?id=57099,"Sat, 28 Mar 2015",/event.aspx?687261,Tashi Luis
"Lerchentalstrasse, 9016 St. Gallen",57099, Raumstation,/club.aspx?id=57099,"Sat, 11 Oct 2014",/event.aspx?645072,Lutzenkirchen
"Lerchentalstrasse, 9016 St. Gallen",57099, Raumstation,/club.aspx?id=57099,"Sat, 11 Oct 2014",/event.aspx?645072,Xenia Beliayeva
"Lerchentalstrasse, 9016 St. Gallen",57099, Raumstation,/club.aspx?id=57099,"Sat, 11 Oct 2014",/event.aspx?645072,John Lemon
"Lerchentalstrasse, 9016 St. Gallen",57099, Raumstation,/club.aspx?id=57099,"Sat, 14 Dec 2013",/event.aspx?570724,Dj Du'ArT
"Lerchentalstrasse, 9016 St. Gallen",57099, Raumstation,/club.aspx?id=57099,"Sat, 14 Dec 2013",/event.aspx?570724,Fredy S
"Lerchentalstrasse, 9016 St. Gallen",57099, Raumstation,/club.aspx?id=57099,"Sat, 23 Nov 2013",/event.aspx?490478,Dandi & Ugo
"Lerchentalstrasse, 9016 St. Gallen",57099, Raumstation,/club.aspx?id=57099,"Sat, 23 Nov 2013",/event.aspx?490478,AnGy KoRe
"Lerchentalstrasse, 9016 St. Gallen",57099, Raumstation,/club.aspx?id=57099,"Sat, 23 Nov 2013",/event.aspx?490478,Hyrez
"Lerchentalstrasse, 9016 St. Gallen",57099, Raumstation,/club.aspx?id=57099,"Sat, 23 Nov 2013",/event.aspx?490478,Chris Rockwell
"Lerchentalstrasse, 9016 St. Gallen",57099, Raumstation,/club.aspx?id=57099,"Sat, 23 Nov 2013",/event.aspx?490478,KlangfabriK
"Lerchentalstrasse, 9016 St. Gallen",57099, Raumstation,/club.aspx?id=57099,"Sun, 19 May 2013",/event.aspx?474534,Andrea Oliva
"Lerchentalstrasse, 9016 St. Gallen",57099, Raumstation,/club.aspx?id=57099,"Sun, 19 May 2013",/event.aspx?474534,Mäx Varano
"Lerchentalstrasse, 9016 St. Gallen",57099, Raumstation,/club.aspx?id=57099,"Sun, 19 May 2013",/event.aspx?474534,Como Damar
"Lerchentalstrasse, 9016 St. Gallen",57099, Raumstation,/club.aspx?id=57099,"Fri, 26 Apr 2013",/event.aspx?474691,Mäx Varano
"Lerchentalstrasse, 9016 St. Gallen",57099, Raumstation,/club.aspx?id=57099,"Fri, 26 Apr 2013",/event.aspx?474691,Smalltown Collective
"Lerchentalstrasse, 9016 St. Gallen",57099, Raumstation,/club.aspx?id=57099,"Fri, 19 Apr 2013",/event.aspx?474536,Delete
"Lerchentalstrasse, 9016 St. Gallen",57099, Raumstation,/club.aspx?id=57099,"Sat, 2 Mar 2013",/event.aspx?454376,Cari Lekebusch
