club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Bellerivestrasse, 8008 Zürich",121519, Residence K,/club.aspx?id=121519,"Thu, 11 Aug 2016",/event.aspx?865204,Definition
"Bellerivestrasse, 8008 Zürich",121519, Residence K,/club.aspx?id=121519,"Thu, 11 Aug 2016",/event.aspx?865204,Tristan Bohn
"Bellerivestrasse, 8008 Zürich",121519, Residence K,/club.aspx?id=121519,"Sat, 6 Aug 2016",/event.aspx?861403,Animal Trainer
"Bellerivestrasse, 8008 Zürich",121519, Residence K,/club.aspx?id=121519,"Sat, 6 Aug 2016",/event.aspx?861403,Nici Faerber
"Bellerivestrasse, 8008 Zürich",121519, Residence K,/club.aspx?id=121519,"Sat, 6 Aug 2016",/event.aspx?861403,Fat Sushi
"Bellerivestrasse, 8008 Zürich",121519, Residence K,/club.aspx?id=121519,"Sat, 6 Aug 2016",/event.aspx?861403,Raphaello
"Bellerivestrasse, 8008 Zürich",121519, Residence K,/club.aspx?id=121519,"Thu, 4 Aug 2016",/event.aspx?860266,Pazkal
"Bellerivestrasse, 8008 Zürich",121519, Residence K,/club.aspx?id=121519,"Mon, 1 Aug 2016",/event.aspx?864099,Adriatique
"Bellerivestrasse, 8008 Zürich",121519, Residence K,/club.aspx?id=121519,"Mon, 1 Aug 2016",/event.aspx?864099,Atish
"Bellerivestrasse, 8008 Zürich",121519, Residence K,/club.aspx?id=121519,"Mon, 1 Aug 2016",/event.aspx?864099,Hernan Cayetano
"Bellerivestrasse, 8008 Zürich",121519, Residence K,/club.aspx?id=121519,"Mon, 1 Aug 2016",/event.aspx?864099,Dario D'Attis
"Bellerivestrasse, 8008 Zürich",121519, Residence K,/club.aspx?id=121519,"Mon, 1 Aug 2016",/event.aspx?864099,Reto Ardour
"Bellerivestrasse, 8008 Zürich",121519, Residence K,/club.aspx?id=121519,"Mon, 1 Aug 2016",/event.aspx?864099,Dejan
"Bellerivestrasse, 8008 Zürich",121519, Residence K,/club.aspx?id=121519,"Mon, 1 Aug 2016",/event.aspx?864099,Animal Trainer
"Bellerivestrasse, 8008 Zürich",121519, Residence K,/club.aspx?id=121519,"Sat, 30 Jul 2016",/event.aspx?860265,Alex Dallas
"Bellerivestrasse, 8008 Zürich",121519, Residence K,/club.aspx?id=121519,"Sat, 30 Jul 2016",/event.aspx?860265,Lexx
"Bellerivestrasse, 8008 Zürich",121519, Residence K,/club.aspx?id=121519,"Sat, 30 Jul 2016",/event.aspx?860265,Manuel Fischer
"Bellerivestrasse, 8008 Zürich",121519, Residence K,/club.aspx?id=121519,"Sat, 30 Jul 2016",/event.aspx?860265,Washerman
"Bellerivestrasse, 8008 Zürich",121519, Residence K,/club.aspx?id=121519,"Fri, 29 Jul 2016",/event.aspx?860263,Patrischa
"Bellerivestrasse, 8008 Zürich",121519, Residence K,/club.aspx?id=121519,"Wed, 27 Jul 2016",/event.aspx?860257,MTDF
"Bellerivestrasse, 8008 Zürich",121519, Residence K,/club.aspx?id=121519,"Sun, 24 Jul 2016",/event.aspx?860256,Sebastian Spring
"Bellerivestrasse, 8008 Zürich",121519, Residence K,/club.aspx?id=121519,"Fri, 22 Jul 2016",/event.aspx?861390,Kruse & Nuernberg
"Bellerivestrasse, 8008 Zürich",121519, Residence K,/club.aspx?id=121519,"Fri, 22 Jul 2016",/event.aspx?861390,Juzz
"Bellerivestrasse, 8008 Zürich",121519, Residence K,/club.aspx?id=121519,"Thu, 21 Jul 2016",/event.aspx?857342,Sabb
"Bellerivestrasse, 8008 Zürich",121519, Residence K,/club.aspx?id=121519,"Sat, 16 Jul 2016",/event.aspx?860253,Gianni Callipari
"Bellerivestrasse, 8008 Zürich",121519, Residence K,/club.aspx?id=121519,"Sat, 16 Jul 2016",/event.aspx?860253,Reto Ardour
"Bellerivestrasse, 8008 Zürich",121519, Residence K,/club.aspx?id=121519,"Sat, 16 Jul 2016",/event.aspx?860253,Herr Müller
"Bellerivestrasse, 8008 Zürich",121519, Residence K,/club.aspx?id=121519,"Sat, 16 Jul 2016",/event.aspx?860253,Dani Nydegger
