club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Mülhauserstrasse 17; 4058, Basel",7205, Rhypark,/club.aspx?id=7205,"Fri, 28 Jun 2013",/event.aspx?466980,Scot Project
"Mülhauserstrasse 17; 4058, Basel",7205, Rhypark,/club.aspx?id=7205,"Fri, 28 Jun 2013",/event.aspx?466980,DJ Madwave
"Mülhauserstrasse 17; 4058, Basel",7205, Rhypark,/club.aspx?id=7205,"Sat, 18 Jun 2011",/event.aspx?259685,Erick Morillo
"Mülhauserstrasse 17; 4058, Basel",7205, Rhypark,/club.aspx?id=7205,"Sat, 18 Jun 2011",/event.aspx?259685,Tommy Vee
"Mülhauserstrasse 17; 4058, Basel",7205, Rhypark,/club.aspx?id=7205,"Sat, 18 Jun 2011",/event.aspx?259685,Mio Martini
"Mülhauserstrasse 17; 4058, Basel",7205, Rhypark,/club.aspx?id=7205,"Sat, 9 Apr 2011",/event.aspx?237326,Robert Dietz
"Mülhauserstrasse 17; 4058, Basel",7205, Rhypark,/club.aspx?id=7205,"Sat, 9 Apr 2011",/event.aspx?237326,Cirillo
"Mülhauserstrasse 17; 4058, Basel",7205, Rhypark,/club.aspx?id=7205,"Sat, 9 Apr 2011",/event.aspx?237326,Giuseppe Cennamo
"Mülhauserstrasse 17; 4058, Basel",7205, Rhypark,/club.aspx?id=7205,"Sat, 9 Apr 2011",/event.aspx?237326,Adrian Martin
"Mülhauserstrasse 17; 4058, Basel",7205, Rhypark,/club.aspx?id=7205,"Sat, 9 Apr 2011",/event.aspx?237326,Gianni Callipari
"Mülhauserstrasse 17; 4058, Basel",7205, Rhypark,/club.aspx?id=7205,"Sat, 20 Jun 2009",/event.aspx?99421,Mio Martini
