club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Via Murschetg 1, 7032 Laax",27358, Riders Palace,/club.aspx?id=27358,"Sat, 19 Mar 2016",/event.aspx?804395,Booka Shade
"Via Murschetg 1, 7032 Laax",27358, Riders Palace,/club.aspx?id=27358,"Sat, 19 Mar 2016",/event.aspx?804395,Peter Kneer
"Via Murschetg 1, 7032 Laax",27358, Riders Palace,/club.aspx?id=27358,"Sat, 19 Mar 2016",/event.aspx?804395,Jerome Le Baron
"Via Murschetg 1, 7032 Laax",27358, Riders Palace,/club.aspx?id=27358,"Sat, 19 Mar 2016",/event.aspx?804395,Chris Sonaxx
"Via Murschetg 1, 7032 Laax",27358, Riders Palace,/club.aspx?id=27358,"Sat, 12 Dec 2015",/event.aspx?749641,Fritz Kalkbrenner
"Via Murschetg 1, 7032 Laax",27358, Riders Palace,/club.aspx?id=27358,"Sat, 27 Dec 2014",/event.aspx?648325,Moonbootica
"Via Murschetg 1, 7032 Laax",27358, Riders Palace,/club.aspx?id=27358,"Sat, 27 Dec 2014",/event.aspx?648325,Chris Sonaxx
"Via Murschetg 1, 7032 Laax",27358, Riders Palace,/club.aspx?id=27358,"Sat, 28 Dec 2013",/event.aspx?543964,Fritz Kalkbrenner
"Via Murschetg 1, 7032 Laax",27358, Riders Palace,/club.aspx?id=27358,"Sat, 19 Mar 2011",/event.aspx?234306,T. Raumschmiere
"Via Murschetg 1, 7032 Laax",27358, Riders Palace,/club.aspx?id=27358,"Sat, 19 Mar 2011",/event.aspx?234306,Patrick Kunkel
"Via Murschetg 1, 7032 Laax",27358, Riders Palace,/club.aspx?id=27358,"Sat, 19 Mar 2011",/event.aspx?234306,Chris Sonaxx
"Via Murschetg 1, 7032 Laax",27358, Riders Palace,/club.aspx?id=27358,"Sat, 20 Mar 2010",/event.aspx?151284,Chris Tietjen
"Via Murschetg 1, 7032 Laax",27358, Riders Palace,/club.aspx?id=27358,"Sat, 20 Mar 2010",/event.aspx?151284,Patrick Kunkel
"Via Murschetg 1, 7032 Laax",27358, Riders Palace,/club.aspx?id=27358,"Sat, 20 Mar 2010",/event.aspx?151284,Kevin Pohl
