club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"SCHANZENGRABEN 1, 8001 ZÜRICH",33335, Rimini Bar,/club.aspx?id=33335,"Sat, 12 Sep 2015",/event.aspx?754513,Nici Faerber
"SCHANZENGRABEN 1, 8001 ZÜRICH",33335, Rimini Bar,/club.aspx?id=33335,"Sat, 12 Sep 2015",/event.aspx?754513,Luke Redford
"SCHANZENGRABEN 1, 8001 ZÜRICH",33335, Rimini Bar,/club.aspx?id=33335,"Sat, 12 Sep 2015",/event.aspx?754513,And.re
"SCHANZENGRABEN 1, 8001 ZÜRICH",33335, Rimini Bar,/club.aspx?id=33335,"Sat, 12 Sep 2015",/event.aspx?754513,Marco De Rosa
"SCHANZENGRABEN 1, 8001 ZÜRICH",33335, Rimini Bar,/club.aspx?id=33335,"Sat, 11 Jul 2015",/event.aspx?733058,Lara Valentina
"SCHANZENGRABEN 1, 8001 ZÜRICH",33335, Rimini Bar,/club.aspx?id=33335,"Sat, 11 Jul 2015",/event.aspx?733058,Elvis Cassetta
"SCHANZENGRABEN 1, 8001 ZÜRICH",33335, Rimini Bar,/club.aspx?id=33335,"Sat, 11 Jul 2015",/event.aspx?733058,Marco De Rosa
"SCHANZENGRABEN 1, 8001 ZÜRICH",33335, Rimini Bar,/club.aspx?id=33335,"Sat, 4 Jul 2015",/event.aspx?729715,ISAbella
"SCHANZENGRABEN 1, 8001 ZÜRICH",33335, Rimini Bar,/club.aspx?id=33335,"Sat, 4 Jul 2015",/event.aspx?729715,Ajele
"SCHANZENGRABEN 1, 8001 ZÜRICH",33335, Rimini Bar,/club.aspx?id=33335,"Sat, 4 Jul 2015",/event.aspx?729715,Patrischa
"SCHANZENGRABEN 1, 8001 ZÜRICH",33335, Rimini Bar,/club.aspx?id=33335,"Sat, 27 Jun 2015",/event.aspx?729162,Lara Valentina
"SCHANZENGRABEN 1, 8001 ZÜRICH",33335, Rimini Bar,/club.aspx?id=33335,"Sat, 27 Jun 2015",/event.aspx?729162,Elvis Cassetta
"SCHANZENGRABEN 1, 8001 ZÜRICH",33335, Rimini Bar,/club.aspx?id=33335,"Sat, 27 Jun 2015",/event.aspx?729162,Marco De Rosa
"SCHANZENGRABEN 1, 8001 ZÜRICH",33335, Rimini Bar,/club.aspx?id=33335,"Sat, 6 Jun 2015",/event.aspx?723465,Reto Ardour
"SCHANZENGRABEN 1, 8001 ZÜRICH",33335, Rimini Bar,/club.aspx?id=33335,"Sat, 6 Jun 2015",/event.aspx?723465,Le Citadin
"SCHANZENGRABEN 1, 8001 ZÜRICH",33335, Rimini Bar,/club.aspx?id=33335,"Sat, 6 Jun 2015",/event.aspx?723465,Nicola Kazimir
"SCHANZENGRABEN 1, 8001 ZÜRICH",33335, Rimini Bar,/club.aspx?id=33335,"Sat, 6 Jun 2015",/event.aspx?723465,Wandervogel
"SCHANZENGRABEN 1, 8001 ZÜRICH",33335, Rimini Bar,/club.aspx?id=33335,"Sat, 10 Aug 2013",/event.aspx?502549,M.A.N.D.Y.
"SCHANZENGRABEN 1, 8001 ZÜRICH",33335, Rimini Bar,/club.aspx?id=33335,"Sat, 10 Aug 2013",/event.aspx?502549,Audiofly
"SCHANZENGRABEN 1, 8001 ZÜRICH",33335, Rimini Bar,/club.aspx?id=33335,"Sat, 10 Aug 2013",/event.aspx?502549,Lee Burridge
"SCHANZENGRABEN 1, 8001 ZÜRICH",33335, Rimini Bar,/club.aspx?id=33335,"Sat, 10 Aug 2013",/event.aspx?502549,Mike Khoury
"SCHANZENGRABEN 1, 8001 ZÜRICH",33335, Rimini Bar,/club.aspx?id=33335,"Sat, 10 Aug 2013",/event.aspx?502549,Gregorythme
"SCHANZENGRABEN 1, 8001 ZÜRICH",33335, Rimini Bar,/club.aspx?id=33335,"Sat, 10 Aug 2013",/event.aspx?502549,Laurent Bovey
"SCHANZENGRABEN 1, 8001 ZÜRICH",33335, Rimini Bar,/club.aspx?id=33335,"Sat, 10 Aug 2013",/event.aspx?502549,Digitaline
"SCHANZENGRABEN 1, 8001 ZÜRICH",33335, Rimini Bar,/club.aspx?id=33335,"Sat, 10 Aug 2013",/event.aspx?502549,Adriatique
"SCHANZENGRABEN 1, 8001 ZÜRICH",33335, Rimini Bar,/club.aspx?id=33335,"Sat, 10 Aug 2013",/event.aspx?502549,Benja
"SCHANZENGRABEN 1, 8001 ZÜRICH",33335, Rimini Bar,/club.aspx?id=33335,"Sat, 10 Aug 2013",/event.aspx?502549,Reto Ardour
"SCHANZENGRABEN 1, 8001 ZÜRICH",33335, Rimini Bar,/club.aspx?id=33335,"Sat, 6 Jul 2013",/event.aspx?489752,Tale Of Us
"SCHANZENGRABEN 1, 8001 ZÜRICH",33335, Rimini Bar,/club.aspx?id=33335,"Sat, 6 Jul 2013",/event.aspx?489752,Mathew Jonson
"SCHANZENGRABEN 1, 8001 ZÜRICH",33335, Rimini Bar,/club.aspx?id=33335,"Sat, 6 Jul 2013",/event.aspx?489752,Stimming
"SCHANZENGRABEN 1, 8001 ZÜRICH",33335, Rimini Bar,/club.aspx?id=33335,"Sat, 6 Jul 2013",/event.aspx?489752,Adriatique
"SCHANZENGRABEN 1, 8001 ZÜRICH",33335, Rimini Bar,/club.aspx?id=33335,"Sat, 6 Jul 2013",/event.aspx?489752,Markus Lindner
"SCHANZENGRABEN 1, 8001 ZÜRICH",33335, Rimini Bar,/club.aspx?id=33335,"Sat, 6 Jul 2013",/event.aspx?489752,Benja
"SCHANZENGRABEN 1, 8001 ZÜRICH",33335, Rimini Bar,/club.aspx?id=33335,"Sat, 6 Jul 2013",/event.aspx?489752,Reto Ardour
"SCHANZENGRABEN 1, 8001 ZÜRICH",33335, Rimini Bar,/club.aspx?id=33335,"Sat, 6 Jul 2013",/event.aspx?489752,Dejan
"SCHANZENGRABEN 1, 8001 ZÜRICH",33335, Rimini Bar,/club.aspx?id=33335,"Sat, 11 Aug 2012",/event.aspx?384684,M.A.N.D.Y.
"SCHANZENGRABEN 1, 8001 ZÜRICH",33335, Rimini Bar,/club.aspx?id=33335,"Sat, 11 Aug 2012",/event.aspx?384684,Audiofly
"SCHANZENGRABEN 1, 8001 ZÜRICH",33335, Rimini Bar,/club.aspx?id=33335,"Sat, 11 Aug 2012",/event.aspx?384684,Lee Burridge
"SCHANZENGRABEN 1, 8001 ZÜRICH",33335, Rimini Bar,/club.aspx?id=33335,"Sat, 11 Aug 2012",/event.aspx?384684,Amirali
"SCHANZENGRABEN 1, 8001 ZÜRICH",33335, Rimini Bar,/club.aspx?id=33335,"Sat, 11 Aug 2012",/event.aspx?384684,Digitaline
"SCHANZENGRABEN 1, 8001 ZÜRICH",33335, Rimini Bar,/club.aspx?id=33335,"Sat, 11 Aug 2012",/event.aspx?384684,Markus Lindner
"SCHANZENGRABEN 1, 8001 ZÜRICH",33335, Rimini Bar,/club.aspx?id=33335,"Sat, 11 Aug 2012",/event.aspx?384684,Canson
"SCHANZENGRABEN 1, 8001 ZÜRICH",33335, Rimini Bar,/club.aspx?id=33335,"Sat, 11 Aug 2012",/event.aspx?384684,Adriatique
"SCHANZENGRABEN 1, 8001 ZÜRICH",33335, Rimini Bar,/club.aspx?id=33335,"Sat, 13 Aug 2011",/event.aspx?275474,M.A.N.D.Y.
"SCHANZENGRABEN 1, 8001 ZÜRICH",33335, Rimini Bar,/club.aspx?id=33335,"Sat, 13 Aug 2011",/event.aspx?275474,Heidi
"SCHANZENGRABEN 1, 8001 ZÜRICH",33335, Rimini Bar,/club.aspx?id=33335,"Sat, 13 Aug 2011",/event.aspx?275474,DJ T.
"SCHANZENGRABEN 1, 8001 ZÜRICH",33335, Rimini Bar,/club.aspx?id=33335,"Sat, 13 Aug 2011",/event.aspx?275474,Digitaline
"SCHANZENGRABEN 1, 8001 ZÜRICH",33335, Rimini Bar,/club.aspx?id=33335,"Sat, 13 Aug 2011",/event.aspx?275474,Markus Lindner
"SCHANZENGRABEN 1, 8001 ZÜRICH",33335, Rimini Bar,/club.aspx?id=33335,"Sat, 13 Aug 2011",/event.aspx?275474,Crowdpleaser
"SCHANZENGRABEN 1, 8001 ZÜRICH",33335, Rimini Bar,/club.aspx?id=33335,"Sat, 13 Aug 2011",/event.aspx?275474,Andrea Oliva
"SCHANZENGRABEN 1, 8001 ZÜRICH",33335, Rimini Bar,/club.aspx?id=33335,"Sat, 13 Aug 2011",/event.aspx?275474,Canson
"SCHANZENGRABEN 1, 8001 ZÜRICH",33335, Rimini Bar,/club.aspx?id=33335,"Sat, 13 Aug 2011",/event.aspx?275474,Don Ramon
"SCHANZENGRABEN 1, 8001 ZÜRICH",33335, Rimini Bar,/club.aspx?id=33335,"Sat, 14 Aug 2010",/event.aspx?182016,Digitaline
"SCHANZENGRABEN 1, 8001 ZÜRICH",33335, Rimini Bar,/club.aspx?id=33335,"Sat, 14 Aug 2010",/event.aspx?182016,Canson
"SCHANZENGRABEN 1, 8001 ZÜRICH",33335, Rimini Bar,/club.aspx?id=33335,"Sat, 14 Aug 2010",/event.aspx?182016,M.A.N.D.Y.
"SCHANZENGRABEN 1, 8001 ZÜRICH",33335, Rimini Bar,/club.aspx?id=33335,"Sat, 14 Aug 2010",/event.aspx?182016,Mirko Loko
"SCHANZENGRABEN 1, 8001 ZÜRICH",33335, Rimini Bar,/club.aspx?id=33335,"Sat, 14 Aug 2010",/event.aspx?182016,Markus Lindner
"SCHANZENGRABEN 1, 8001 ZÜRICH",33335, Rimini Bar,/club.aspx?id=33335,"Sat, 14 Aug 2010",/event.aspx?182016,San Marco
"SCHANZENGRABEN 1, 8001 ZÜRICH",33335, Rimini Bar,/club.aspx?id=33335,"Sat, 14 Aug 2010",/event.aspx?182016,Don Ramon
