club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"7270 Davos-Platz, Davos",17525, Schatzalp,/club.aspx?id=17525,"Sat, 10 Dec 2016",/event.aspx?895672,Tale Of Us
"7270 Davos-Platz, Davos",17525, Schatzalp,/club.aspx?id=17525,"Sat, 10 Dec 2016",/event.aspx?895672,Mathew Jonson
"7270 Davos-Platz, Davos",17525, Schatzalp,/club.aspx?id=17525,"Sat, 10 Dec 2016",/event.aspx?895672,Lee Burridge
"7270 Davos-Platz, Davos",17525, Schatzalp,/club.aspx?id=17525,"Sat, 10 Dec 2016",/event.aspx?895672,Baikal
"7270 Davos-Platz, Davos",17525, Schatzalp,/club.aspx?id=17525,"Sat, 10 Dec 2016",/event.aspx?895672,DeWalta
"7270 Davos-Platz, Davos",17525, Schatzalp,/club.aspx?id=17525,"Sat, 10 Dec 2016",/event.aspx?895672,Patrischa
"7270 Davos-Platz, Davos",17525, Schatzalp,/club.aspx?id=17525,"Sat, 19 Dec 2015",/event.aspx?781035,Ricardo Villalobos
"7270 Davos-Platz, Davos",17525, Schatzalp,/club.aspx?id=17525,"Sat, 19 Dec 2015",/event.aspx?781035,Sonja Moonear
"7270 Davos-Platz, Davos",17525, Schatzalp,/club.aspx?id=17525,"Sat, 19 Dec 2015",/event.aspx?781035,Guti
"7270 Davos-Platz, Davos",17525, Schatzalp,/club.aspx?id=17525,"Sat, 19 Dec 2015",/event.aspx?781035,Craig Richards
"7270 Davos-Platz, Davos",17525, Schatzalp,/club.aspx?id=17525,"Sat, 19 Dec 2015",/event.aspx?781035,Premiesku
"7270 Davos-Platz, Davos",17525, Schatzalp,/club.aspx?id=17525,"Sat, 19 Dec 2015",/event.aspx?781035,Ezikiel
"7270 Davos-Platz, Davos",17525, Schatzalp,/club.aspx?id=17525,"Sat, 20 Dec 2014",/event.aspx?650045,Sven Väth
"7270 Davos-Platz, Davos",17525, Schatzalp,/club.aspx?id=17525,"Sat, 20 Dec 2014",/event.aspx?650045,Maceo Plex
"7270 Davos-Platz, Davos",17525, Schatzalp,/club.aspx?id=17525,"Sat, 20 Dec 2014",/event.aspx?650045,Mathew Jonson
"7270 Davos-Platz, Davos",17525, Schatzalp,/club.aspx?id=17525,"Sat, 20 Dec 2014",/event.aspx?650045,Lee Burridge
"7270 Davos-Platz, Davos",17525, Schatzalp,/club.aspx?id=17525,"Sat, 20 Dec 2014",/event.aspx?650045,Nastia
"7270 Davos-Platz, Davos",17525, Schatzalp,/club.aspx?id=17525,"Sat, 20 Dec 2014",/event.aspx?650045,Alci
"7270 Davos-Platz, Davos",17525, Schatzalp,/club.aspx?id=17525,"Sat, 30 Nov 2013",/event.aspx?536950,Kyrill & Redford
"7270 Davos-Platz, Davos",17525, Schatzalp,/club.aspx?id=17525,"Sat, 30 Nov 2013",/event.aspx?536950,Sascha Braemer
"7270 Davos-Platz, Davos",17525, Schatzalp,/club.aspx?id=17525,"Sat, 30 Nov 2013",/event.aspx?536950,Niconé
"7270 Davos-Platz, Davos",17525, Schatzalp,/club.aspx?id=17525,"Sat, 30 Nov 2013",/event.aspx?536950,Monkey Safari
"7270 Davos-Platz, Davos",17525, Schatzalp,/club.aspx?id=17525,"Sat, 30 Nov 2013",/event.aspx?536950,Animal Trainer
"7270 Davos-Platz, Davos",17525, Schatzalp,/club.aspx?id=17525,"Sat, 30 Nov 2013",/event.aspx?536950,David August
"7270 Davos-Platz, Davos",17525, Schatzalp,/club.aspx?id=17525,"Fri, 29 Nov 2013",/event.aspx?536948,James Mc Hale
"7270 Davos-Platz, Davos",17525, Schatzalp,/club.aspx?id=17525,"Fri, 29 Nov 2013",/event.aspx?536948,Adriatique
"7270 Davos-Platz, Davos",17525, Schatzalp,/club.aspx?id=17525,"Fri, 29 Nov 2013",/event.aspx?536948,Adana Twins
"7270 Davos-Platz, Davos",17525, Schatzalp,/club.aspx?id=17525,"Fri, 29 Nov 2013",/event.aspx?536948,Oliver Koletzki
"7270 Davos-Platz, Davos",17525, Schatzalp,/club.aspx?id=17525,"Fri, 29 Nov 2013",/event.aspx?536948,Nina Kraviz
"7270 Davos-Platz, Davos",17525, Schatzalp,/club.aspx?id=17525,"Fri, 29 Nov 2013",/event.aspx?536948,Kollektiv Turmstrasse
"7270 Davos-Platz, Davos",17525, Schatzalp,/club.aspx?id=17525,"Fri, 29 May 2009",/event.aspx?94660,Styro 2000
"7270 Davos-Platz, Davos",17525, Schatzalp,/club.aspx?id=17525,"Fri, 29 May 2009",/event.aspx?94660,Charles Tone
"7270 Davos-Platz, Davos",17525, Schatzalp,/club.aspx?id=17525,"Fri, 29 May 2009",/event.aspx?94660,Beda
"7270 Davos-Platz, Davos",17525, Schatzalp,/club.aspx?id=17525,"Fri, 29 May 2009",/event.aspx?94660,Playlove
