club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Sedelhof 2; 6020, Emmenbrücke",11176, Sedel Muzikzentrum,/club.aspx?id=11176,"Sat, 11 Oct 2014",/event.aspx?636174,Guido Schneider
"Sedelhof 2; 6020, Emmenbrücke",11176, Sedel Muzikzentrum,/club.aspx?id=11176,"Sat, 11 Oct 2014",/event.aspx?636174,Danilo Schneider
"Sedelhof 2; 6020, Emmenbrücke",11176, Sedel Muzikzentrum,/club.aspx?id=11176,"Sat, 11 Oct 2014",/event.aspx?636174,Eveline Fink
"Sedelhof 2; 6020, Emmenbrücke",11176, Sedel Muzikzentrum,/club.aspx?id=11176,"Sat, 11 Oct 2014",/event.aspx?636174,Sous Sol
"Sedelhof 2; 6020, Emmenbrücke",11176, Sedel Muzikzentrum,/club.aspx?id=11176,"Sat, 11 Oct 2014",/event.aspx?636174,Dread J
"Sedelhof 2; 6020, Emmenbrücke",11176, Sedel Muzikzentrum,/club.aspx?id=11176,"Sat, 11 Oct 2014",/event.aspx?636174,Raijn Reed
"Sedelhof 2; 6020, Emmenbrücke",11176, Sedel Muzikzentrum,/club.aspx?id=11176,"Sat, 14 Jun 2014",/event.aspx?593650,Manuel Sahagun
"Sedelhof 2; 6020, Emmenbrücke",11176, Sedel Muzikzentrum,/club.aspx?id=11176,"Sat, 14 Jun 2014",/event.aspx?593650,Nicolas Ruiz
"Sedelhof 2; 6020, Emmenbrücke",11176, Sedel Muzikzentrum,/club.aspx?id=11176,"Sat, 14 Jun 2014",/event.aspx?593650,Sakro
"Sedelhof 2; 6020, Emmenbrücke",11176, Sedel Muzikzentrum,/club.aspx?id=11176,"Sat, 14 Jun 2014",/event.aspx?593650,Manic Mike
"Sedelhof 2; 6020, Emmenbrücke",11176, Sedel Muzikzentrum,/club.aspx?id=11176,"Sat, 14 Jun 2014",/event.aspx?593650,Andreas Foxx
"Sedelhof 2; 6020, Emmenbrücke",11176, Sedel Muzikzentrum,/club.aspx?id=11176,"Sat, 14 Jun 2014",/event.aspx?593650,Der Schmeisser
"Sedelhof 2; 6020, Emmenbrücke",11176, Sedel Muzikzentrum,/club.aspx?id=11176,"Sat, 30 Nov 2013",/event.aspx?537794,Cuartero
"Sedelhof 2; 6020, Emmenbrücke",11176, Sedel Muzikzentrum,/club.aspx?id=11176,"Sat, 30 Nov 2013",/event.aspx?537794,Sous Sol
"Sedelhof 2; 6020, Emmenbrücke",11176, Sedel Muzikzentrum,/club.aspx?id=11176,"Sat, 30 Nov 2013",/event.aspx?537794,Martin Baur
"Sedelhof 2; 6020, Emmenbrücke",11176, Sedel Muzikzentrum,/club.aspx?id=11176,"Sat, 30 Nov 2013",/event.aspx?537794,Ramin
"Sedelhof 2; 6020, Emmenbrücke",11176, Sedel Muzikzentrum,/club.aspx?id=11176,"Sat, 28 Sep 2013",/event.aspx?515366,Ron Costa
"Sedelhof 2; 6020, Emmenbrücke",11176, Sedel Muzikzentrum,/club.aspx?id=11176,"Sat, 28 Sep 2013",/event.aspx?515366,Sous Sol
"Sedelhof 2; 6020, Emmenbrücke",11176, Sedel Muzikzentrum,/club.aspx?id=11176,"Sat, 28 Sep 2013",/event.aspx?515366,Martin Baur
"Sedelhof 2; 6020, Emmenbrücke",11176, Sedel Muzikzentrum,/club.aspx?id=11176,"Sat, 28 Sep 2013",/event.aspx?515366,Timoteo
"Sedelhof 2; 6020, Emmenbrücke",11176, Sedel Muzikzentrum,/club.aspx?id=11176,"Sat, 28 Sep 2013",/event.aspx?515366,Spitfire
"Sedelhof 2; 6020, Emmenbrücke",11176, Sedel Muzikzentrum,/club.aspx?id=11176,"Sat, 15 Jun 2013",/event.aspx?480204,Franco Bianco
"Sedelhof 2; 6020, Emmenbrücke",11176, Sedel Muzikzentrum,/club.aspx?id=11176,"Sat, 15 Jun 2013",/event.aspx?480204,Mike Wall
"Sedelhof 2; 6020, Emmenbrücke",11176, Sedel Muzikzentrum,/club.aspx?id=11176,"Sat, 15 Jun 2013",/event.aspx?480204,Jazmin Ng
"Sedelhof 2; 6020, Emmenbrücke",11176, Sedel Muzikzentrum,/club.aspx?id=11176,"Sat, 15 Jun 2013",/event.aspx?480204,Martin Huergo
"Sedelhof 2; 6020, Emmenbrücke",11176, Sedel Muzikzentrum,/club.aspx?id=11176,"Sat, 15 Jun 2013",/event.aspx?480204,Jose Wated
"Sedelhof 2; 6020, Emmenbrücke",11176, Sedel Muzikzentrum,/club.aspx?id=11176,"Sat, 15 Jun 2013",/event.aspx?480204,Jack Pattern
"Sedelhof 2; 6020, Emmenbrücke",11176, Sedel Muzikzentrum,/club.aspx?id=11176,"Sat, 15 Jun 2013",/event.aspx?480204,Tim Grothe
"Sedelhof 2; 6020, Emmenbrücke",11176, Sedel Muzikzentrum,/club.aspx?id=11176,"Sat, 15 Jun 2013",/event.aspx?480204,J-One
"Sedelhof 2; 6020, Emmenbrücke",11176, Sedel Muzikzentrum,/club.aspx?id=11176,"Sat, 15 Jun 2013",/event.aspx?480204,El Tigre Sound
"Sedelhof 2; 6020, Emmenbrücke",11176, Sedel Muzikzentrum,/club.aspx?id=11176,"Sat, 27 Apr 2013",/event.aspx?463515,Professor Genius
"Sedelhof 2; 6020, Emmenbrücke",11176, Sedel Muzikzentrum,/club.aspx?id=11176,"Sat, 20 Apr 2013",/event.aspx?467701,Animal Trainer
"Sedelhof 2; 6020, Emmenbrücke",11176, Sedel Muzikzentrum,/club.aspx?id=11176,"Sat, 20 Apr 2013",/event.aspx?467701,Sous Sol
"Sedelhof 2; 6020, Emmenbrücke",11176, Sedel Muzikzentrum,/club.aspx?id=11176,"Sat, 20 Apr 2013",/event.aspx?467701,Martin Baur
"Sedelhof 2; 6020, Emmenbrücke",11176, Sedel Muzikzentrum,/club.aspx?id=11176,"Sat, 26 Jan 2013",/event.aspx?432931,Disko Dario
"Sedelhof 2; 6020, Emmenbrücke",11176, Sedel Muzikzentrum,/club.aspx?id=11176,"Sat, 28 Apr 2012",/event.aspx?327324,Enzo Siffredi
"Sedelhof 2; 6020, Emmenbrücke",11176, Sedel Muzikzentrum,/club.aspx?id=11176,"Sat, 28 Apr 2012",/event.aspx?327324,JFTH
"Sedelhof 2; 6020, Emmenbrücke",11176, Sedel Muzikzentrum,/club.aspx?id=11176,"Sat, 28 Apr 2012",/event.aspx?327324,Ricardo Santos
"Sedelhof 2; 6020, Emmenbrücke",11176, Sedel Muzikzentrum,/club.aspx?id=11176,"Sat, 31 Mar 2012",/event.aspx?340224,Jichael Mackson
"Sedelhof 2; 6020, Emmenbrücke",11176, Sedel Muzikzentrum,/club.aspx?id=11176,"Sat, 31 Mar 2012",/event.aspx?340224,Marco Zenker
"Sedelhof 2; 6020, Emmenbrücke",11176, Sedel Muzikzentrum,/club.aspx?id=11176,"Sat, 31 Mar 2012",/event.aspx?340224,Dario Zenker
"Sedelhof 2; 6020, Emmenbrücke",11176, Sedel Muzikzentrum,/club.aspx?id=11176,"Sat, 11 Feb 2012",/event.aspx?322932,Khainz
"Sedelhof 2; 6020, Emmenbrücke",11176, Sedel Muzikzentrum,/club.aspx?id=11176,"Sat, 11 Feb 2012",/event.aspx?322932,Suspect One
"Sedelhof 2; 6020, Emmenbrücke",11176, Sedel Muzikzentrum,/club.aspx?id=11176,"Sat, 11 Feb 2012",/event.aspx?322932,Martin Baur
"Sedelhof 2; 6020, Emmenbrücke",11176, Sedel Muzikzentrum,/club.aspx?id=11176,"Sat, 11 Feb 2012",/event.aspx?322932,Kara_Maehl
"Sedelhof 2; 6020, Emmenbrücke",11176, Sedel Muzikzentrum,/club.aspx?id=11176,"Sat, 4 Jun 2011",/event.aspx?259955,Pupkulies & Rebecca
"Sedelhof 2; 6020, Emmenbrücke",11176, Sedel Muzikzentrum,/club.aspx?id=11176,"Sat, 4 Jun 2011",/event.aspx?259955,Lu K.
"Sedelhof 2; 6020, Emmenbrücke",11176, Sedel Muzikzentrum,/club.aspx?id=11176,"Sat, 4 Jun 2011",/event.aspx?259955,Fionom
"Sedelhof 2; 6020, Emmenbrücke",11176, Sedel Muzikzentrum,/club.aspx?id=11176,"Sat, 4 Jun 2011",/event.aspx?259955,Schlechter Einfluss
"Sedelhof 2; 6020, Emmenbrücke",11176, Sedel Muzikzentrum,/club.aspx?id=11176,"Sun, 24 Apr 2011",/event.aspx?235020,Enzo Siffredi
"Sedelhof 2; 6020, Emmenbrücke",11176, Sedel Muzikzentrum,/club.aspx?id=11176,"Sun, 24 Apr 2011",/event.aspx?235020,Ramin
"Sedelhof 2; 6020, Emmenbrücke",11176, Sedel Muzikzentrum,/club.aspx?id=11176,"Sun, 24 Apr 2011",/event.aspx?235020,Tanzmuster
"Sedelhof 2; 6020, Emmenbrücke",11176, Sedel Muzikzentrum,/club.aspx?id=11176,"Fri, 15 Apr 2011",/event.aspx?241035,Jon Hopkins
"Sedelhof 2; 6020, Emmenbrücke",11176, Sedel Muzikzentrum,/club.aspx?id=11176,"Fri, 15 Apr 2011",/event.aspx?241035,Somtek
"Sedelhof 2; 6020, Emmenbrücke",11176, Sedel Muzikzentrum,/club.aspx?id=11176,"Sat, 26 Feb 2011",/event.aspx?234926,Kellerkind
"Sedelhof 2; 6020, Emmenbrücke",11176, Sedel Muzikzentrum,/club.aspx?id=11176,"Sat, 26 Feb 2011",/event.aspx?234926,Der Schmeisser
"Sedelhof 2; 6020, Emmenbrücke",11176, Sedel Muzikzentrum,/club.aspx?id=11176,"Sat, 26 Feb 2011",/event.aspx?234926,Lu K.
"Sedelhof 2; 6020, Emmenbrücke",11176, Sedel Muzikzentrum,/club.aspx?id=11176,"Sat, 26 Feb 2011",/event.aspx?234926,Ducks on Repeat
"Sedelhof 2; 6020, Emmenbrücke",11176, Sedel Muzikzentrum,/club.aspx?id=11176,"Sat, 26 Feb 2011",/event.aspx?234926,El Tigre Sound
"Sedelhof 2; 6020, Emmenbrücke",11176, Sedel Muzikzentrum,/club.aspx?id=11176,"Sat, 4 Dec 2010",/event.aspx?207965,Brandt Brauer Frick
"Sedelhof 2; 6020, Emmenbrücke",11176, Sedel Muzikzentrum,/club.aspx?id=11176,"Sat, 4 Dec 2010",/event.aspx?207965,Lu K.
"Sedelhof 2; 6020, Emmenbrücke",11176, Sedel Muzikzentrum,/club.aspx?id=11176,"Sat, 4 Dec 2010",/event.aspx?207965,Partikel
"Sedelhof 2; 6020, Emmenbrücke",11176, Sedel Muzikzentrum,/club.aspx?id=11176,"Sat, 4 Dec 2010",/event.aspx?207965,Ramin
"Sedelhof 2; 6020, Emmenbrücke",11176, Sedel Muzikzentrum,/club.aspx?id=11176,"Sat, 2 Oct 2010",/event.aspx?191471,Pawas
"Sedelhof 2; 6020, Emmenbrücke",11176, Sedel Muzikzentrum,/club.aspx?id=11176,"Sat, 2 Oct 2010",/event.aspx?191471,Lu K.
"Sedelhof 2; 6020, Emmenbrücke",11176, Sedel Muzikzentrum,/club.aspx?id=11176,"Sat, 2 Oct 2010",/event.aspx?191471,Fionom
"Sedelhof 2; 6020, Emmenbrücke",11176, Sedel Muzikzentrum,/club.aspx?id=11176,"Sat, 2 Oct 2010",/event.aspx?191471,Ramin
"Sedelhof 2; 6020, Emmenbrücke",11176, Sedel Muzikzentrum,/club.aspx?id=11176,"Fri, 3 Sep 2010",/event.aspx?189649,Aulay Fou
"Sedelhof 2; 6020, Emmenbrücke",11176, Sedel Muzikzentrum,/club.aspx?id=11176,"Fri, 3 Sep 2010",/event.aspx?189649,Fionom
"Sedelhof 2; 6020, Emmenbrücke",11176, Sedel Muzikzentrum,/club.aspx?id=11176,"Fri, 3 Sep 2010",/event.aspx?189649,Dread J
"Sedelhof 2; 6020, Emmenbrücke",11176, Sedel Muzikzentrum,/club.aspx?id=11176,"Sat, 19 Jun 2010",/event.aspx?166073,Nooncat
"Sedelhof 2; 6020, Emmenbrücke",11176, Sedel Muzikzentrum,/club.aspx?id=11176,"Sat, 19 Jun 2010",/event.aspx?166073,Franco Bianco
"Sedelhof 2; 6020, Emmenbrücke",11176, Sedel Muzikzentrum,/club.aspx?id=11176,"Sat, 19 Jun 2010",/event.aspx?166073,Mike Wall
"Sedelhof 2; 6020, Emmenbrücke",11176, Sedel Muzikzentrum,/club.aspx?id=11176,"Sat, 19 Jun 2010",/event.aspx?166073,Karmina
