club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Rue du Levant 3; 1201, Geneva",43996, Silencio,/club.aspx?id=43996,"Fri, 2 Dec 2011",/event.aspx?315246,Kim Prevedello
"Rue du Levant 3; 1201, Geneva",43996, Silencio,/club.aspx?id=43996,"Fri, 2 Dec 2011",/event.aspx?315246,Mr. Jonk
"Rue du Levant 3; 1201, Geneva",43996, Silencio,/club.aspx?id=43996,"Fri, 2 Dec 2011",/event.aspx?315246,Peter D
"Rue du Levant 3; 1201, Geneva",43996, Silencio,/club.aspx?id=43996,"Thu, 29 Sep 2011",/event.aspx?294910,Marco Poulos
"Rue du Levant 3; 1201, Geneva",43996, Silencio,/club.aspx?id=43996,"Thu, 22 Sep 2011",/event.aspx?294508,Marco Poulos
"Rue du Levant 3; 1201, Geneva",43996, Silencio,/club.aspx?id=43996,"Fri, 2 Sep 2011",/event.aspx?289239,Marco Poulos
"Rue du Levant 3; 1201, Geneva",43996, Silencio,/club.aspx?id=43996,"Thu, 1 Sep 2011",/event.aspx?286355,Guti
"Rue du Levant 3; 1201, Geneva",43996, Silencio,/club.aspx?id=43996,"Thu, 1 Sep 2011",/event.aspx?286355,Andrea Oliva
"Rue du Levant 3; 1201, Geneva",43996, Silencio,/club.aspx?id=43996,"Fri, 12 Aug 2011",/event.aspx?283357,Marco Poulos
"Rue du Levant 3; 1201, Geneva",43996, Silencio,/club.aspx?id=43996,"Fri, 29 Jul 2011",/event.aspx?279101,Blake Baxter
"Rue du Levant 3; 1201, Geneva",43996, Silencio,/club.aspx?id=43996,"Fri, 29 Jul 2011",/event.aspx?279101,Crowdpleaser
"Rue du Levant 3; 1201, Geneva",43996, Silencio,/club.aspx?id=43996,"Thu, 21 Jul 2011",/event.aspx?277233,St. Plomb
"Rue du Levant 3; 1201, Geneva",43996, Silencio,/club.aspx?id=43996,"Sat, 16 Jul 2011",/event.aspx?276572,DIMI3
"Rue du Levant 3; 1201, Geneva",43996, Silencio,/club.aspx?id=43996,"Wed, 13 Jul 2011",/event.aspx?275554,Francois Antico
"Rue du Levant 3; 1201, Geneva",43996, Silencio,/club.aspx?id=43996,"Fri, 1 Jul 2011",/event.aspx?271939,Sound Pellegrino Thermal Team
"Rue du Levant 3; 1201, Geneva",43996, Silencio,/club.aspx?id=43996,"Fri, 1 Jul 2011",/event.aspx?271939,Teki Latex
"Rue du Levant 3; 1201, Geneva",43996, Silencio,/club.aspx?id=43996,"Fri, 24 Jun 2011",/event.aspx?261643,Terrence Parker
"Rue du Levant 3; 1201, Geneva",43996, Silencio,/club.aspx?id=43996,"Fri, 10 Jun 2011",/event.aspx?261641,Stimming
"Rue du Levant 3; 1201, Geneva",43996, Silencio,/club.aspx?id=43996,"Thu, 9 Jun 2011",/event.aspx?261639,Soul Clap
"Rue du Levant 3; 1201, Geneva",43996, Silencio,/club.aspx?id=43996,"Thu, 2 Jun 2011",/event.aspx?261883,Crowdpleaser
"Rue du Levant 3; 1201, Geneva",43996, Silencio,/club.aspx?id=43996,"Thu, 26 May 2011",/event.aspx?255476,DJ Premier
"Rue du Levant 3; 1201, Geneva",43996, Silencio,/club.aspx?id=43996,"Fri, 20 May 2011",/event.aspx?255474,Nina Kraviz
"Rue du Levant 3; 1201, Geneva",43996, Silencio,/club.aspx?id=43996,"Thu, 19 May 2011",/event.aspx?259809,Pandallougi
"Rue du Levant 3; 1201, Geneva",43996, Silencio,/club.aspx?id=43996,"Fri, 13 May 2011",/event.aspx?255473,KiNK
"Rue du Levant 3; 1201, Geneva",43996, Silencio,/club.aspx?id=43996,"Fri, 13 May 2011",/event.aspx?255473,Toast Terry
"Rue du Levant 3; 1201, Geneva",43996, Silencio,/club.aspx?id=43996,"Fri, 13 May 2011",/event.aspx?255473,Gag Vogt
"Rue du Levant 3; 1201, Geneva",43996, Silencio,/club.aspx?id=43996,"Thu, 12 May 2011",/event.aspx?255472,Daria
"Rue du Levant 3; 1201, Geneva",43996, Silencio,/club.aspx?id=43996,"Thu, 12 May 2011",/event.aspx?255472,Alejandro Mosso
"Rue du Levant 3; 1201, Geneva",43996, Silencio,/club.aspx?id=43996,"Thu, 5 May 2011",/event.aspx?254294,Motor City Drum Ensemble
"Rue du Levant 3; 1201, Geneva",43996, Silencio,/club.aspx?id=43996,"Thu, 5 May 2011",/event.aspx?254294,Born Bjorg
"Rue du Levant 3; 1201, Geneva",43996, Silencio,/club.aspx?id=43996,"Thu, 28 Apr 2011",/event.aspx?248063,Crowdpleaser
"Rue du Levant 3; 1201, Geneva",43996, Silencio,/club.aspx?id=43996,"Thu, 28 Apr 2011",/event.aspx?248063,Quenum
"Rue du Levant 3; 1201, Geneva",43996, Silencio,/club.aspx?id=43996,"Thu, 14 Apr 2011",/event.aspx?248052,Losoul
"Rue du Levant 3; 1201, Geneva",43996, Silencio,/club.aspx?id=43996,"Fri, 8 Apr 2011",/event.aspx?247872,Manoo
"Rue du Levant 3; 1201, Geneva",43996, Silencio,/club.aspx?id=43996,"Thu, 7 Apr 2011",/event.aspx?243779,San Soda
"Rue du Levant 3; 1201, Geneva",43996, Silencio,/club.aspx?id=43996,"Thu, 7 Apr 2011",/event.aspx?243779,Toast Terry
"Rue du Levant 3; 1201, Geneva",43996, Silencio,/club.aspx?id=43996,"Thu, 7 Apr 2011",/event.aspx?243779,Gag Vogt
"Rue du Levant 3; 1201, Geneva",43996, Silencio,/club.aspx?id=43996,"Thu, 24 Mar 2011",/event.aspx?243550,Pascal Viscardi
"Rue du Levant 3; 1201, Geneva",43996, Silencio,/club.aspx?id=43996,"Thu, 3 Mar 2011",/event.aspx?237977,Michel Cleis
"Rue du Levant 3; 1201, Geneva",43996, Silencio,/club.aspx?id=43996,"Thu, 3 Mar 2011",/event.aspx?237977,Laolu
"Rue du Levant 3; 1201, Geneva",43996, Silencio,/club.aspx?id=43996,"Fri, 28 Dec 2012",/event.aspx?432030,Djebali
"Rue du Levant 3; 1201, Geneva",43996, Silencio,/club.aspx?id=43996,"Fri, 28 Dec 2012",/event.aspx?432030,Rare Movement
"Rue du Levant 3; 1201, Geneva",43996, Silencio,/club.aspx?id=43996,"Sat, 15 Dec 2012",/event.aspx?424452,Osunlade
"Rue du Levant 3; 1201, Geneva",43996, Silencio,/club.aspx?id=43996,"Sat, 15 Dec 2012",/event.aspx?424452,Reas
"Rue du Levant 3; 1201, Geneva",43996, Silencio,/club.aspx?id=43996,"Fri, 30 Nov 2012",/event.aspx?424450,Matthias Meyer
"Rue du Levant 3; 1201, Geneva",43996, Silencio,/club.aspx?id=43996,"Fri, 30 Nov 2012",/event.aspx?424450,Reas
"Rue du Levant 3; 1201, Geneva",43996, Silencio,/club.aspx?id=43996,"Fri, 16 Nov 2012",/event.aspx?418980,Raresh
"Rue du Levant 3; 1201, Geneva",43996, Silencio,/club.aspx?id=43996,"Fri, 16 Nov 2012",/event.aspx?418980,Reas
"Rue du Levant 3; 1201, Geneva",43996, Silencio,/club.aspx?id=43996,"Fri, 9 Nov 2012",/event.aspx?421492,Dachshund
"Rue du Levant 3; 1201, Geneva",43996, Silencio,/club.aspx?id=43996,"Fri, 19 Oct 2012",/event.aspx?408361,Cassy
"Rue du Levant 3; 1201, Geneva",43996, Silencio,/club.aspx?id=43996,"Fri, 19 Oct 2012",/event.aspx?408361,Reas
"Rue du Levant 3; 1201, Geneva",43996, Silencio,/club.aspx?id=43996,"Sat, 29 Sep 2012",/event.aspx?404867,DJ W!ld
"Rue du Levant 3; 1201, Geneva",43996, Silencio,/club.aspx?id=43996,"Sat, 29 Sep 2012",/event.aspx?404867,Cosmokolor
"Rue du Levant 3; 1201, Geneva",43996, Silencio,/club.aspx?id=43996,"Fri, 28 Sep 2012",/event.aspx?404833,H.O.S.H
"Rue du Levant 3; 1201, Geneva",43996, Silencio,/club.aspx?id=43996,"Fri, 28 Sep 2012",/event.aspx?404833,Reas
"Rue du Levant 3; 1201, Geneva",43996, Silencio,/club.aspx?id=43996,"Fri, 28 Sep 2012",/event.aspx?404833,Lagardere
"Rue du Levant 3; 1201, Geneva",43996, Silencio,/club.aspx?id=43996,"Fri, 14 Sep 2012",/event.aspx?401305,Nico Lahs
"Rue du Levant 3; 1201, Geneva",43996, Silencio,/club.aspx?id=43996,"Thu, 19 Jul 2012",/event.aspx?385452,Dachshund
"Rue du Levant 3; 1201, Geneva",43996, Silencio,/club.aspx?id=43996,"Thu, 19 Jul 2012",/event.aspx?385452,Cosmokolor
"Rue du Levant 3; 1201, Geneva",43996, Silencio,/club.aspx?id=43996,"Sat, 14 Jul 2012",/event.aspx?383757,Cassy
"Rue du Levant 3; 1201, Geneva",43996, Silencio,/club.aspx?id=43996,"Sat, 14 Jul 2012",/event.aspx?383757,Reas
"Rue du Levant 3; 1201, Geneva",43996, Silencio,/club.aspx?id=43996,"Sat, 14 Jul 2012",/event.aspx?383757,Myah
"Rue du Levant 3; 1201, Geneva",43996, Silencio,/club.aspx?id=43996,"Fri, 6 Jul 2012",/event.aspx?488392,GaLaBar
"Rue du Levant 3; 1201, Geneva",43996, Silencio,/club.aspx?id=43996,"Fri, 6 Jul 2012",/event.aspx?488392,Allen Rich
"Rue du Levant 3; 1201, Geneva",43996, Silencio,/club.aspx?id=43996,"Fri, 22 Jun 2012",/event.aspx?376855,Ernesto Ferreyra
"Rue du Levant 3; 1201, Geneva",43996, Silencio,/club.aspx?id=43996,"Fri, 22 Jun 2012",/event.aspx?376855,Reas
"Rue du Levant 3; 1201, Geneva",43996, Silencio,/club.aspx?id=43996,"Fri, 1 Jun 2012",/event.aspx?368226,Seuil
"Rue du Levant 3; 1201, Geneva",43996, Silencio,/club.aspx?id=43996,"Fri, 1 Jun 2012",/event.aspx?368226,Rare Movement
"Rue du Levant 3; 1201, Geneva",43996, Silencio,/club.aspx?id=43996,"Fri, 1 Jun 2012",/event.aspx?368226,Reas
"Rue du Levant 3; 1201, Geneva",43996, Silencio,/club.aspx?id=43996,"Sat, 12 May 2012",/event.aspx?364594,Yaya
"Rue du Levant 3; 1201, Geneva",43996, Silencio,/club.aspx?id=43996,"Sat, 12 May 2012",/event.aspx?364594,Reas
"Rue du Levant 3; 1201, Geneva",43996, Silencio,/club.aspx?id=43996,"Fri, 11 May 2012",/event.aspx?367914,Kate Wax
"Rue du Levant 3; 1201, Geneva",43996, Silencio,/club.aspx?id=43996,"Thu, 10 May 2012",/event.aspx?368213,Rare Movement
"Rue du Levant 3; 1201, Geneva",43996, Silencio,/club.aspx?id=43996,"Thu, 10 May 2012",/event.aspx?368213,Jaxxon Under
"Rue du Levant 3; 1201, Geneva",43996, Silencio,/club.aspx?id=43996,"Thu, 10 May 2012",/event.aspx?368213,Gianni Callipari
"Rue du Levant 3; 1201, Geneva",43996, Silencio,/club.aspx?id=43996,"Fri, 6 Apr 2012",/event.aspx?352937,Gregorythme
"Rue du Levant 3; 1201, Geneva",43996, Silencio,/club.aspx?id=43996,"Fri, 6 Apr 2012",/event.aspx?352937,Reas
"Rue du Levant 3; 1201, Geneva",43996, Silencio,/club.aspx?id=43996,"Thu, 5 Apr 2012",/event.aspx?354193,Lee Van Dowski
"Rue du Levant 3; 1201, Geneva",43996, Silencio,/club.aspx?id=43996,"Thu, 5 Apr 2012",/event.aspx?354193,Jihell
"Rue du Levant 3; 1201, Geneva",43996, Silencio,/club.aspx?id=43996,"Fri, 30 Mar 2012",/event.aspx?345840,Kim Prevedello
"Rue du Levant 3; 1201, Geneva",43996, Silencio,/club.aspx?id=43996,"Thu, 29 Mar 2012",/event.aspx?349716,Reas
"Rue du Levant 3; 1201, Geneva",43996, Silencio,/club.aspx?id=43996,"Thu, 29 Mar 2012",/event.aspx?349716,Masaya
"Rue du Levant 3; 1201, Geneva",43996, Silencio,/club.aspx?id=43996,"Sat, 24 Mar 2012",/event.aspx?349714,Reas
"Rue du Levant 3; 1201, Geneva",43996, Silencio,/club.aspx?id=43996,"Sat, 24 Mar 2012",/event.aspx?349714,Emilie Nana
"Rue du Levant 3; 1201, Geneva",43996, Silencio,/club.aspx?id=43996,"Fri, 16 Mar 2012",/event.aspx?348152,Reas
"Rue du Levant 3; 1201, Geneva",43996, Silencio,/club.aspx?id=43996,"Thu, 15 Mar 2012",/event.aspx?348148,Agnès
"Rue du Levant 3; 1201, Geneva",43996, Silencio,/club.aspx?id=43996,"Thu, 15 Mar 2012",/event.aspx?348148,Cosmokolor
"Rue du Levant 3; 1201, Geneva",43996, Silencio,/club.aspx?id=43996,"Sat, 3 Mar 2012",/event.aspx?342379,Manaré
"Rue du Levant 3; 1201, Geneva",43996, Silencio,/club.aspx?id=43996,"Sat, 3 Mar 2012",/event.aspx?342379,Gelivan
"Rue du Levant 3; 1201, Geneva",43996, Silencio,/club.aspx?id=43996,"Fri, 13 Dec 2013",/event.aspx?547789,LuLúxpo
"Rue du Levant 3; 1201, Geneva",43996, Silencio,/club.aspx?id=43996,"Fri, 13 Dec 2013",/event.aspx?547789,La Forêt
"Rue du Levant 3; 1201, Geneva",43996, Silencio,/club.aspx?id=43996,"Thu, 12 Dec 2013",/event.aspx?545869,Oram Modular
"Rue du Levant 3; 1201, Geneva",43996, Silencio,/club.aspx?id=43996,"Thu, 12 Dec 2013",/event.aspx?545869,Youcef
"Rue du Levant 3; 1201, Geneva",43996, Silencio,/club.aspx?id=43996,"Thu, 28 Nov 2013",/event.aspx?539501,Jaxxon Under
"Rue du Levant 3; 1201, Geneva",43996, Silencio,/club.aspx?id=43996,"Thu, 28 Nov 2013",/event.aspx?539501,Rare Movement
"Rue du Levant 3; 1201, Geneva",43996, Silencio,/club.aspx?id=43996,"Fri, 15 Nov 2013",/event.aspx?533580,Delano Smith
"Rue du Levant 3; 1201, Geneva",43996, Silencio,/club.aspx?id=43996,"Fri, 15 Nov 2013",/event.aspx?533580,Reas
