club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Luzernstrasse 9; 4500, Solothurn",14718, Soultown,/club.aspx?id=14718,"Sat, 4 Dec 2010",/event.aspx?208097,Kellerkind
"Luzernstrasse 9; 4500, Solothurn",14718, Soultown,/club.aspx?id=14718,"Sat, 4 Dec 2010",/event.aspx?208097,Boris Why
"Luzernstrasse 9; 4500, Solothurn",14718, Soultown,/club.aspx?id=14718,"Sat, 4 Dec 2010",/event.aspx?208097,Robel
"Luzernstrasse 9; 4500, Solothurn",14718, Soultown,/club.aspx?id=14718,"Wed, 12 May 2010",/event.aspx?165964,Quitim
"Luzernstrasse 9; 4500, Solothurn",14718, Soultown,/club.aspx?id=14718,"Sat, 3 Apr 2010",/event.aspx?157804,Clive Henry
"Luzernstrasse 9; 4500, Solothurn",14718, Soultown,/club.aspx?id=14718,"Sat, 3 Apr 2010",/event.aspx?157804,Tremendo
"Luzernstrasse 9; 4500, Solothurn",14718, Soultown,/club.aspx?id=14718,"Sat, 3 Apr 2010",/event.aspx?157804,Huazee
"Luzernstrasse 9; 4500, Solothurn",14718, Soultown,/club.aspx?id=14718,"Sat, 30 Jan 2010",/event.aspx?133103,Boris Why
"Luzernstrasse 9; 4500, Solothurn",14718, Soultown,/club.aspx?id=14718,"Sat, 30 Jan 2010",/event.aspx?133103,Kellerkind
"Luzernstrasse 9; 4500, Solothurn",14718, Soultown,/club.aspx?id=14718,"Sat, 19 Dec 2009",/event.aspx?131411,Davide Squillace
"Luzernstrasse 9; 4500, Solothurn",14718, Soultown,/club.aspx?id=14718,"Sat, 19 Dec 2009",/event.aspx?131411,Jacqui
"Luzernstrasse 9; 4500, Solothurn",14718, Soultown,/club.aspx?id=14718,"Sat, 19 Dec 2009",/event.aspx?131411,Boris Why
"Luzernstrasse 9; 4500, Solothurn",14718, Soultown,/club.aspx?id=14718,"Sat, 19 Dec 2009",/event.aspx?131411,Huazee
"Luzernstrasse 9; 4500, Solothurn",14718, Soultown,/club.aspx?id=14718,"Wed, 31 Dec 2008",/event.aspx?76997,Todd Bodine
"Luzernstrasse 9; 4500, Solothurn",14718, Soultown,/club.aspx?id=14718,"Wed, 31 Dec 2008",/event.aspx?76997,Kellerkind
"Luzernstrasse 9; 4500, Solothurn",14718, Soultown,/club.aspx?id=14718,"Wed, 31 Dec 2008",/event.aspx?76997,Luca de Grandis
"Luzernstrasse 9; 4500, Solothurn",14718, Soultown,/club.aspx?id=14718,"Wed, 31 Dec 2008",/event.aspx?76997,Boris Why
