club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Route des Mélèzes 24, 3963 Crans-Montana",113699, Sport Palace Crans-Montana,/club.aspx?id=113699,"Sat, 14 May 2016",/event.aspx?828937,Marco Effe
"Route des Mélèzes 24, 3963 Crans-Montana",113699, Sport Palace Crans-Montana,/club.aspx?id=113699,"Sat, 14 May 2016",/event.aspx?828937,Anthony Megaro
"Route des Mélèzes 24, 3963 Crans-Montana",113699, Sport Palace Crans-Montana,/club.aspx?id=113699,"Sat, 14 May 2016",/event.aspx?828937,Giorgio Maulini
"Route des Mélèzes 24, 3963 Crans-Montana",113699, Sport Palace Crans-Montana,/club.aspx?id=113699,"Sat, 14 May 2016",/event.aspx?829934,Marco Effe
"Route des Mélèzes 24, 3963 Crans-Montana",113699, Sport Palace Crans-Montana,/club.aspx?id=113699,"Sat, 14 May 2016",/event.aspx?829934,Giorgio Maulini
"Route des Mélèzes 24, 3963 Crans-Montana",113699, Sport Palace Crans-Montana,/club.aspx?id=113699,"Sat, 14 May 2016",/event.aspx?829934,Anthony Megaro
"Route des Mélèzes 24, 3963 Crans-Montana",113699, Sport Palace Crans-Montana,/club.aspx?id=113699,"Sat, 19 Mar 2016",/event.aspx?810782,Agent
"Route des Mélèzes 24, 3963 Crans-Montana",113699, Sport Palace Crans-Montana,/club.aspx?id=113699,"Sat, 19 Mar 2016",/event.aspx?810782,Giorgio Maulini
"Route des Mélèzes 24, 3963 Crans-Montana",113699, Sport Palace Crans-Montana,/club.aspx?id=113699,"Sat, 30 Jan 2016",/event.aspx?800008,Anthony Megaro
"Route des Mélèzes 24, 3963 Crans-Montana",113699, Sport Palace Crans-Montana,/club.aspx?id=113699,"Sat, 30 Jan 2016",/event.aspx?800008,Giorgio Maulini
