club_adress,club_id,club_name,club_ref,date,ref_event,artiste
"Baslerstrasse 50; 8048, Zürich",29276, Stairs Club,/club.aspx?id=29276,"Sun, 29 Nov 2009",/event.aspx?129373,Beat Herren
"Baslerstrasse 50; 8048, Zürich",29276, Stairs Club,/club.aspx?id=29276,"Sat, 4 Dec 2010",/event.aspx?202620,Ezikiel
"Baslerstrasse 50; 8048, Zürich",29276, Stairs Club,/club.aspx?id=29276,"Sat, 4 Dec 2010",/event.aspx?202620,Helder
"Baslerstrasse 50; 8048, Zürich",29276, Stairs Club,/club.aspx?id=29276,"Sat, 4 Dec 2010",/event.aspx?202620,Joram
"Baslerstrasse 50; 8048, Zürich",29276, Stairs Club,/club.aspx?id=29276,"Fri, 5 Nov 2010",/event.aspx?204194,Audino
"Baslerstrasse 50; 8048, Zürich",29276, Stairs Club,/club.aspx?id=29276,"Fri, 5 Nov 2010",/event.aspx?204194,Oliver Klein
"Baslerstrasse 50; 8048, Zürich",29276, Stairs Club,/club.aspx?id=29276,"Wed, 13 Oct 2010",/event.aspx?200150,Yasmin Gate
"Baslerstrasse 50; 8048, Zürich",29276, Stairs Club,/club.aspx?id=29276,"Wed, 13 Oct 2010",/event.aspx?200150,DJ Aroma
"Baslerstrasse 50; 8048, Zürich",29276, Stairs Club,/club.aspx?id=29276,"Wed, 13 Oct 2010",/event.aspx?200150,Wicked Wilma
"Baslerstrasse 50; 8048, Zürich",29276, Stairs Club,/club.aspx?id=29276,"Sat, 18 Sep 2010",/event.aspx?187941,Jens Zimmermann
"Baslerstrasse 50; 8048, Zürich",29276, Stairs Club,/club.aspx?id=29276,"Sat, 18 Sep 2010",/event.aspx?187941,Ezikiel
"Baslerstrasse 50; 8048, Zürich",29276, Stairs Club,/club.aspx?id=29276,"Sat, 18 Sep 2010",/event.aspx?187941,Helder
"Baslerstrasse 50; 8048, Zürich",29276, Stairs Club,/club.aspx?id=29276,"Sat, 18 Sep 2010",/event.aspx?187941,Joram
"Baslerstrasse 50; 8048, Zürich",29276, Stairs Club,/club.aspx?id=29276,"Sat, 24 Jul 2010",/event.aspx?178138,Manu-L
"Baslerstrasse 50; 8048, Zürich",29276, Stairs Club,/club.aspx?id=29276,"Sat, 24 Jul 2010",/event.aspx?178138,Ezikiel
"Baslerstrasse 50; 8048, Zürich",29276, Stairs Club,/club.aspx?id=29276,"Sat, 24 Jul 2010",/event.aspx?178138,Helder
"Baslerstrasse 50; 8048, Zürich",29276, Stairs Club,/club.aspx?id=29276,"Sat, 24 Jul 2010",/event.aspx?178138,Joram
"Baslerstrasse 50; 8048, Zürich",29276, Stairs Club,/club.aspx?id=29276,"Sat, 22 May 2010",/event.aspx?162179,Alejandro Mosso
"Baslerstrasse 50; 8048, Zürich",29276, Stairs Club,/club.aspx?id=29276,"Sat, 22 May 2010",/event.aspx?162179,Ezikiel
"Baslerstrasse 50; 8048, Zürich",29276, Stairs Club,/club.aspx?id=29276,"Sat, 22 May 2010",/event.aspx?162179,Helder
"Baslerstrasse 50; 8048, Zürich",29276, Stairs Club,/club.aspx?id=29276,"Sat, 22 May 2010",/event.aspx?162179,Joram
"Baslerstrasse 50; 8048, Zürich",29276, Stairs Club,/club.aspx?id=29276,"Fri, 5 Feb 2010",/event.aspx?143444,Benja
"Baslerstrasse 50; 8048, Zürich",29276, Stairs Club,/club.aspx?id=29276,"Sat, 24 Dec 2011",/event.aspx?301932,Red Robin
"Baslerstrasse 50; 8048, Zürich",29276, Stairs Club,/club.aspx?id=29276,"Sat, 24 Dec 2011",/event.aspx?301932,Ezikiel
"Baslerstrasse 50; 8048, Zürich",29276, Stairs Club,/club.aspx?id=29276,"Sat, 24 Dec 2011",/event.aspx?301932,Helder
"Baslerstrasse 50; 8048, Zürich",29276, Stairs Club,/club.aspx?id=29276,"Sat, 24 Dec 2011",/event.aspx?301932,Joram
"Baslerstrasse 50; 8048, Zürich",29276, Stairs Club,/club.aspx?id=29276,"Fri, 25 Nov 2011",/event.aspx?307377,Hollen
"Baslerstrasse 50; 8048, Zürich",29276, Stairs Club,/club.aspx?id=29276,"Fri, 25 Nov 2011",/event.aspx?307377,Tony Dee
"Baslerstrasse 50; 8048, Zürich",29276, Stairs Club,/club.aspx?id=29276,"Fri, 11 Nov 2011",/event.aspx?308597,Andres Santana
"Baslerstrasse 50; 8048, Zürich",29276, Stairs Club,/club.aspx?id=29276,"Sat, 1 Oct 2011",/event.aspx?291140,Sergio Bernardi
"Baslerstrasse 50; 8048, Zürich",29276, Stairs Club,/club.aspx?id=29276,"Sat, 1 Oct 2011",/event.aspx?291140,Ezikiel
"Baslerstrasse 50; 8048, Zürich",29276, Stairs Club,/club.aspx?id=29276,"Sat, 1 Oct 2011",/event.aspx?291140,Helder
"Baslerstrasse 50; 8048, Zürich",29276, Stairs Club,/club.aspx?id=29276,"Sat, 1 Oct 2011",/event.aspx?291140,Joram
